 36 36 +3.9860043600D+05  N  M  MU        MODEL: GEM-T1
  0  1  6.3781370000D+03  -  -  AE
 0   2 -4.3153513220D+02  C( 2, 0)*MU
 0   3 +1.0095004160D+00  C( 3, 0)*MU
 0   4 +6.4421666390D-01  C( 4, 0)*MU
 0   5 +9.0927930010D-02  C( 5, 0)*MU
 0   6 -2.1284606360D-01  C( 6, 0)*MU
 0   7 +1.3976347720D-01  C( 7, 0)*MU
 0   8 +7.5439166290D-02  C( 8, 0)*MU
 0   9 +4.9302766590D-02  C( 9, 0)*MU
 0  10 +1.0452094310D-01  C(10, 0)*MU
 0  11 -9.7993213810D-02  C(11, 0)*MU
 0  12 +6.3936626660D-02  C(12, 0)*MU
 0  13 +8.7470196400D-02  C(13, 0)*MU
 0  14 -4.2356721710D-02  C(14, 0)*MU
 0  15 +4.1569944570D-03  C(15, 0)*MU
 0  16 -2.1471874290D-02  C(16, 0)*MU
 0  17 +4.8098679350D-02  C(17, 0)*MU
 0  18 +2.7376640880D-02  C(18, 0)*MU
 0  19 -1.1471489000D-02  C(19, 0)*MU
 0  20 +3.9088287740D-02  C(20, 0)*MU
 0  21 +2.5551050500D-02  C(21, 0)*MU
 0  22 -1.2952383070D-02  C(22, 0)*MU
 0  23 -6.5928437370D-02  C(23, 0)*MU
 0  24 -2.6662647150D-03  C(24, 0)*MU
 0  25 +1.9603430800D-02  C(25, 0)*MU
 0  26 +5.3367022960D-03  C(26, 0)*MU
 0  27 +1.2189133000D-02  C(27, 0)*MU
 0  28 -1.7617266070D-02  C(28, 0)*MU
 0  29 -1.1968557020D-02  C(29, 0)*MU
 0  30 -8.5575087160D-04  C(30, 0)*MU
 0  31 +1.6184045690D-02  C(31, 0)*MU
 0  32 +2.6310757230D-04  C(32, 0)*MU
 0  33 +7.2713393610D-03  C(33, 0)*MU
 0  34 -8.2123571470D-03  C(34, 0)*MU
 0  35 +4.2758813500D-03  C(35, 0)*MU
 0  36 +2.5187903080D-03  C(36, 0)*MU
 1   1 +0.0000000000D-01  C( 1, 1)*MU
 2   1 +0.0000000000D-01  S( 1, 1)*MU
 1   2 +0.0000000000D-01  C( 2, 1)*MU
 2   2 +0.0000000000D-01  S( 2, 1)*MU
 1   3 +6.2752514470D-01  C( 2, 2)*MU
 2   3 -3.6017242420D-01  S( 2, 2)*MU
 1   4 +8.7389406440D-01  C( 3, 1)*MU
 2   4 +1.0745989350D-01  S( 3, 1)*MU
 1   5 +1.2301637530D-01  C( 3, 2)*MU
 2   5 -8.4468898710D-02  S( 3, 2)*MU
 1   6 +4.0074005050D-02  C( 3, 3)*MU
 2   6 +7.8547030000D-02  S( 3, 3)*MU
 1   7 -2.0171314550D-01  C( 4, 1)*MU
 2   7 -1.7966411580D-01  S( 4, 1)*MU
 1   8 +3.0928214880D-02  C( 4, 2)*MU
 2   8 +5.9184877260D-02  S( 4, 2)*MU
 1   9 +2.3606017640D-02  C( 4, 3)*MU
 2   9 -4.7789909670D-03  S( 4, 3)*MU
 1  10 -1.6004676590D-03  C( 4, 4)*MU
 2  10 +2.5978375220D-03  S( 4, 4)*MU
 1  11 -2.0122159170D-02  C( 5, 1)*MU
 2  11 -3.2612903480D-02  S( 5, 1)*MU
 1  12 +4.2303317480D-02  C( 5, 2)*MU
 2  12 -2.0862050550D-02  S( 5, 2)*MU
 1  13 -5.9017277500D-03  C( 5, 3)*MU
 2  13 -2.8328110380D-03  S( 5, 3)*MU
 1  14 -9.1501846330D-04  C( 5, 4)*MU
 2  14 +1.6265645070D-04  S( 5, 4)*MU
 1  15 +1.7445866740D-04  C( 5, 5)*MU
 2  15 -6.5367241310D-04  S( 5, 5)*MU
 1  16 -2.5520624990D-02  C( 6, 1)*MU
 2  16 +7.4923293720D-03  S( 6, 1)*MU
 1  17 +2.5591757680D-03  C( 6, 2)*MU
 2  17 -1.8594991270D-02  S( 6, 2)*MU
 1  18 +5.1216090360D-04  C( 6, 3)*MU
 2  18 +3.8372107280D-05  S( 6, 3)*MU
 1  19 -1.4002128550D-04  C( 6, 4)*MU
 2  19 -7.1416869740D-04  S( 6, 4)*MU
 1  20 -8.5495710450D-05  C( 6, 5)*MU
 2  20 -1.7299150570D-04  S( 6, 5)*MU
 1  21 +8.4130047600D-07  C( 6, 6)*MU
 2  21 -2.1947393140D-05  S( 6, 6)*MU
 1  22 +8.0841884910D-02  C( 7, 1)*MU
 2  22 +2.8537899440D-02  S( 7, 1)*MU
 1  23 +1.2613612130D-02  C( 7, 2)*MU
 2  23 +3.6369905710D-03  S( 7, 2)*MU
 1  24 +1.4078329730D-03  C( 7, 3)*MU
 2  24 -1.1743816520D-03  S( 7, 3)*MU
 1  25 -2.3170485200D-04  C( 7, 4)*MU
 2  25 -1.0328322400D-04  S( 7, 4)*MU
 1  26 +4.9022677350D-07  C( 7, 5)*MU
 2  26 +2.7723584030D-06  S( 7, 5)*MU
 1  27 -9.9006222960D-06  C( 7, 6)*MU
