annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
1.177e-05,1e-11,0.0,0.0,1.0,0.999988,0.999606,0.0,0.0,1.18371e-05,6578.137,0.26,0.5
1.177e-05,1.3e-10,0.0,0.0,1.0,0.999986,0.820945,0.0,0.0,1.18371e-05,6578.137,0.26,0.5
1.177e-05,1.7e-09,0.0,0.0,1.0,0.999982,0.641894,0.0,0.0,1.1837e-05,6578.137,0.26,0.5
1.177e-05,2.2e-08,0.0,0.0,1.0,0.999974,0.463559,0.0,0.0,1.18356e-05,6578.137,0.26,0.5
1.177e-05,2.8e-07,0.0,0.0,1.0,0.999959,0.286396,0.0,0.0,1.18176e-05,6578.137,0.26,0.5
1.177e-05,3.6e-06,0.014486,0.014486,0.985514,0.999898,0.11363,1.70519e-07,1.70519e-07,1.16008e-05,6578.137,0.26,0.5
1.177e-05,4.6e-05,0.097513,0.097513,0.902487,0.999614,0.0275111,1.14786e-06,1.14786e-06,1.06235e-05,6578.137,0.26,0.5
1.177e-05,0.0006,0.467744,0.467744,0.532256,0.996578,0.0018311,5.50597e-06,5.50597e-06,6.26537e-06,6578.137,0.26,0.5
1.177e-05,0.0077,0.603179,0.603179,0.396821,0.96504,0.000133615,7.10022e-06,7.10022e-06,4.67112e-06,6578.137,0.26,0.5
1.177e-05,0.1,0.97447,0.97447,0.0255302,0.896215,2.89565e-06,1.14708e-05,1.14708e-05,3.00524e-07,6578.137,0.26,0.5
4.932e-05,1e-11,0.0,0.0,1.0,0.999991,5.39239,0.0,0.0,4.93591e-05,6678.137,0.26,0.5
4.932e-05,1.3e-10,0.0,0.0,1.0,0.999989,4.50278,0.0,0.0,4.9359e-05,6678.137,0.26,0.5
4.932e-05,1.7e-09,0.0,0.0,1.0,0.999986,3.61134,0.0,0.0,4.93585e-05,6678.137,0.26,0.5
4.932e-05,2.2e-08,0.0,0.0,1.0,0.999982,2.72321,0.0,0.0,4.93515e-05,6678.137,0.26,0.5
4.932e-05,2.8e-07,0.0012725,0.0012725,0.998728,0.999973,1.84116,6.27655e-08,6.27655e-08,4.9262e-05,6678.137,0.26,0.5
4.932e-05,3.6e-06,0.0239305,0.0239305,0.97607,0.99995,0.966975,1.18037e-06,1.18037e-06,4.81444e-05,6678.137,0.26,0.5
4.932e-05,4.6e-05,0.233425,0.233425,0.766575,0.999873,0.296695,1.15136e-05,1.15136e-05,3.78111e-05,6678.137,0.26,0.5
4.932e-05,0.0006,0.839056,0.839056,0.160944,0.995397,0.00172469,4.13862e-05,4.13862e-05,7.93853e-06,6678.137,0.26,0.5
4.932e-05,0.0077,0.876177,0.876177,0.123823,0.974617,0.000240617,4.32172e-05,4.32172e-05,6.10754e-06,6678.137,0.26,0.5
4.932e-05,0.1,0.998227,0.998227,0.00177346,0.896234,8.43011e-07,4.92373e-05,4.92373e-05,8.74754e-08,6678.137,0.26,0.5
4.201e-05,1e-11,0.0,0.0,1.0,0.999966,1.23919,0.0,0.0,4.21369e-05,6778.137,0.26,0.5
4.201e-05,1.3e-10,0.0,0.0,1.0,0.999958,1.01048,0.0,0.0,4.21369e-05,6778.137,0.26,0.5
4.201e-05,1.7e-09,0.0,0.0,1.0,0.999946,0.781219,0.0,0.0,4.21368e-05,6778.137,0.26,0.5
4.201e-05,2.2e-08,0.0,0.0,1.0,0.999924,0.552895,0.0,0.0,4.21349e-05,6778.137,0.26,0.5
4.201e-05,2.8e-07,0.0,0.0,1.0,0.999871,0.326055,0.0,0.0,4.21119e-05,6778.137,0.26,0.5
4.201e-05,3.6e-06,0.00414794,0.00414794,0.995852,0.999602,0.104987,1.74252e-07,1.74252e-07,4.18349e-05,6778.137,0.26,0.5
4.201e-05,4.6e-05,0.0232725,0.0232725,0.976727,0.997664,0.0175612,9.77658e-07,9.77658e-07,4.10315e-05,6778.137,0.26,0.5
4.201e-05,0.0006,0.0698401,0.0698401,0.93016,0.993848,0.00635144,2.93392e-06,2.93392e-06,3.90752e-05,6778.137,0.26,0.5
4.201e-05,0.0077,0.372894,0.372894,0.627106,0.972449,0.000956198,1.56649e-05,1.56649e-05,2.63442e-05,6778.137,0.26,0.5
4.201e-05,0.1,0.764826,0.764826,0.235174,0.817691,5.41907e-05,3.21297e-05,3.21297e-05,9.87946e-06,6778.137,0.26,0.5
0.0001944,1e-11,0.0,0.0,1.0,0.999817,1.06613,0.0,0.0,0.000194826,6878.137,0.26,0.5
0.0001944,1.3e-10,0.0,0.0,1.0,0.999778,0.877913,0.0,0.0,0.000194826,6878.137,0.26,0.5
0.0001944,1.7e-09,0.0,0.0,1.0,0.999717,0.689246,0.0,0.0,0.000194826,6878.137,0.26,0.5
0.0001944,2.2e-08,0.0,0.0,1.0,0.999611,0.501317,0.0,0.0,0.000194825,6878.137,0.26,0.5
0.0001944,2.8e-07,0.0,0.0,1.0,0.999381,0.314604,0.0,0.0,0.000194806,6878.137,0.26,0.5
0.0001944,3.6e-06,0.0,0.0,1.0,0.998527,0.132094,0.0,0.0,0.000194576,6878.137,0.26,0.5
0.0001944,4.6e-05,0.00362295,0.00362295,0.996377,0.99616,0.0504372,7.04321e-07,7.04321e-07,0.000193701,6878.137,0.26,0.5
0.0001944,0.0006,0.0299511,0.0299511,0.970049,0.992488,0.0251049,5.82265e-06,5.82265e-06,0.000188583,6878.137,0.26,0.5
0.0001944,0.0077,0.311597,0.311597,0.688403,0.970143,0.00448227,6.05761e-05,6.05761e-05,0.000133829,6878.137,0.26,0.5
0.0001944,0.1,0.719268,0.719268,0.280732,0.792877,0.000263494,0.00013983,0.00013983,5.45758e-05,6878.137,0.26,0.5
0.000189,1e-11,0.0,0.0,1.0,0.999755,0.773473,0.0,0.0,0.00018957,6978.137,0.26,0.5
0.000189,1.3e-10,0.0,0.0,1.0,0.999699,0.630663,0.0,0.0,0.00018957,6978.137,0.26,0.5
0.000189,1.7e-09,0.0,0.0,1.0,0.999611,0.487511,0.0,0.0,0.00018957,6978.137,0.26,0.5
0.000189,2.2e-08,0.0,0.0,1.0,0.99945,0.344933,0.0,0.0,0.000189568,6978.137,0.26,0.5
0.000189,2.8e-07,0.0,0.0,1.0,0.999068,0.203277,0.0,0.0,0.000189554,6978.137,0.26,0.5
0.000189,3.6e-06,0.0,0.0,1.0,0.997088,0.0650322,0.0,0.0,0.000189381,6978.137,0.26,0.5
0.000189,4.6e-05,0.00075864,0.00075864,0.999241,0.983787,0.0116509,1.43416e-07,1.43416e-07,0.0001889,6978.137,0.26,0.5
0.000189,0.0006,0.00643505,0.00643505,0.993565,0.965813,0.00549413,1.2165e-06,1.2165e-06,0.000187827,6978.137,0.26,0.5
0.000189,0.0077,0.0470149,0.0470149,0.952985,0.926039,0.0024358,8.88784e-06,8.88784e-06,0.000180155,6978.137,0.26,0.5
0.000189,0.1,0.367382,0.367382,0.632618,0.763537,0.000505755,6.94509e-05,6.94509e-05,0.000119592,6978.137,0.26,0.5
0.0001365,1e-11,0.0,0.0,1.0,0.999774,0.606254,0.0,0.0,0.000136901,7078.137,0.26,0.5
0.0001365,1.3e-10,0.0,0.0,1.0,0.999723,0.494746,0.0,0.0,0.000136901,7078.137,0.26,0.5
0.0001365,1.7e-09,0.0,0.0,1.0,0.999643,0.382974,0.0,0.0,0.000136901,7078.137,0.26,0.5
0.0001365,2.2e-08,0.0,0.0,1.0,0.999496,0.271655,0.0,0.0,0.0001369,7078.137,0.26,0.5
0.0001365,2.8e-07,0.0,0.0,1.0,0.99915,0.161048,0.0,0.0,0.000136889,7078.137,0.26,0.5
0.0001365,3.6e-06,0.0,0.0,1.0,0.997392,0.0524329,0.0,0.0,0.000136751,7078.137,0.26,0.5
0.0001365,4.6e-05,0.00118199,0.00118199,0.998818,0.983868,0.00845259,1.61363e-07,1.61363e-07,0.000136357,7078.137,0.26,0.5
0.0001365,0.0006,0.00700607,0.00700607,0.992994,0.962521,0.00361703,9.56454e-07,9.56454e-07,0.000135561,7078.137,0.26,0.5
0.0001365,0.0077,0.0420259,0.0420259,0.957974,0.91953,0.00162522,5.7373e-06,5.7373e-06,0.000130781,7078.137,0.26,0.5
0.0001365,0.1,0.350347,0.350347,0.649653,0.758607,0.000367407,4.78286e-05,4.78286e-05,8.86894e-05,7078.137,0.26,0.5
0.0001764,1e-11,0.0,0.0,1.0,0.999726,0.645241,0.0,0.0,0.000176862,7178.137,0.26,0.5
0.0001764,1.3e-10,0.0,0.0,1.0,0.999666,0.530028,0.0,0.0,0.000176862,7178.137,0.26,0.5
0.0001764,1.7e-09,0.0,0.0,1.0,0.999573,0.41457,0.0,0.0,0.000176862,7178.137,0.26,0.5
0.0001764,2.2e-08,0.0,0.0,1.0,0.99941,0.29956,0.0,0.0,0.000176861,7178.137,0.26,0.5
0.0001764,2.8e-07,0.0,0.0,1.0,0.999046,0.185293,0.0,0.0,0.000176849,7178.137,0.26,0.5
0.0001764,3.6e-06,0.0,0.0,1.0,0.99759,0.0733153,0.0,0.0,0.000176708,7178.137,0.26,0.5
0.0001764,4.6e-05,0.00106706,0.00106706,0.998933,0.992444,0.0233163,1.88185e-07,1.88185e-07,0.000176171,7178.137,0.26,0.5
0.0001764,0.0006,0.0187481,0.0187481,0.981252,0.977516,0.00769659,3.3064e-06,3.3064e-06,0.000173052,7178.137,0.26,0.5
0.0001764,0.0077,0.0811056,0.0811056,0.918894,0.915627,0.0019207,1.43037e-05,1.43037e-05,0.000162055,7178.137,0.26,0.5
0.0001764,0.1,0.365945,0.365945,0.634055,0.764824,0.000475479,6.45376e-05,6.45376e-05,0.000111821,7178.137,0.26,0.5
0.0001148,1e-11,0.0,0.0,1.0,0.99984,0.718019,0.0,0.0,0.000115051,7278.137,0.26,0.5
0.0001148,1.3e-10,0.0,0.0,1.0,0.999807,0.595592,0.0,0.0,0.000115051,7278.137,0.26,0.5
0.0001148,1.7e-09,0.0,0.0,1.0,0.999757,0.472868,0.0,0.0,0.000115051,7278.137,0.26,0.5
0.0001148,2.2e-08,0.0,0.0,1.0,0.999672,0.350644,0.0,0.0,0.00011505,7278.137,0.26,0.5
0.0001148,2.8e-07,0.0,0.0,1.0,0.999498,0.229215,0.0,0.0,0.000115038,7278.137,0.26,0.5
0.0001148,3.6e-06,0.0,0.0,1.0,0.998953,0.109745,0.0,0.0,0.000114887,7278.137,0.26,0.5
0.0001148,4.6e-05,0.0059057,0.0059057,0.994094,0.997523,0.0460591,6.77797e-07,6.77797e-07,0.000114092,7278.137,0.26,0.5
0.0001148,0.0006,0.0624911,0.0624911,0.937509,0.99244,0.0142325,7.17209e-06,7.17209e-06,0.000107598,7278.137,0.26,0.5
0.0001148,0.0077,0.251946,0.251946,0.748054,0.932166,0.00126566,2.89158e-05,2.89158e-05,8.58541e-05,7278.137,0.26,0.5
0.0001148,0.1,0.535072,0.535072,0.464928,0.766539,0.000228559,6.14101e-05,6.14101e-05,5.33597e-05,7278.137,0.26,0.5
0.0002564,1e-11,0.0,0.0,1.0,0.999593,0.632647,0.0,0.0,0.0002574,7378.137,0.26,0.5
0.0002564,1.3e-10,0.0,0.0,1.0,0.999506,0.521004,0.0,0.0,0.0002574,7378.137,0.26,0.5
0.0002564,1.7e-09,0.0,0.0,1.0,0.999371,0.409088,0.0,0.0,0.0002574,7378.137,0.26,0.5
0.0002564,2.2e-08,0.0,0.0,1.0,0.999135,0.297617,0.0,0.0,0.000257399,7378.137,0.26,0.5
0.0002564,2.8e-07,0.0,0.0,1.0,0.998623,0.186859,0.0,0.0,0.000257388,7378.137,0.26,0.5
0.0002564,3.6e-06,0.0,0.0,1.0,0.996736,0.0788031,0.0,0.0,0.000257252,7378.137,0.26,0.5
0.0002564,4.6e-05,0.0,0.0,1.0,0.991206,0.0291891,0.0,0.0,0.000256684,7378.137,0.26,0.5
0.0002564,0.0006,0.0128673,0.0128673,0.987133,0.976525,0.0107828,3.29943e-06,3.29943e-06,0.00025312,7378.137,0.26,0.5
0.0002564,0.0077,0.0721625,0.0721625,0.927837,0.923885,0.00312574,1.85039e-05,1.85039e-05,0.000237916,7378.137,0.26,0.5
0.0002564,0.1,0.386334,0.386334,0.613666,0.782843,0.000724619,9.90636e-05,9.90636e-05,0.000157356,7378.137,0.26,0.5
5.273e-05,1e-11,0.0,0.0,1.0,0.999907,0.570554,0.0,0.0,5.29444e-05,7478.137,0.26,0.5
5.273e-05,1.3e-10,0.0,0.0,1.0,0.999887,0.470436,0.0,0.0,5.29444e-05,7478.137,0.26,0.5
5.273e-05,1.7e-09,0.0,0.0,1.0,0.999857,0.370076,0.0,0.0,5.29443e-05,7478.137,0.26,0.5
5.273e-05,2.2e-08,0.0,0.0,1.0,0.999804,0.270135,0.0,0.0,5.29435e-05,7478.137,0.26,0.5
5.273e-05,2.8e-07,0.0,0.0,1.0,0.99969,0.170833,0.0,0.0,5.29335e-05,7478.137,0.26,0.5
5.273e-05,3.6e-06,0.0,0.0,1.0,0.99928,0.0733647,0.0,0.0,5.28102e-05,7478.137,0.26,0.5
5.273e-05,4.6e-05,0.00900985,0.00900985,0.99099,0.997942,0.025388,4.75131e-07,4.75131e-07,5.22595e-05,7478.137,0.26,0.5
5.273e-05,0.0006,0.0759928,0.0759928,0.924007,0.99357,0.00757761,4.00745e-06,4.00745e-06,4.87272e-05,7478.137,0.26,0.5
5.273e-05,0.0077,0.296783,0.296783,0.703217,0.943443,0.000655694,1.56508e-05,1.56508e-05,3.70839e-05,7478.137,0.26,0.5
