annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
2.357e-06,1e-09,0.0,0.0,1.0,1.0,13.9001,0.0,0.0,2.4327e-06,6578.137,0.26,0.5
2.357e-06,6e-09,0.0,0.0,1.0,1.0,10.1594,0.0,0.0,2.42226e-06,6578.137,0.26,0.5
2.357e-06,3.6e-08,0.0,0.0,1.0,1.0,6.41877,0.0,0.0,2.35963e-06,6578.137,0.26,0.5
2.357e-06,2.2e-07,0.16184,0.16184,0.83816,0.999999,2.63978,3.81448e-07,3.81448e-07,1.97549e-06,6578.137,0.26,0.5
2.357e-06,1.3e-06,0.630319,0.630319,0.369681,0.999996,0.197483,1.48562e-06,1.48562e-06,8.71316e-07,6578.137,0.26,0.5
2.357e-06,7.7e-06,0.84018,0.84018,0.15982,0.999976,0.0158633,1.98025e-06,1.98025e-06,3.76687e-07,6578.137,0.26,0.5
2.357e-06,4.6e-05,0.936108,0.936108,0.0638919,0.999711,0.0005212,2.20635e-06,2.20635e-06,1.50589e-07,6578.137,0.26,0.5
2.357e-06,0.00028,0.957305,0.957305,0.0426955,0.99893,9.40682e-05,2.25631e-06,2.25631e-06,1.00631e-07,6578.137,0.26,0.5
2.357e-06,0.0017,0.97483,0.97483,0.0251703,0.995537,1.32914e-05,2.29761e-06,2.29761e-06,5.93247e-08,6578.137,0.26,0.5
2.357e-06,0.01,0.992707,0.992707,0.00729328,0.974314,6.69237e-07,2.33975e-06,2.33975e-06,1.71898e-08,6578.137,0.26,0.5
1.689e-05,1e-09,0.0,0.0,1.0,0.999999,32.5172,0.0,0.0,1.70199e-05,6678.137,0.26,0.5
1.689e-05,6e-09,0.0,0.0,1.0,0.999999,23.8915,0.0,0.0,1.69959e-05,6678.137,0.26,0.5
1.689e-05,3.6e-08,0.0025046,0.0025046,0.997495,0.999999,15.2657,4.23121e-08,4.23121e-08,1.68515e-05,6678.137,0.26,0.5
1.689e-05,2.2e-07,0.0549355,0.0549355,0.945064,0.999998,6.55189,9.28068e-07,9.28068e-07,1.59657e-05,6678.137,0.26,0.5
1.689e-05,1.3e-06,0.209823,0.209823,0.790177,0.999983,0.803713,3.5447e-06,3.5447e-06,1.33491e-05,6678.137,0.26,0.5
1.689e-05,7.7e-06,0.311827,0.311827,0.688173,0.999946,0.217011,5.26792e-06,5.26792e-06,1.16258e-05,6678.137,0.26,0.5
1.689e-05,4.6e-05,0.503808,0.503808,0.496192,0.99958,0.0199655,8.51121e-06,8.51121e-06,8.38255e-06,6678.137,0.26,0.5
1.689e-05,0.00028,0.617874,0.617874,0.382126,0.998227,0.00364061,1.04382e-05,1.04382e-05,6.45554e-06,6678.137,0.26,0.5
1.689e-05,0.0017,0.702533,0.702533,0.297467,0.995099,0.00102534,1.18684e-05,1.18684e-05,5.02534e-06,6678.137,0.26,0.5
1.689e-05,0.01,0.914871,0.914871,0.085129,0.983078,8.4988e-05,1.54556e-05,1.54556e-05,1.43815e-06,6678.137,0.26,0.5
4.06e-05,1e-09,0.0,0.0,1.0,0.999999,30.2114,0.0,0.0,4.07686e-05,6778.137,0.26,0.5
4.06e-05,6e-09,0.0,0.0,1.0,0.999998,22.1683,0.0,0.0,4.07462e-05,6778.137,0.26,0.5
4.06e-05,3.6e-08,0.0,0.0,1.0,0.999997,14.1253,0.0,0.0,4.06115e-05,6778.137,0.26,0.5
4.06e-05,2.2e-07,0.0201406,0.0201406,0.979859,0.999993,5.9999,8.17778e-07,8.17778e-07,3.97856e-05,6778.137,0.26,0.5
4.06e-05,1.3e-06,0.0787228,0.0787228,0.921277,0.999947,0.703033,3.19641e-06,3.19641e-06,3.7407e-05,6778.137,0.26,0.5
4.06e-05,7.7e-06,0.115085,0.115085,0.884915,0.999844,0.230267,4.67284e-06,4.67284e-06,3.59305e-05,6778.137,0.26,0.5
4.06e-05,4.6e-05,0.198195,0.198195,0.801805,0.999308,0.0470306,8.04738e-06,8.04738e-06,3.2556e-05,6778.137,0.26,0.5
4.06e-05,0.00028,0.275805,0.275805,0.724195,0.997964,0.0144414,1.11986e-05,1.11986e-05,2.94048e-05,6778.137,0.26,0.5
4.06e-05,0.0017,0.458908,0.458908,0.541092,0.993442,0.0033501,1.86332e-05,1.86332e-05,2.19702e-05,6778.137,0.26,0.5
4.06e-05,0.01,0.705132,0.705132,0.294868,0.970791,0.000409894,2.86307e-05,2.86307e-05,1.19726e-05,6778.137,0.26,0.5
0.0001242,1e-09,0.0,0.0,1.0,0.999995,24.5594,0.0,0.0,0.000124373,6878.137,0.26,0.5
0.0001242,6e-09,0.0,0.0,1.0,0.999993,18.18,0.0,0.0,0.000124356,6878.137,0.26,0.5
0.0001242,3.6e-08,0.0,0.0,1.0,0.999989,11.8007,0.0,0.0,0.000124249,6878.137,0.26,0.5
0.0001242,2.2e-07,0.00483414,0.00483414,0.995166,0.999977,5.35589,6.00372e-07,6.00372e-07,0.000123594,6878.137,0.26,0.5
0.0001242,1.3e-06,0.0204943,0.0204943,0.979506,0.99989,1.10089,2.54527e-06,2.54527e-06,0.000121649,6878.137,0.26,0.5
0.0001242,7.7e-06,0.0370599,0.0370599,0.96294,0.999753,0.484317,4.60262e-06,4.60262e-06,0.000119591,6878.137,0.26,0.5
0.0001242,4.6e-05,0.0901167,0.0901167,0.909883,0.999211,0.143189,1.1192e-05,1.1192e-05,0.000113002,6878.137,0.26,0.5
0.0001242,0.00028,0.169956,0.169956,0.830044,0.998034,0.0524402,2.11075e-05,2.11075e-05,0.000103087,6878.137,0.26,0.5
0.0001242,0.0017,0.377074,0.377074,0.622926,0.992929,0.0109414,4.68303e-05,4.68303e-05,7.73637e-05,6878.137,0.26,0.5
0.0001242,0.01,0.634906,0.634906,0.365094,0.970279,0.0015256,7.88515e-05,7.88515e-05,4.53425e-05,6878.137,0.26,0.5
0.0003313,1e-09,0.0,0.0,1.0,0.999983,19.5865,0.0,0.0,0.000331651,6978.137,0.26,0.5
0.0003313,6e-09,0.0,0.0,1.0,0.999977,14.6264,0.0,0.0,0.000331637,6978.137,0.26,0.5
0.0003313,3.6e-08,0.0,0.0,1.0,0.999966,9.66653,0.0,0.0,0.000331554,6978.137,0.26,0.5
0.0003313,2.2e-07,0.000895183,0.000895183,0.999105,0.999929,4.65603,2.96611e-07,2.96611e-07,0.000331045,6978.137,0.26,0.5
0.0003313,1.3e-06,0.00574017,0.00574017,0.99426,0.999732,1.22874,1.90196e-06,1.90196e-06,0.000329439,6978.137,0.26,0.5
0.0003313,7.7e-06,0.0126581,0.0126581,0.987342,0.999412,0.556509,4.19414e-06,4.19414e-06,0.000327147,6978.137,0.26,0.5
0.0003313,4.6e-05,0.0341229,0.0341229,0.965877,0.997999,0.159961,1.13063e-05,1.13063e-05,0.000320035,6978.137,0.26,0.5
0.0003313,0.00028,0.0615647,0.0615647,0.938435,0.996054,0.078798,2.03989e-05,2.03989e-05,0.000310942,6978.137,0.26,0.5
0.0003313,0.0017,0.161545,0.161545,0.838455,0.991428,0.0324077,5.35264e-05,5.35264e-05,0.000277815,6978.137,0.26,0.5
0.0003313,0.01,0.485757,0.485757,0.514243,0.969913,0.00566331,0.000160951,0.000160951,0.00017039,6978.137,0.26,0.5
0.0005695,1e-09,0.0,0.0,1.0,0.999965,16.4238,0.0,0.0,0.000570043,7078.137,0.26,0.5
0.0005695,6e-09,0.0,0.0,1.0,0.999954,12.3063,0.0,0.0,0.000570031,7078.137,0.26,0.5
0.0005695,3.6e-08,0.0,0.0,1.0,0.99993,8.18889,0.0,0.0,0.000569963,7078.137,0.26,0.5
0.0005695,2.2e-07,0.0,0.0,1.0,0.999859,4.02921,0.0,0.0,0.00056954,7078.137,0.26,0.5
0.0005695,1.3e-06,0.00221328,0.00221328,0.997787,0.999513,1.16584,1.26036e-06,1.26036e-06,0.000568193,7078.137,0.26,0.5
0.0005695,7.7e-06,0.00570244,0.00570244,0.994298,0.999031,0.584038,3.24727e-06,3.24727e-06,0.000566206,7078.137,0.26,0.5
0.0005695,4.6e-05,0.0172752,0.0172752,0.982725,0.997501,0.22393,9.83744e-06,9.83744e-06,0.000559616,7078.137,0.26,0.5
0.0005695,0.00028,0.0375584,0.0375584,0.962442,0.995588,0.124229,2.13877e-05,2.13877e-05,0.000548066,7078.137,0.26,0.5
0.0005695,0.0017,0.126569,0.126569,0.873431,0.991329,0.0573631,7.20752e-05,7.20752e-05,0.000497378,7078.137,0.26,0.5
0.0005695,0.01,0.464374,0.464374,0.535626,0.968266,0.00961167,0.00026444,0.00026444,0.000305014,7078.137,0.26,0.5
0.0008482,1e-09,0.0,0.0,1.0,0.999946,15.6055,0.0,0.0,0.000848994,7178.137,0.26,0.5
0.0008482,6e-09,0.0,0.0,1.0,0.999928,11.8468,0.0,0.0,0.000848983,7178.137,0.26,0.5
0.0008482,3.6e-08,0.0,0.0,1.0,0.999895,8.08826,0.0,0.0,0.00084892,7178.137,0.26,0.5
0.0008482,2.2e-07,0.0,0.0,1.0,0.999802,4.29094,0.0,0.0,0.000848534,7178.137,0.26,0.5
