annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.0001239,1e-09,0.129866,0.0,1.0,1.0,919.377,1.60899e-05,0.0,0.000107806,6578.137,0.26,0.5
0.0001239,6e-09,0.135582,0.0,1.0,1.0,665.603,1.67981e-05,0.0,0.000107098,6578.137,0.26,0.5
0.0001239,3.6e-08,0.169875,0.0,1.0,1.0,411.84,2.10468e-05,0.0,0.000102849,6578.137,0.26,0.5
0.0001239,2.2e-07,0.380212,0.222977,0.777023,1.0,155.473,4.71068e-05,2.20357e-05,7.67893e-05,6578.137,0.26,0.5
0.0001239,1.3e-06,0.898609,0.872887,0.127113,0.999989,1.18902,0.000111334,8.62631e-05,1.25619e-05,6578.137,0.26,0.5
0.0001239,7.7e-06,0.921826,0.901993,0.0980065,0.999975,0.387094,0.000114211,8.91395e-05,9.68549e-06,6578.137,0.26,0.5
0.0001239,4.6e-05,0.97582,0.969685,0.0303148,0.999866,0.0224153,0.0001209,9.58291e-05,2.99586e-06,6578.137,0.26,0.5
0.0001239,0.00028,0.991489,0.98933,0.0106703,0.998476,0.000692074,0.000122842,9.77705e-05,1.05449e-06,6578.137,0.26,0.5
0.0001239,0.0017,0.99409,0.992591,0.00740874,0.996853,0.00023265,0.000123164,9.80928e-05,7.32169e-07,6578.137,0.26,0.5
0.0001239,0.01,1.0,1.0,0.0,0.0,0.0,0.000123896,9.8825e-05,0.0,6578.137,0.26,0.5
0.000416,1e-09,0.571889,0.0,1.0,1.0,1411.8,0.000237886,0.0,0.000178079,6678.137,0.26,0.5
0.000416,6e-09,0.574505,0.0,1.0,1.0,1021.87,0.000238974,0.0,0.000176991,6678.137,0.26,0.5
0.000416,3.6e-08,0.590202,0.0,1.0,1.0,631.945,0.000245504,0.0,0.000170462,6678.137,0.26,0.5
0.000416,2.2e-07,0.686456,0.212638,0.787362,0.999999,238.084,0.000285542,3.52228e-05,0.000130424,6678.137,0.26,0.5
0.000416,1.3e-06,0.924122,0.809458,0.190542,0.999988,2.61925,0.000384403,0.000134084,3.15626e-05,6678.137,0.26,0.5
0.000416,7.7e-06,0.940635,0.850925,0.149075,0.999965,0.695819,0.000391272,0.000140953,2.46937e-05,6678.137,0.26,0.5
0.000416,4.6e-05,0.967807,0.919157,0.0808427,0.999711,0.0463133,0.000402574,0.000152255,1.33913e-05,6678.137,0.26,0.5
0.000416,0.00028,0.977228,0.942816,0.0571844,0.998302,0.005577,0.000406493,0.000156174,9.47238e-06,6678.137,0.26,0.5
0.000416,0.0017,0.983186,0.957776,0.0422235,0.996329,0.00190533,0.000408971,0.000158652,6.99417e-06,6678.137,0.26,0.5
0.000416,0.01,0.998118,0.995275,0.00472518,0.987014,6.02737e-05,0.000415183,0.000164864,7.82709e-07,6678.137,0.26,0.5
0.0007701,1e-09,0.555895,0.0,1.0,0.999999,611.201,0.000428107,0.0,0.000342015,6778.137,0.26,0.5
0.0007701,6e-09,0.556495,0.0,1.0,0.999999,445.718,0.000428569,0.0,0.000341553,6778.137,0.26,0.5
0.0007701,3.6e-08,0.560093,0.0,1.0,0.999999,280.232,0.00043134,0.0,0.000338782,6778.137,0.26,0.5
0.0007701,2.2e-07,0.582158,0.0443679,0.955632,0.999997,113.058,0.000448333,1.49399e-05,0.000321789,6778.137,0.26,0.5
0.0007701,1.3e-06,0.64102,0.178988,0.821012,0.999968,8.67702,0.000493663,6.02703e-05,0.000276459,6778.137,0.26,0.5
0.0007701,7.7e-06,0.665561,0.235114,0.764886,0.999925,3.4217,0.000512563,7.91698e-05,0.000257559,6778.137,0.26,0.5
0.0007701,4.6e-05,0.734648,0.393122,0.606878,0.999567,0.471992,0.000565769,0.000132375,0.000204354,6778.137,0.26,0.5
0.0007701,0.00028,0.777816,0.49185,0.50815,0.998589,0.121283,0.000599013,0.00016562,0.000171109,6778.137,0.26,0.5
0.0007701,0.0017,0.854214,0.666578,0.333422,0.993964,0.0186018,0.000657849,0.000224456,0.000112273,6778.137,0.26,0.5
0.0007701,0.01,0.923766,0.825649,0.174351,0.978365,0.0027136,0.000711413,0.00027802,5.87091e-05,6778.137,0.26,0.5
0.002097,1e-09,0.763561,0.0,1.0,0.999998,286.567,0.0016011,0.0,0.000495786,6878.137,0.26,0.5
0.002097,6e-09,0.763663,0.0,1.0,0.999998,210.529,0.00160132,0.0,0.000495574,6878.137,0.26,0.5
0.002097,3.6e-08,0.76427,0.0,1.0,0.999996,134.5,0.00160259,0.0,0.000494301,6878.137,0.26,0.5
0.002097,2.2e-07,0.767993,0.0138083,0.986192,0.999992,57.6884,0.0016104,6.81169e-06,0.000486493,6878.137,0.26,0.5
0.002097,1.3e-06,0.778303,0.0576342,0.942366,0.999948,8.86945,0.00163202,2.84312e-05,0.000464873,6878.137,0.26,0.5
0.002097,7.7e-06,0.787088,0.0949748,0.905025,0.999881,3.74938,0.00165044,4.68515e-05,0.000446453,6878.137,0.26,0.5
0.002097,4.6e-05,0.815838,0.217181,0.782819,0.999308,0.557855,0.00171072,0.000107136,0.000386168,6878.137,0.26,0.5
0.002097,0.00028,0.832672,0.288739,0.711261,0.997812,0.160339,0.00174602,0.000142436,0.000350868,6878.137,0.26,0.5
0.002097,0.0017,0.870042,0.447589,0.552411,0.993624,0.0427418,0.00182438,0.000220798,0.000272507,6878.137,0.26,0.5
0.002097,0.01,0.926386,0.687089,0.312911,0.9724,0.00559282,0.00194253,0.000338944,0.00015436,6878.137,0.26,0.5
0.004104,1e-09,0.768595,0.0,1.0,0.999995,179.056,0.00315465,0.0,0.000949785,6978.137,0.26,0.5
0.004104,6e-09,0.768627,0.0,1.0,0.999993,132.389,0.00315478,0.0,0.000949655,6978.137,0.26,0.5
0.004104,3.6e-08,0.768818,0.0,1.0,0.999989,85.7258,0.00315556,0.0,0.000948873,6978.137,0.26,0.5
0.004104,2.2e-07,0.769985,0.00444811,0.995552,0.999976,38.5851,0.00316035,4.21814e-06,0.000944081,6978.137,0.26,0.5
0.004104,1.3e-06,0.773324,0.0188991,0.981101,0.999885,8.09198,0.00317406,1.7922e-05,0.000930378,6978.137,0.26,0.5
0.004104,7.7e-06,0.777368,0.0364021,0.963598,0.999737,3.4785,0.00319066,3.45201e-05,0.00091378,6978.137,0.26,0.5
0.004104,4.6e-05,0.789668,0.0896405,0.910359,0.998616,0.623946,0.00324114,8.50061e-05,0.000863294,6978.137,0.26,0.5
0.004104,0.00028,0.798453,0.127662,0.872338,0.996777,0.256666,0.0032772,0.000121062,0.000827238,6978.137,0.26,0.5
0.004104,0.0017,0.825624,0.245265,0.754735,0.992939,0.101355,0.00338872,0.000232585,0.000715715,6978.137,0.26,0.5
0.004104,0.01,0.907596,0.600055,0.399945,0.974124,0.014657,0.00372517,0.000569032,0.000379268,6978.137,0.26,0.5
0.008126,1e-09,0.808335,0.0,1.0,0.999985,103.87,0.0065682,0.0,0.0015574,7078.137,0.26,0.5
0.008126,6e-09,0.808344,0.0,1.0,0.99998,77.1757,0.00656828,0.0,0.00155732,7078.137,0.26,0.5
0.008126,3.6e-08,0.808399,0.0,1.0,0.999969,50.4819,0.00656873,0.0,0.00155688,7078.137,0.26,0.5
0.008126,2.2e-07,0.808736,0.00160078,0.998399,0.999934,23.5158,0.00657147,2.49181e-06,0.00155413,7078.137,0.26,0.5
