annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
0.0001903,1e-09,0.687322,0.0,1.0,1.0,376.306,0.000130772,0.0,5.94911e-05,6578.137,60.0,0.32,1.0
0.0001903,6e-09,0.6888,0.00448847,0.995512,1.0,275.552,0.000131053,2.6696e-07,5.92099e-05,6578.137,60.0,0.32,1.0
0.0001903,3.6e-08,0.697667,0.0328531,0.967147,1.0,174.794,0.00013274,1.954e-06,5.75229e-05,6578.137,60.0,0.32,1.0
0.0001903,2.2e-07,0.752047,0.206812,0.793188,0.999999,73.0103,0.000143087,1.23005e-05,4.71763e-05,6578.137,60.0,0.32,1.0
0.0001903,1.3e-06,0.921393,0.74854,0.25146,0.999994,2.51127,0.000175307,4.45208e-05,1.49561e-05,6578.137,60.0,0.32,1.0
0.0001903,7.7e-06,0.950666,0.842183,0.157817,0.999978,0.427479,0.000180877,5.00904e-05,9.38647e-06,6578.137,60.0,0.32,1.0
0.0001903,4.6e-05,0.990524,0.969687,0.0303131,0.999856,0.0124777,0.00018846,5.7674e-05,1.80293e-06,6578.137,60.0,0.32,1.0
0.0001903,0.00028,0.993855,0.980343,0.0196567,0.997354,0.000441776,0.000189094,5.83078e-05,1.16912e-06,6578.137,60.0,0.32,1.0
0.0001903,0.0017,0.994782,0.983309,0.0166907,0.995013,0.000199073,0.00018927,5.84842e-05,9.92709e-07,6578.137,60.0,0.32,1.0
0.0001903,0.01,0.998941,0.996611,0.00338863,0.988054,1.68713e-05,0.000190061,5.92753e-05,2.01545e-07,6578.137,60.0,0.32,1.0
0.0006282,1e-09,0.766628,0.0,1.0,1.0,540.796,0.00048159,0.0,0.000146603,6678.137,60.0,0.32,1.0
0.0006282,6e-09,0.767251,0.00224261,0.997757,1.0,400.411,0.000481982,3.28632e-07,0.000146211,6678.137,60.0,0.32,1.0
0.0006282,3.6e-08,0.770993,0.0182824,0.981718,0.999999,260.028,0.000484332,2.6791e-06,0.000143861,6678.137,60.0,0.32,1.0
0.0006282,2.2e-07,0.793942,0.11666,0.88334,0.999999,118.208,0.000498748,1.70952e-05,0.000129444,6678.137,60.0,0.32,1.0
0.0006282,1.3e-06,0.875603,0.466728,0.533272,0.999994,13.1086,0.000550047,6.83942e-05,7.81454e-05,6678.137,60.0,0.32,1.0
0.0006282,7.7e-06,0.924619,0.676852,0.323148,0.999982,2.67051,0.000580839,9.91857e-05,4.73539e-05,6678.137,60.0,0.32,1.0
0.0006282,4.6e-05,0.989929,0.956828,0.0431724,0.99968,0.0197993,0.000621866,0.000140213,6.32647e-06,6678.137,60.0,0.32,1.0
0.0006282,0.00028,0.99166,0.964246,0.0357538,0.998696,0.00401863,0.000622953,0.0001413,5.23935e-06,6678.137,60.0,0.32,1.0
0.0006282,0.0017,0.995407,0.980311,0.0196885,0.99709,0.000991581,0.000625308,0.000143654,2.88515e-06,6678.137,60.0,0.32,1.0
0.0006282,0.01,0.99991,0.999616,0.00038401,0.988058,4.71216e-06,0.000628136,0.000146483,5.62726e-08,6678.137,60.0,0.32,1.0
0.001041,1e-09,0.781413,0.0,1.0,0.999999,209.384,0.00081322,0.0,0.000227485,6778.137,60.0,0.32,1.0
0.001041,6e-09,0.781556,0.000520083,0.99948,0.999999,156.144,0.000813369,1.18295e-07,0.000227336,6778.137,60.0,0.32,1.0
0.001041,3.6e-08,0.782412,0.00443916,0.995561,0.999998,102.903,0.00081426,1.0097e-06,0.000226445,6778.137,60.0,0.32,1.0
0.001041,2.2e-07,0.787666,0.0284764,0.971524,0.999996,49.1169,0.000819728,6.47708e-06,0.000220977,6778.137,60.0,0.32,1.0
0.001041,1.3e-06,0.809215,0.127071,0.872929,0.999965,5.60729,0.000842154,2.8903e-05,0.000198551,6778.137,60.0,0.32,1.0
0.001041,7.7e-06,0.819871,0.175827,0.824173,0.999914,2.17056,0.000853243,3.99926e-05,0.000187462,6778.137,60.0,0.32,1.0
0.001041,4.6e-05,0.847837,0.303788,0.696212,0.999729,0.584774,0.000882349,6.90979e-05,0.000158356,6778.137,60.0,0.32,1.0
0.001041,0.00028,0.894094,0.515432,0.484568,0.998919,0.101962,0.000930488,0.000117237,0.000110217,6778.137,60.0,0.32,1.0
0.001041,0.0017,0.948246,0.763203,0.236797,0.995422,0.0117655,0.000986845,0.000173594,5.38605e-05,6778.137,60.0,0.32,1.0
0.001041,0.01,0.980403,0.910333,0.0896673,0.979815,0.00101039,0.00102031,0.000207059,2.03952e-05,6778.137,60.0,0.32,1.0
0.003196,1e-09,0.813083,0.0,1.0,0.999995,124.152,0.00259879,0.0,0.000597429,6878.137,60.0,0.32,1.0
0.003196,6e-09,0.81311,0.0,1.0,0.999994,93.674,0.00259888,0.0,0.000597344,6878.137,60.0,0.32,1.0
0.003196,3.6e-08,0.813269,0.000756875,0.999243,0.999991,63.1971,0.00259939,4.52071e-07,0.000596833,6878.137,60.0,0.32,1.0
0.003196,2.2e-07,0.814248,0.00599699,0.994003,0.999982,32.4071,0.00260252,3.58191e-06,0.000593704,6878.137,60.0,0.32,1.0
0.003196,1.3e-06,0.818371,0.0280586,0.971941,0.999919,7.17297,0.0026157,1.6759e-05,0.000580527,6878.137,60.0,0.32,1.0
0.003196,7.7e-06,0.822182,0.0484536,0.951546,0.999845,3.66901,0.00262788,2.89406e-05,0.000568345,6878.137,60.0,0.32,1.0
0.003196,4.6e-05,0.836844,0.126913,0.873087,0.999577,1.23259,0.00267474,7.58035e-05,0.000521482,6878.137,60.0,0.32,1.0
0.003196,0.00028,0.867197,0.289338,0.710662,0.998666,0.318289,0.00277175,0.000172817,0.000424468,6878.137,60.0,0.32,1.0
0.003196,0.0017,0.92589,0.603416,0.396584,0.995352,0.0509584,0.00295935,0.000360412,0.000236874,6878.137,60.0,0.32,1.0
0.003196,0.01,0.971397,0.846936,0.153064,0.9796,0.00448162,0.0031048,0.000505863,9.14228e-05,6878.137,60.0,0.32,1.0
0.005686,1e-09,0.820959,0.0,1.0,0.999989,90.4019,0.00466806,0.0,0.00101805,6978.137,60.0,0.32,1.0
0.005686,6e-09,0.820969,0.0,1.0,0.999985,68.548,0.00466812,0.0,0.00101799,6978.137,60.0,0.32,1.0
0.005686,3.6e-08,0.821034,7.82134e-05,0.999922,0.999978,46.694,0.00466849,7.95979e-08,0.00101762,6978.137,60.0,0.32,1.0
0.005686,2.2e-07,0.821428,0.00228336,0.997717,0.999959,24.616,0.00467073,2.32378e-06,0.00101538,6978.137,60.0,0.32,1.0
0.005686,1.3e-06,0.823126,0.0117685,0.988232,0.99984,6.30267,0.00468039,1.19768e-05,0.00100572,6978.137,60.0,0.32,1.0
0.005686,7.7e-06,0.824935,0.0218744,0.978126,0.999701,3.328,0.00469067,2.22616e-05,0.00099544,6978.137,60.0,0.32,1.0
0.005686,4.6e-05,0.832104,0.0619308,0.938069,0.999202,1.19634,0.00473144,6.30271e-05,0.000954674,6978.137,60.0,0.32,1.0
0.005686,0.00028,0.84674,0.143703,0.856297,0.998081,0.454222,0.00481466,0.000146247,0.000871455,6978.137,60.0,0.32,1.0
0.005686,0.0017,0.890221,0.386642,0.613358,0.994899,0.122377,0.00506189,0.000393486,0.000624215,6978.137,60.0,0.32,1.0
0.005686,0.01,0.948775,0.713793,0.286207,0.976632,0.0124647,0.00539484,0.000726428,0.000291274,6978.137,60.0,0.32,1.0
0.0107,1e-09,0.85096,0.0,1.0,0.999977,70.1949,0.00910747,0.0,0.00159511,7078.137,60.0,0.32,1.0
0.0107,6e-09,0.850964,0.0,1.0,0.99997,53.578,0.00910752,0.0,0.00159507,7078.137,60.0,0.32,1.0
0.0107,3.6e-08,0.85099,0.0,1.0,0.999957,36.961,0.0091078,0.0,0.00159479,7078.137,60.0,0.32,1.0
0.0107,2.2e-07,0.85115,0.000925889,0.999074,0.999921,20.1741,0.0091095,1.47639e-06,0.00159308,7078.137,60.0,0.32,1.0
0.0107,1.3e-06,0.851838,0.00554369,0.994456,0.999745,6.22166,0.00911687,8.83974e-06,0.00158572,7078.137,60.0,0.32,1.0
0.0107,7.7e-06,0.852693,0.0112848,0.988715,0.999561,3.59389,0.00912602,1.79942e-05,0.00157657,7078.137,60.0,0.32,1.0
0.0107,4.6e-05,0.856287,0.0354044,0.964596,0.999046,1.61171,0.00916448,5.64544e-05,0.0015381,7078.137,60.0,0.32,1.0
0.0107,0.00028,0.865465,0.097011,0.902989,0.998152,0.778993,0.00926272,0.00015469,0.00143987,7078.137,60.0,0.32,1.0
0.0107,0.0017,0.905922,0.368557,0.631443,0.995425,0.220058,0.00969571,0.000587686,0.00100687,7078.137,60.0,0.32,1.0
0.0107,0.01,0.961774,0.743428,0.256572,0.978101,0.0186818,0.0102935,0.00118544,0.000409118,7078.137,60.0,0.32,1.0
0.01719,1e-09,0.875239,0.0,1.0,0.999963,58.3624,0.0150475,0.0,0.00214494,7178.137,60.0,0.32,1.0
0.01719,6e-09,0.875241,0.0,1.0,0.999952,44.9529,0.0150475,0.0,0.00214491,7178.137,60.0,0.32,1.0
0.01719,3.6e-08,0.875254,0.0,1.0,0.999932,31.5415,0.0150477,0.0,0.00214468,7178.137,60.0,0.32,1.0
0.01719,2.2e-07,0.875334,0.000502973,0.999497,0.999881,17.9934,0.0150491,1.07857e-06,0.00214331,7178.137,60.0,0.32,1.0
0.01719,1.3e-06,0.875685,0.00331625,0.996684,0.999678,6.63224,0.0150551,7.11131e-06,0.00213727,7178.137,60.0,0.32,1.0
0.01719,7.7e-06,0.876194,0.00739861,0.992601,0.999485,4.12911,0.0150639,1.58655e-05,0.00212852,7178.137,60.0,0.32,1.0
0.01719,4.6e-05,0.878442,0.0254224,0.974578,0.999044,2.18499,0.0151025,5.45154e-05,0.00208987,7178.137,60.0,0.32,1.0
0.01719,0.00028,0.886105,0.0868587,0.913141,0.998237,1.11095,0.0152343,0.000186258,0.00195813,7178.137,60.0,0.32,1.0
0.01719,0.0017,0.922759,0.380727,0.619273,0.995395,0.288389,0.0158645,0.000816424,0.00132796,7178.137,60.0,0.32,1.0
0.01719,0.01,0.968178,0.744866,0.255134,0.979676,0.0269191,0.0166453,0.00159728,0.000547105,7178.137,60.0,0.32,1.0
0.01193,1e-09,0.90026,0.0,1.0,0.999973,43.9291,0.0107377,0.0,0.00118964,7278.137,60.0,0.32,1.0
0.01193,6e-09,0.900262,0.0,1.0,0.999965,33.8188,0.0107377,0.0,0.00118961,7278.137,60.0,0.32,1.0
0.01193,3.6e-08,0.900276,1.53408e-05,0.999985,0.99995,23.708,0.0107379,1.82473e-08,0.00118944,7278.137,60.0,0.32,1.0
0.01193,2.2e-07,0.900363,0.000888234,0.999112,0.999912,13.4938,0.0107389,1.05652e-06,0.0011884,7278.137,60.0,0.32,1.0
0.01193,1.3e-06,0.900743,0.00469768,0.995302,0.99976,4.94222,0.0107434,5.58769e-06,0.00118387,7278.137,60.0,0.32,1.0
0.01193,7.7e-06,0.90128,0.0100824,0.989918,0.999621,3.10748,0.0107498,1.19925e-05,0.00117746,7278.137,60.0,0.32,1.0
0.01193,4.6e-05,0.903788,0.0352345,0.964765,0.999293,1.62307,0.0107798,4.19099e-05,0.00114755,7278.137,60.0,0.32,1.0
0.01193,0.00028,0.912777,0.12537,0.87463,0.998609,0.747924,0.010887,0.000149122,0.00104033,7278.137,60.0,0.32,1.0
0.01193,0.0017,0.948731,0.485902,0.514098,0.99572,0.142885,0.0113158,0.000577959,0.000611497,7278.137,60.0,0.32,1.0
0.01193,0.01,0.984299,0.842555,0.157445,0.978663,0.00877709,0.01174,0.00100218,0.000187274,7278.137,60.0,0.32,1.0
0.007595,1e-09,0.914412,0.0,1.0,0.999975,26.4931,0.00694537,0.0,0.000650077,7378.137,60.0,0.32,1.0
0.007595,6e-09,0.914415,0.0,1.0,0.999968,20.2703,0.00694538,0.0,0.000650059,7378.137,60.0,0.32,1.0
0.007595,3.6e-08,0.914428,0.0,1.0,0.999954,14.0477,0.00694549,0.0,0.000649955,7378.137,60.0,0.32,1.0
0.007595,2.2e-07,0.914512,0.000646158,0.999354,0.999916,7.76125,0.00694613,4.19832e-07,0.000649316,7378.137,60.0,0.32,1.0
0.007595,1.3e-06,0.914882,0.00497058,0.995029,0.999738,2.46994,0.00694894,3.22957e-06,0.000646506,7378.137,60.0,0.32,1.0
0.007595,7.7e-06,0.915354,0.0104852,0.989515,0.99955,1.42854,0.00695252,6.81262e-06,0.000642923,7378.137,60.0,0.32,1.0
0.007595,4.6e-05,0.917294,0.0331649,0.966835,0.999075,0.679143,0.00696726,2.15484e-05,0.000628187,7378.137,60.0,0.32,1.0
0.007595,0.00028,0.923294,0.1033,0.8967,0.998041,0.297376,0.00701282,6.71174e-05,0.000582618,7378.137,60.0,0.32,1.0
0.007595,0.0017,0.945172,0.359053,0.640947,0.993613,0.065202,0.007179,0.00023329,0.000416446,7378.137,60.0,0.32,1.0
0.007595,0.01,0.970115,0.650641,0.349359,0.970295,0.00764154,0.00736845,0.000422745,0.000226991,7378.137,60.0,0.32,1.0
0.005219,1e-09,0.946739,0.0,1.0,0.999983,16.717,0.00494141,0.0,0.000277988,7478.137,60.0,0.32,1.0
0.005219,6e-09,0.946742,0.0,1.0,0.999978,12.7718,0.00494142,0.0,0.000277977,7478.137,60.0,0.32,1.0
0.005219,3.6e-08,0.946754,0.0,1.0,0.999969,8.82659,0.00494149,0.0,0.000277911,7478.137,60.0,0.32,1.0
0.005219,2.2e-07,0.946832,0.00144088,0.998559,0.999943,4.84091,0.0049419,4.0043e-07,0.000277506,7478.137,60.0,0.32,1.0
0.005219,1.3e-06,0.947179,0.00796133,0.992039,0.999811,1.45596,0.00494371,2.2125e-06,0.000275694,7478.137,60.0,0.32,1.0
0.005219,7.7e-06,0.947606,0.0159745,0.984026,0.999657,0.797631,0.00494593,4.43941e-06,0.000273467,7478.137,60.0,0.32,1.0
0.005219,4.6e-05,0.949252,0.0469013,0.953099,0.999261,0.35857,0.00495453,1.30342e-05,0.000264872,7478.137,60.0,0.32,1.0
0.005219,0.00028,0.953995,0.135977,0.864023,0.998391,0.149275,0.00497928,3.77889e-05,0.000240117,7478.137,60.0,0.32,1.0
0.005219,0.0017,0.969996,0.436492,0.563508,0.994868,0.0305151,0.0050628,0.000121304,0.000156602,7478.137,60.0,0.32,1.0
0.005219,0.01,0.988117,0.776815,0.223185,0.97661,0.00265181,0.00515738,0.000215882,6.20245e-05,7478.137,60.0,0.32,1.0
0.004529,1e-09,0.956589,0.0,1.0,0.999984,12.2176,0.0043326,0.0,0.000196615,7578.137,60.0,0.32,1.0
0.004529,6e-09,0.956591,0.0,1.0,0.999979,9.33918,0.0043326,0.0,0.000196607,7578.137,60.0,0.32,1.0
0.004529,3.6e-08,0.956602,0.0,1.0,0.99997,6.46079,0.00433265,0.0,0.000196559,7578.137,60.0,0.32,1.0
0.004529,2.2e-07,0.956667,0.00130692,0.998693,0.999945,3.55289,0.00433295,2.56836e-07,0.000196264,7578.137,60.0,0.32,1.0
0.004529,1.3e-06,0.956962,0.00810863,0.991891,0.999818,1.07028,0.00433428,1.59351e-06,0.000194927,7578.137,60.0,0.32,1.0
0.004529,7.7e-06,0.957323,0.0164261,0.983574,0.999669,0.583658,0.00433592,3.22806e-06,0.000193292,7578.137,60.0,0.32,1.0
0.004529,4.6e-05,0.958685,0.0478143,0.952186,0.999308,0.270364,0.00434209,9.39649e-06,0.000187124,7578.137,60.0,0.32,1.0
0.004529,0.00028,0.962954,0.146202,0.853798,0.998444,0.107853,0.00436142,2.87317e-05,0.000167789,7578.137,60.0,0.32,1.0
0.004529,0.0017,0.976547,0.459479,0.540521,0.994401,0.0189723,0.00442299,9.02971e-05,0.000106223,7578.137,60.0,0.32,1.0
0.004529,0.01,0.98917,0.750399,0.249601,0.972335,0.00177303,0.00448016,0.000147469,4.90517e-05,7578.137,60.0,0.32,1.0
0.0001999,1e-09,0.681015,0.00058823,0.999412,1.0,321.154,0.000136128,3.75287e-08,6.37619e-05,6578.137,70.0,0.32,1.0
0.0001999,6e-09,0.682178,0.00423109,0.995769,1.0,237.867,0.00013636,2.69941e-07,6.35295e-05,6578.137,70.0,0.32,1.0
0.0001999,3.6e-08,0.689154,0.0260898,0.97391,1.0,154.576,0.000137755,1.66452e-06,6.21349e-05,6578.137,70.0,0.32,1.0
0.0001999,2.2e-07,0.731942,0.160147,0.839853,0.999999,70.438,0.000146308,1.02173e-05,5.35821e-05,6578.137,70.0,0.32,1.0
0.0001999,1.3e-06,0.906339,0.706551,0.293449,0.999993,2.55691,0.000181168,4.50776e-05,1.87219e-05,6578.137,70.0,0.32,1.0
0.0001999,7.7e-06,0.934524,0.794856,0.205144,0.999935,0.199876,0.000186802,5.07114e-05,1.30881e-05,6578.137,70.0,0.32,1.0
0.0001999,4.6e-05,0.948112,0.837429,0.162571,0.999803,0.0525378,0.000189518,5.34275e-05,1.03719e-05,6578.137,70.0,0.32,1.0
0.0001999,0.00028,0.973425,0.916737,0.0832629,0.999055,0.00562326,0.000194578,5.84873e-05,5.31212e-06,6578.137,70.0,0.32,1.0
0.0001999,0.0017,0.983696,0.948918,0.0510821,0.98821,0.000276423,0.000196631,6.05404e-05,3.25901e-06,6578.137,70.0,0.32,1.0
0.0001999,0.01,0.987533,0.96094,0.0390599,0.977716,0.000111831,0.000197398,6.13074e-05,2.492e-06,6578.137,70.0,0.32,1.0
0.0006596,1e-09,0.757462,0.0,1.0,1.0,469.086,0.000499635,0.0,0.000159982,6678.137,70.0,0.32,1.0
0.0006596,6e-09,0.757965,0.00207349,0.997927,1.0,350.071,0.000499967,3.31721e-07,0.00015965,6678.137,70.0,0.32,1.0
0.0006596,3.6e-08,0.760986,0.0145297,0.98547,0.999999,231.053,0.00050196,2.32448e-06,0.000157657,6678.137,70.0,0.32,1.0
0.0006596,2.2e-07,0.779516,0.0909275,0.909073,0.999999,110.818,0.000514182,1.45467e-05,0.000145435,6678.137,70.0,0.32,1.0
0.0006596,1.3e-06,0.85846,0.41642,0.58358,0.999992,11.8391,0.000566255,6.66196e-05,9.33623e-05,6678.137,70.0,0.32,1.0
0.0006596,7.7e-06,0.897787,0.57857,0.42143,0.999969,2.20483,0.000592196,9.25607e-05,6.74211e-05,6678.137,70.0,0.32,1.0
0.0006596,4.6e-05,0.955393,0.81608,0.18392,0.999883,0.251442,0.000630193,0.000130558,2.94239e-05,6678.137,70.0,0.32,1.0
0.0006596,0.00028,0.98166,0.924385,0.0756152,0.998672,0.00910928,0.00064752,0.000147885,1.20971e-05,6678.137,70.0,0.32,1.0
0.0006596,0.0017,0.988163,0.951195,0.0488053,0.9955,0.00173507,0.000651809,0.000152174,7.80796e-06,6678.137,70.0,0.32,1.0
0.0006596,0.01,0.997101,0.988046,0.0119537,0.982235,0.000107648,0.000657705,0.000158069,1.91238e-06,6678.137,70.0,0.32,1.0
0.001145,1e-09,0.784602,0.0,1.0,0.999999,212.312,0.000898328,0.0,0.000246619,6778.137,70.0,0.32,1.0
0.001145,6e-09,0.784733,0.00038428,0.999616,0.999998,158.634,0.000898478,9.47496e-08,0.000246469,6778.137,70.0,0.32,1.0
0.001145,3.6e-08,0.785518,0.00402934,0.995971,0.999998,104.956,0.000899377,9.93491e-07,0.000245571,6778.137,70.0,0.32,1.0
0.001145,2.2e-07,0.790332,0.0263858,0.973614,0.999995,50.7286,0.000904889,6.5058e-06,0.000240058,6778.137,70.0,0.32,1.0
0.001145,1.3e-06,0.810841,0.121622,0.878378,0.999964,6.01269,0.000928371,2.99876e-05,0.000216577,6778.137,70.0,0.32,1.0
0.001145,7.7e-06,0.821055,0.16905,0.83095,0.999906,2.17125,0.000940065,4.16816e-05,0.000204883,6778.137,70.0,0.32,1.0
0.001145,4.6e-05,0.846524,0.28732,0.71268,0.999692,0.570234,0.000969226,7.08428e-05,0.000175721,6778.137,70.0,0.32,1.0
0.001145,0.00028,0.886848,0.474567,0.525433,0.998703,0.0998504,0.00101539,0.000117011,0.000129553,6778.137,70.0,0.32,1.0
0.001145,0.0017,0.933927,0.693182,0.306818,0.994557,0.0138981,0.0010693,0.000170914,7.56504e-05,6778.137,70.0,0.32,1.0
0.001145,0.01,0.969811,0.859816,0.140184,0.979023,0.00164775,0.00111038,0.000212,3.45643e-05,6778.137,70.0,0.32,1.0
0.003769,1e-09,0.802718,0.0,1.0,0.999994,123.485,0.00302508,0.0,0.000743465,6878.137,70.0,0.32,1.0
0.003769,6e-09,0.80274,0.0,1.0,0.999992,93.4122,0.00302516,0.0,0.000743381,6878.137,70.0,0.32,1.0
0.003769,3.6e-08,0.802874,0.000513244,0.999487,0.999988,63.3409,0.00302566,3.81473e-07,0.000742878,6878.137,70.0,0.32,1.0
0.003769,2.2e-07,0.803693,0.00466808,0.995332,0.999978,32.961,0.00302875,3.46959e-06,0.00073979,6878.137,70.0,0.32,1.0
0.003769,1.3e-06,0.807285,0.0228778,0.977122,0.999904,7.5266,0.00304229,1.70041e-05,0.000726255,6878.137,70.0,0.32,1.0
0.003769,7.7e-06,0.810595,0.0396627,0.960337,0.999814,3.832,0.00305476,2.94796e-05,0.00071378,6878.137,70.0,0.32,1.0
0.003769,4.6e-05,0.823242,0.103786,0.896214,0.999509,1.3558,0.00310242,7.71403e-05,0.000666119,6878.137,70.0,0.32,1.0
0.003769,0.00028,0.851336,0.246229,0.753771,0.998463,0.36456,0.0032083,0.000183012,0.000560247,6878.137,70.0,0.32,1.0
0.003769,0.0017,0.907067,0.528801,0.471199,0.994654,0.065516,0.00341832,0.000393036,0.000350223,6878.137,70.0,0.32,1.0
0.003769,0.01,0.956934,0.781644,0.218356,0.978731,0.00763076,0.00360625,0.000580964,0.000162295,6878.137,70.0,0.32,1.0
0.006811,1e-09,0.822652,0.0,1.0,0.999987,90.5449,0.00560317,0.0,0.00120794,6978.137,70.0,0.32,1.0
0.006811,6e-09,0.822661,0.0,1.0,0.999982,68.7913,0.00560323,0.0,0.00120788,6978.137,70.0,0.32,1.0
0.006811,3.6e-08,0.822714,0.0,1.0,0.999974,47.0376,0.00560359,0.0,0.00120751,6978.137,70.0,0.32,1.0
0.006811,2.2e-07,0.823042,0.00171407,0.998286,0.999952,25.0611,0.00560583,2.06948e-06,0.00120528,6978.137,70.0,0.32,1.0
0.006811,1.3e-06,0.824497,0.00992105,0.990079,0.999817,6.53572,0.00561574,1.19782e-05,0.00119537,6978.137,70.0,0.32,1.0
0.006811,7.7e-06,0.826039,0.0186224,0.981378,0.999657,3.45492,0.00562624,2.24838e-05,0.00118486,6978.137,70.0,0.32,1.0
0.006811,4.6e-05,0.832166,0.0531831,0.946817,0.999103,1.2742,0.00566797,6.42106e-05,0.00114314,6978.137,70.0,0.32,1.0
0.006811,0.00028,0.845215,0.126798,0.873202,0.997825,0.484621,0.00575685,0.000153089,0.00105426,6978.137,70.0,0.32,1.0
0.006811,0.0017,0.883266,0.34146,0.65854,0.994114,0.135088,0.00601602,0.000412262,0.000795087,6978.137,70.0,0.32,1.0
0.006811,0.01,0.938256,0.651681,0.348319,0.976695,0.0180451,0.00639057,0.000786806,0.000420542,6978.137,70.0,0.32,1.0
0.01265,1e-09,0.849802,0.0,1.0,0.999973,71.4072,0.0107486,0.0,0.00189976,7078.137,70.0,0.32,1.0
0.01265,6e-09,0.849806,0.0,1.0,0.999965,54.6702,0.0107487,0.0,0.00189971,7078.137,70.0,0.32,1.0
0.01265,3.6e-08,0.849828,0.0,1.0,0.99995,37.9339,0.010749,0.0,0.00189943,7078.137,70.0,0.32,1.0
0.01265,2.2e-07,0.849964,0.00079023,0.99921,0.99991,21.0261,0.0107507,1.50082e-06,0.00189771,7078.137,70.0,0.32,1.0
0.01265,1.3e-06,0.850569,0.00481582,0.995184,0.99972,6.75146,0.0107583,9.14627e-06,0.00189007,7078.137,70.0,0.32,1.0
0.01265,7.7e-06,0.851352,0.0100328,0.989967,0.999515,3.87914,0.0107682,1.90545e-05,0.00188016,7078.137,70.0,0.32,1.0
