annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.000138,1e-09,0.115548,0.0,1.0,1.0,933.956,1.59484e-05,0.0,0.000122076,6578.137,0.26,0.5
0.000138,7.7e-09,0.122528,0.0,1.0,1.0,640.438,1.69119e-05,0.0,0.000121113,6578.137,0.26,0.5
0.000138,6e-08,0.177008,0.0,1.0,1.0,345.241,2.44315e-05,0.0,0.000113593,6578.137,0.26,0.5
0.000138,4.6e-07,0.589448,0.498322,0.501678,0.999999,53.8114,8.13582e-05,5.62871e-05,5.66662e-05,6578.137,0.26,0.5
0.000138,3.6e-06,0.828456,0.790379,0.209621,0.999974,0.893589,0.000114347,8.92759e-05,2.36773e-05,6578.137,0.26,0.5
0.000138,2.8e-05,0.879873,0.85321,0.14679,0.999874,0.131124,0.000121444,9.63728e-05,1.65804e-05,6578.137,0.26,0.5
0.000138,0.00022,0.928626,0.912784,0.0872156,0.998941,0.00930537,0.000128173,0.000103102,9.85129e-06,6578.137,0.26,0.5
0.000138,0.0017,0.958031,0.948716,0.0512843,0.987499,0.000463391,0.000132232,0.000107161,5.79273e-06,6578.137,0.26,0.5
0.000138,0.013,0.968126,0.961051,0.0389489,0.958375,0.00010569,0.000133625,0.000108554,4.3994e-06,6578.137,0.26,0.5
0.000138,0.1,0.997823,0.997339,0.00266061,0.896215,2.89565e-06,0.000137724,0.000112653,3.00524e-07,6578.137,0.26,0.5
0.0004822,1e-09,0.493019,0.0,1.0,1.0,1448.12,0.000237726,0.0,0.000244458,6678.137,0.26,0.5
0.0004822,7.7e-09,0.496115,0.0,1.0,1.0,993.357,0.000239219,0.0,0.000242965,6678.137,0.26,0.5
0.0004822,6e-08,0.520279,0.00237747,0.997623,1.0,535.984,0.00025087,5.51253e-07,0.000231314,6678.137,0.26,0.5
0.0004822,4.6e-07,0.702596,0.381523,0.618477,0.999998,85.1406,0.000338781,8.84617e-05,0.000143403,6678.137,0.26,0.5
0.0004822,3.6e-06,0.814184,0.613579,0.386421,0.999968,2.84069,0.000392586,0.000142267,8.95975e-05,6678.137,0.26,0.5
0.0004822,2.8e-05,0.858443,0.705619,0.294381,0.999888,0.607462,0.000413927,0.000163608,6.82566e-05,6678.137,0.26,0.5
0.0004822,0.00022,0.944533,0.884652,0.115348,0.998704,0.0206378,0.000455439,0.00020512,2.67452e-05,6678.137,0.26,0.5
0.0004822,0.0017,0.960874,0.918634,0.0813663,0.994383,0.00335903,0.000463318,0.000212999,1.8866e-05,6678.137,0.26,0.5
0.0004822,0.013,0.985517,0.969882,0.030118,0.973231,0.00026087,0.000475201,0.000224882,6.98332e-06,6678.137,0.26,0.5
0.0004822,0.1,0.999819,0.999623,0.000377269,0.896234,8.43011e-07,0.000482096,0.000231777,8.74754e-08,6678.137,0.26,0.5
0.0008527,1e-09,0.501697,0.0,1.0,0.999999,642.241,0.000427814,0.0,0.00042492,6778.137,0.26,0.5
0.0008527,7.7e-09,0.502458,0.0,1.0,0.999999,444.38,0.000428464,0.0,0.000424271,6778.137,0.26,0.5
0.0008527,6e-08,0.508404,0.000335023,0.999665,0.999998,245.348,0.000433534,1.40489e-07,0.000419201,6778.137,0.26,0.5
0.0008527,4.6e-07,0.553431,0.0918988,0.908101,0.999992,48.8217,0.00047193,3.8537e-05,0.000380805,6778.137,0.26,0.5
0.0008527,3.6e-06,0.591694,0.169706,0.830294,0.999943,6.14394,0.000504558,7.11649e-05,0.000348177,6778.137,0.26,0.5
0.0008527,2.8e-05,0.649899,0.288067,0.711933,0.999733,1.11753,0.000554191,0.000120798,0.000298543,6778.137,0.26,0.5
0.0008527,0.00022,0.710328,0.41095,0.58905,0.998551,0.170416,0.000605721,0.000172328,0.000247013,6778.137,0.26,0.5
0.0008527,0.0017,0.800128,0.593559,0.406441,0.993325,0.0255338,0.000682297,0.000248904,0.000170438,6778.137,0.26,0.5
0.0008527,0.013,0.900851,0.798379,0.201621,0.971029,0.00291837,0.000768186,0.000334793,8.45482e-05,6778.137,0.26,0.5
0.0008527,0.1,0.983526,0.966499,0.0335007,0.836035,8.56781e-05,0.000838686,0.000405293,1.40482e-05,6778.137,0.26,0.5
0.002415,1e-09,0.6626,0.0,1.0,0.999997,311.854,0.0016005,0.0,0.000814985,6878.137,0.26,0.5
0.002415,7.7e-09,0.662728,0.0,1.0,0.999996,217.814,0.00160081,0.0,0.000814677,6878.137,0.26,0.5
0.002415,6e-08,0.663726,0.0,1.0,0.999993,123.234,0.00160322,0.0,0.000812267,6878.137,0.26,0.5
0.002415,4.6e-07,0.671279,0.0220254,0.977975,0.999973,29.8377,0.00162147,1.78825e-05,0.000794021,6878.137,0.26,0.5
0.002415,3.6e-06,0.679735,0.0471811,0.952819,0.999886,6.77424,0.00164189,3.83065e-05,0.000773597,6878.137,0.26,0.5
0.002415,2.8e-05,0.702108,0.113745,0.886255,0.99952,1.49933,0.00169594,9.23499e-05,0.000719554,6878.137,0.26,0.5
0.002415,0.00022,0.729421,0.195003,0.804997,0.997646,0.277698,0.00176191,0.000158324,0.00065358,6878.137,0.26,0.5
0.002415,0.0017,0.780966,0.348353,0.651647,0.992428,0.0698756,0.00188641,0.000282829,0.000529075,6878.137,0.26,0.5
0.002415,0.013,0.877582,0.635795,0.364205,0.962869,0.00796376,0.00211979,0.000516204,0.0002957,6878.137,0.26,0.5
