annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.000138,1e-09,0.250181,0.0,1.0,1.0,785.509,3.45311e-05,0.0,0.000103493,6578.137,0.32,1.0
0.000138,7.7e-09,0.256053,0.0,1.0,1.0,538.61,3.53415e-05,0.0,0.000102683,6578.137,0.32,1.0
0.000138,6e-08,0.301889,0.0,1.0,1.0,290.253,4.16681e-05,0.0,9.63563e-05,6578.137,0.32,1.0
0.000138,4.6e-07,0.648345,0.494292,0.505708,0.999999,45.2739,8.94874e-05,4.74413e-05,4.8537e-05,6578.137,0.32,1.0
0.000138,3.6e-06,0.855626,0.792379,0.207621,0.999974,0.773812,0.000118097,7.60512e-05,1.99271e-05,6578.137,0.32,1.0
0.000138,2.8e-05,0.904382,0.862493,0.137507,0.999898,0.129975,0.000124827,8.27806e-05,1.31977e-05,6578.137,0.32,1.0
0.000138,0.00022,0.954283,0.934255,0.0657451,0.998335,0.0037889,0.000131714,8.96681e-05,6.3101e-06,6578.137,0.32,1.0
0.000138,0.0017,0.96585,0.950889,0.0491107,0.99094,0.000520259,0.000133311,9.12647e-05,4.71356e-06,6578.137,0.32,1.0
0.000138,0.013,0.981726,0.97372,0.02628,0.97938,0.000122326,0.000135502,9.34559e-05,2.5223e-06,6578.137,0.32,1.0
0.000138,0.1,1.0,1.0,0.0,0.0,0.0,0.000138024,9.59782e-05,0.0,6578.137,0.32,1.0
0.0004822,1e-09,0.542929,0.0,1.0,1.0,1325.33,0.000261791,0.0,0.000220392,6678.137,0.32,1.0
0.0004822,7.7e-09,0.545752,0.0,1.0,1.0,910.506,0.000263153,0.0,0.000219031,6678.137,0.32,1.0
0.0004822,6e-08,0.567795,0.00399126,0.996009,1.0,493.233,0.000273782,8.35121e-07,0.000208402,6678.137,0.32,1.0
0.0004822,4.6e-07,0.734047,0.387116,0.612884,0.999998,81.9971,0.000353946,8.09992e-05,0.000128238,6678.137,0.32,1.0
0.0004822,3.6e-06,0.847735,0.649107,0.350893,0.999979,3.47438,0.000408764,0.000135818,7.34199e-05,6678.137,0.32,1.0
