annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
5.045e-05,1e-09,0.154696,0.0,1.0,1.0,417.591,7.80515e-06,0.0,4.26496e-05,6578.137,0.0,0.26,1.0
5.045e-05,6e-09,0.161335,0.0,1.0,1.0,297.547,8.14014e-06,0.0,4.23146e-05,6578.137,0.0,0.26,1.0
5.045e-05,3.6e-08,0.20117,0.027552,0.972448,1.0,177.509,1.015e-05,1.14194e-06,4.03048e-05,6578.137,0.0,0.26,1.0
5.045e-05,2.2e-07,0.44547,0.324948,0.675052,1.0,56.2453,2.24761e-05,1.3468e-05,2.79787e-05,6578.137,0.0,0.26,1.0
5.045e-05,1.3e-06,0.862025,0.832038,0.167962,0.999992,0.843978,4.34933e-05,3.44852e-05,6.96149e-06,6578.137,0.0,0.26,1.0
5.045e-05,7.7e-06,0.898835,0.876848,0.123152,0.999977,0.217563,4.53505e-05,3.63425e-05,5.10426e-06,6578.137,0.0,0.26,1.0
5.045e-05,4.6e-05,0.95752,0.948288,0.0517123,0.999897,0.0207949,4.83115e-05,3.93034e-05,2.14331e-06,6578.137,0.0,0.26,1.0
5.045e-05,0.00028,0.999897,0.999874,0.000125952,0.999716,1.83794e-05,5.04495e-05,4.14415e-05,5.2203e-09,6578.137,0.0,0.26,1.0
5.045e-05,0.0017,1.0,1.0,0.0,0.0,0.0,5.04548e-05,4.14467e-05,0.0,6578.137,0.0,0.26,1.0
5.045e-05,0.01,1.0,1.0,0.0,0.0,0.0,5.04548e-05,4.14467e-05,0.0,6578.137,0.0,0.26,1.0
0.0001332,1e-09,0.54511,0.0,1.0,1.0,386.124,7.25982e-05,0.0,6.05826e-05,6678.137,0.0,0.26,1.0
0.0001332,6e-09,0.547413,0.0,1.0,1.0,276.214,7.29049e-05,0.0,6.02759e-05,6678.137,0.0,0.26,1.0
0.0001332,3.6e-08,0.561232,0.0132486,0.986751,1.0,166.299,7.47453e-05,7.84582e-07,5.84355e-05,6678.137,0.0,0.26,1.0
0.0001332,2.2e-07,0.645979,0.203837,0.796163,0.999999,55.2672,8.60319e-05,1.20712e-05,4.71488e-05,6678.137,0.0,0.26,1.0
0.0001332,1.3e-06,0.80185,0.554378,0.445622,0.999993,3.89928,0.000106791,3.28303e-05,2.63898e-05,6678.137,0.0,0.26,1.0
0.0001332,7.7e-06,0.861967,0.689577,0.310423,0.999978,0.837074,0.000114797,4.08368e-05,1.83833e-05,6678.137,0.0,0.26,1.0
0.0001332,4.6e-05,0.967113,0.92604,0.0739601,0.999929,0.0617171,0.000128801,5.48401e-05,4.37992e-06,6678.137,0.0,0.26,1.0
0.0001332,0.00028,0.999955,0.999898,0.000101852,0.999715,2.11952e-05,0.000133175,5.9214e-05,6.03168e-09,6678.137,0.0,0.26,1.0
0.0001332,0.0017,1.0,1.0,0.0,0.0,0.0,0.000133181,5.92201e-05,0.0,6678.137,0.0,0.26,1.0
0.0001332,0.01,1.0,1.0,0.0,0.0,0.0,0.000133181,5.92201e-05,0.0,6678.137,0.0,0.26,1.0
0.0003724,1e-09,0.55076,0.0,1.0,1.0,481.789,0.000205102,0.0,0.000167296,6778.137,0.0,0.26,1.0
0.0003724,6e-09,0.551757,0.0,1.0,1.0,348.703,0.000205474,0.0,0.000166925,6778.137,0.0,0.26,1.0
0.0003724,3.6e-08,0.557741,0.00500896,0.994991,0.999999,215.621,0.000207702,8.29111e-07,0.000164696,6778.137,0.0,0.26,1.0
0.0003724,2.2e-07,0.594439,0.087571,0.912429,0.999998,81.1789,0.000221368,1.44952e-05,0.00015103,6778.137,0.0,0.26,1.0
0.0003724,1.3e-06,0.669444,0.256317,0.743683,0.99999,11.8807,0.0002493,4.24271e-05,0.000123098,6778.137,0.0,0.26,1.0
0.0003724,7.7e-06,0.749098,0.435523,0.564477,0.999973,3.41957,0.000278963,7.20901e-05,9.34355e-05,6778.137,0.0,0.26,1.0
0.0003724,4.6e-05,0.888325,0.748755,0.251245,0.99991,0.462939,0.000330811,0.000123938,4.15875e-05,6778.137,0.0,0.26,1.0
0.0003724,0.00028,0.99079,0.97928,0.0207196,0.999586,0.00827751,0.000368969,0.000162096,3.42963e-06,6778.137,0.0,0.26,1.0
0.0003724,0.0017,1.0,1.0,0.0,0.0,0.0,0.000372398,0.000165526,0.0,6778.137,0.0,0.26,1.0
0.0003724,0.01,1.0,1.0,0.0,0.0,0.0,0.000372398,0.000165526,0.0,6778.137,0.0,0.26,1.0
0.0006391,1e-09,0.697595,0.0,1.0,0.999998,101.062,0.000445853,0.0,0.000193276,6878.137,0.0,0.26,1.0
0.0006391,6e-09,0.697705,0.0,1.0,0.999997,75.8664,0.000445923,0.0,0.000193206,6878.137,0.0,0.26,1.0
0.0006391,3.6e-08,0.698365,0.0,1.0,0.999996,50.6706,0.000446345,0.0,0.000192784,6878.137,0.0,0.26,1.0
0.0006391,2.2e-07,0.702413,0.0128541,0.987146,0.999992,25.2172,0.000448932,2.47663e-06,0.000190196,6878.137,0.0,0.26,1.0
0.0006391,1.3e-06,0.714132,0.051728,0.948272,0.999981,9.84421,0.000456422,9.96658e-06,0.000182706,6878.137,0.0,0.26,1.0
0.0006391,7.7e-06,0.745107,0.154478,0.845522,0.999962,4.29939,0.000476219,2.97637e-05,0.000162909,6878.137,0.0,0.26,1.0
0.0006391,4.6e-05,0.84093,0.472337,0.527663,0.99988,0.849459,0.000537462,9.10065e-05,0.000101666,6878.137,0.0,0.26,1.0
0.0006391,0.00028,0.972405,0.908463,0.0915374,0.9996,0.044048,0.000621492,0.000175036,1.76368e-05,6878.137,0.0,0.26,1.0
0.0006391,0.0017,0.999914,0.999714,0.000285703,0.997928,2.65733e-05,0.000639073,0.000192618,5.50472e-08,6878.137,0.0,0.26,1.0
0.0006391,0.01,1.0,1.0,0.0,0.0,0.0,0.000639129,0.000192673,0.0,6878.137,0.0,0.26,1.0
0.001382,1e-09,0.720192,0.0,1.0,0.999995,81.4577,0.000995005,0.0,0.000386577,6978.137,0.0,0.26,1.0
0.001382,6e-09,0.720234,0.0,1.0,0.999994,60.8335,0.000995062,0.0,0.00038652,6978.137,0.0,0.26,1.0
0.001382,3.6e-08,0.720484,0.0,1.0,0.99999,40.2112,0.000995408,0.0,0.000386175,6978.137,0.0,0.26,1.0
0.001382,2.2e-07,0.722017,0.00469219,0.995308,0.99998,19.3772,0.000997525,1.81056e-06,0.000384057,6978.137,0.0,0.26,1.0
0.001382,1.3e-06,0.726354,0.0202209,0.979779,0.999944,6.69506,0.00100352,7.8026e-06,0.000378065,6978.137,0.0,0.26,1.0
0.001382,7.7e-06,0.735476,0.0528812,0.947119,0.999885,3.17238,0.00101612,2.04051e-05,0.000365462,6978.137,0.0,0.26,1.0
0.001382,4.6e-05,0.764663,0.157387,0.842613,0.999672,0.990362,0.00105645,6.07305e-05,0.000325137,6978.137,0.0,0.26,1.0
0.001382,0.00028,0.818414,0.34984,0.65016,0.999324,0.370959,0.00113071,0.000134992,0.000250876,6978.137,0.0,0.26,1.0
0.001382,0.0017,0.976837,0.917067,0.0829335,0.996648,0.00954662,0.00134958,0.000353866,3.20013e-05,6978.137,0.0,0.26,1.0
0.001382,0.01,0.998896,0.996048,0.00395231,0.987297,0.000120052,0.00138006,0.000384342,1.52507e-06,6978.137,0.0,0.26,1.0
0.002378,1e-09,0.76276,0.0,1.0,0.999989,52.0703,0.00181396,0.0,0.000564193,7078.137,0.0,0.26,1.0
0.002378,6e-09,0.762775,0.0,1.0,0.999986,39.3653,0.001814,0.0,0.000564158,7078.137,0.0,0.26,1.0
0.002378,3.6e-08,0.762864,0.0,1.0,0.999979,26.6605,0.00181421,0.0,0.000563945,7078.137,0.0,0.26,1.0
0.002378,2.2e-07,0.763413,0.00202236,0.997978,0.999959,13.8255,0.00181552,1.14017e-06,0.00056264,7078.137,0.0,0.26,1.0
0.002378,1.3e-06,0.765007,0.00874787,0.991252,0.999908,6.10389,0.00181931,4.93188e-06,0.000558849,7078.137,0.0,0.26,1.0
0.002378,7.7e-06,0.76915,0.0262212,0.973779,0.999836,3.34516,0.00182916,1.4783e-05,0.000548998,7078.137,0.0,0.26,1.0
0.002378,4.6e-05,0.782792,0.0837666,0.916233,0.999669,1.5586,0.0018616,4.7226e-05,0.000516555,7078.137,0.0,0.26,1.0
0.002378,0.00028,0.831751,0.290286,0.709714,0.999344,0.610196,0.00197803,0.000163658,0.000400123,7078.137,0.0,0.26,1.0
0.002378,0.0017,0.979886,0.915156,0.0848441,0.996717,0.0145703,0.00233032,0.000515947,4.78335e-05,7078.137,0.0,0.26,1.0
0.002378,0.01,0.999104,0.996219,0.00378078,0.988172,0.000180218,0.00237602,0.000561649,2.13153e-06,7078.137,0.0,0.26,1.0
0.00343,1e-09,0.802045,0.0,1.0,0.999984,43.5393,0.00275091,0.0,0.000678957,7178.137,0.0,0.26,1.0
0.00343,6e-09,0.802054,0.0,1.0,0.999979,32.9139,0.00275093,0.0,0.000678927,7178.137,0.0,0.26,1.0
0.00343,3.6e-08,0.802106,0.0,1.0,0.99997,22.289,0.00275111,0.0,0.000678749,7178.137,0.0,0.26,1.0
0.00343,2.2e-07,0.802424,0.00148635,0.998514,0.999941,11.5554,0.0027522,1.00874e-06,0.000677658,7178.137,0.0,0.26,1.0
0.00343,1.3e-06,0.803282,0.00582435,0.994176,0.999868,5.12236,0.00275515,3.9528e-06,0.000674714,7178.137,0.0,0.26,1.0
0.00343,7.7e-06,0.805091,0.0149671,0.985033,0.999802,3.38194,0.00276135,1.01577e-05,0.000668509,7178.137,0.0,0.26,1.0
0.00343,4.6e-05,0.813884,0.0594017,0.940598,0.999667,1.91651,0.00279151,4.0314e-05,0.000638353,7178.137,0.0,0.26,1.0
0.00343,0.00028,0.855895,0.271722,0.728278,0.999361,0.773686,0.0029356,0.000184408,0.000494259,7178.137,0.0,0.26,1.0
