annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
5.045e-05,1e-09,0.154696,0.0,1.0,1.0,417.591,7.80515e-06,0.0,4.26496e-05,6578.137,0.0,0.26,1.0
5.045e-05,7.7e-09,0.163592,0.0,1.0,1.0,280.839,8.254e-06,0.0,4.22008e-05,6578.137,0.0,0.26,1.0
5.045e-05,6e-08,0.233035,0.0663431,0.933657,1.0,143.288,1.17578e-05,2.7497e-06,3.8697e-05,6578.137,0.0,0.26,1.0
5.045e-05,4.6e-07,0.708232,0.644819,0.355181,0.999999,13.945,3.57337e-05,2.67256e-05,1.47211e-05,6578.137,0.0,0.26,1.0
5.045e-05,3.6e-06,0.879793,0.853667,0.146333,0.999985,0.399208,4.43897e-05,3.53817e-05,6.06502e-06,6578.137,0.0,0.26,1.0
5.045e-05,2.8e-05,0.951147,0.940529,0.0594707,0.999917,0.0297786,4.79899e-05,3.89819e-05,2.46487e-06,6578.137,0.0,0.26,1.0
5.045e-05,0.00022,0.997938,0.99749,0.00251047,0.99975,0.000415684,5.03507e-05,4.13427e-05,1.04051e-07,6578.137,0.0,0.26,1.0
5.045e-05,0.0017,1.0,1.0,0.0,0.0,0.0,5.04548e-05,4.14467e-05,0.0,6578.137,0.0,0.26,1.0
5.045e-05,0.013,1.0,1.0,0.0,0.0,0.0,5.04548e-05,4.14467e-05,0.0,6578.137,0.0,0.26,1.0
5.045e-05,0.1,1.0,1.0,0.0,0.0,0.0,5.04548e-05,4.14467e-05,0.0,6578.137,0.0,0.26,1.0
0.0001332,1e-09,0.54511,0.0,1.0,1.0,386.124,7.25982e-05,0.0,6.05826e-05,6678.137,0.0,0.26,1.0
0.0001332,7.7e-09,0.548196,0.0,1.0,1.0,260.914,7.30092e-05,0.0,6.01716e-05,6678.137,0.0,0.26,1.0
0.0001332,6e-08,0.572285,0.038107,0.961893,1.0,134.967,7.62174e-05,2.2567e-06,5.69634e-05,6678.137,0.0,0.26,1.0
0.0001332,4.6e-07,0.73311,0.399787,0.600213,0.999998,17.8878,9.76361e-05,2.36754e-05,3.55446e-05,6678.137,0.0,0.26,1.0
0.0001332,3.6e-06,0.836404,0.632087,0.367913,0.999985,1.49257,0.000111393,3.74323e-05,2.17878e-05,6678.137,0.0,0.26,1.0
0.0001332,2.8e-05,0.937131,0.858613,0.141387,0.999954,0.181333,0.000124808,5.08471e-05,8.37294e-06,6678.137,0.0,0.26,1.0
0.0001332,0.00022,0.998898,0.997521,0.00247932,0.999751,0.00059003,0.000133034,5.90732e-05,1.46825e-07,6678.137,0.0,0.26,1.0
0.0001332,0.0017,1.0,1.0,0.0,0.0,0.0,0.000133181,5.92201e-05,0.0,6678.137,0.0,0.26,1.0
0.0001332,0.013,1.0,1.0,0.0,0.0,0.0,0.000133181,5.92201e-05,0.0,6678.137,0.0,0.26,1.0
0.0001332,0.1,1.0,1.0,0.0,0.0,0.0,0.000133181,5.92201e-05,0.0,6678.137,0.0,0.26,1.0
0.0003724,1e-09,0.55076,0.0,1.0,1.0,481.789,0.000205102,0.0,0.000167296,6778.137,0.0,0.26,1.0
0.0003724,7.7e-09,0.552096,0.0,1.0,0.999999,330.184,0.0002056,0.0,0.000166799,6778.137,0.0,0.26,1.0
0.0003724,6e-08,0.562528,0.0157792,0.984221,0.999999,177.678,0.000209485,2.61186e-06,0.000162914,6778.137,0.0,0.26,1.0
0.0003724,4.6e-07,0.638043,0.185673,0.814327,0.999996,30.3563,0.000237606,3.07336e-05,0.000134792,6778.137,0.0,0.26,1.0
0.0003724,3.6e-06,0.699417,0.323751,0.676249,0.999984,6.87865,0.000260462,5.35891e-05,0.000111937,6778.137,0.0,0.26,1.0
0.0003724,2.8e-05,0.854864,0.673474,0.326526,0.999935,0.826687,0.00031835,0.000111477,5.40484e-05,6778.137,0.0,0.26,1.0
0.0003724,0.00022,0.987598,0.972099,0.0279011,0.999648,0.0131125,0.00036778,0.000160907,4.61835e-06,6778.137,0.0,0.26,1.0
0.0003724,0.0017,1.0,1.0,0.0,0.0,0.0,0.000372398,0.000165526,0.0,6778.137,0.0,0.26,1.0
0.0003724,0.013,1.0,1.0,0.0,0.0,0.0,0.000372398,0.000165526,0.0,6778.137,0.0,0.26,1.0
0.0003724,0.1,1.0,1.0,0.0,0.0,0.0,0.000372398,0.000165526,0.0,6778.137,0.0,0.26,1.0
