annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
5.045e-05,1e-09,0.714976,0.0,1.0,1.0,107.517,3.60739e-05,0.0,1.43808e-05,6578.137,0.0,0.32,1.0
5.045e-05,7.7e-09,0.717234,0.0,1.0,1.0,72.7982,3.61879e-05,0.0,1.42669e-05,6578.137,0.0,0.32,1.0
5.045e-05,6e-08,0.734866,0.0367771,0.963223,1.0,37.877,3.70775e-05,5.10763e-07,1.33773e-05,6578.137,0.0,0.32,1.0
5.045e-05,4.6e-07,0.856222,0.477661,0.522339,0.999999,4.94746,4.32005e-05,6.63379e-06,7.25427e-06,6578.137,0.0,0.32,1.0
5.045e-05,3.6e-06,0.922953,0.720092,0.279908,0.999979,0.182163,4.65674e-05,1.00007e-05,3.88737e-06,6578.137,0.0,0.32,1.0
5.045e-05,2.8e-05,0.951147,0.822519,0.177481,0.999917,0.0297786,4.79899e-05,1.14232e-05,2.46487e-06,6578.137,0.0,0.32,1.0
5.045e-05,0.00022,0.997938,0.992508,0.00749212,0.99975,0.000415684,5.03507e-05,1.3784e-05,1.04051e-07,6578.137,0.0,0.32,1.0
5.045e-05,0.0017,1.0,1.0,0.0,0.0,0.0,5.04548e-05,1.38881e-05,0.0,6578.137,0.0,0.32,1.0
5.045e-05,0.013,1.0,1.0,0.0,0.0,0.0,5.04548e-05,1.38881e-05,0.0,6578.137,0.0,0.32,1.0
5.045e-05,0.1,1.0,1.0,0.0,0.0,0.0,5.04548e-05,1.38881e-05,0.0,6578.137,0.0,0.32,1.0
0.0001332,1e-09,0.744401,0.0,1.0,1.0,155.228,9.91398e-05,0.0,3.40409e-05,6678.137,0.0,0.32,1.0
0.0001332,7.7e-09,0.745608,0.0,1.0,1.0,106.251,9.93006e-05,0.0,3.38802e-05,6678.137,0.0,0.32,1.0
0.0001332,6e-08,0.75503,0.021346,0.978654,0.999999,56.9854,0.000100556,7.11608e-07,3.26252e-05,6678.137,0.0,0.32,1.0
0.0001332,4.6e-07,0.823279,0.293998,0.706002,0.999997,9.37787,0.000109645,9.80097e-06,2.35359e-05,6678.137,0.0,0.32,1.0
0.0001332,3.6e-06,0.878552,0.514815,0.485185,0.999987,1.20954,0.000117006,1.71623e-05,1.61745e-05,6678.137,0.0,0.32,1.0
0.0001332,2.8e-05,0.96372,0.855061,0.144939,0.999956,0.111007,0.000128349,2.8505e-05,4.83182e-06,6678.137,0.0,0.32,1.0
0.0001332,0.00022,0.998898,0.995596,0.0044043,0.999751,0.00059003,0.000133034,3.319e-05,1.46825e-07,6678.137,0.0,0.32,1.0
0.0001332,0.0017,1.0,1.0,0.0,0.0,0.0,0.000133181,3.33368e-05,0.0,6678.137,0.0,0.32,1.0
0.0001332,0.013,1.0,1.0,0.0,0.0,0.0,0.000133181,3.33368e-05,0.0,6678.137,0.0,0.32,1.0
0.0001332,0.1,1.0,1.0,0.0,0.0,0.0,0.000133181,3.33368e-05,0.0,6678.137,0.0,0.32,1.0
0.0003724,1e-09,0.852521,0.0,1.0,1.0,179.534,0.000317477,0.0,5.4921e-05,6778.137,0.0,0.32,1.0
0.0003724,7.7e-09,0.85302,0.0,1.0,1.0,122.855,0.000317663,0.0,5.4735e-05,6778.137,0.0,0.32,1.0
0.0003724,6e-08,0.85692,0.00858893,0.991411,0.999999,65.8386,0.000319116,4.61606e-07,5.32826e-05,6778.137,0.0,0.32,1.0
0.0003724,4.6e-07,0.886124,0.210942,0.789058,0.999996,9.85541,0.000329991,1.13369e-05,4.24073e-05,6778.137,0.0,0.32,1.0
0.0003724,3.6e-06,0.903816,0.333529,0.666471,0.999971,1.21532,0.000336579,1.79253e-05,3.58189e-05,6778.137,0.0,0.32,1.0
0.0003724,2.8e-05,0.927019,0.49431,0.50569,0.999914,0.316622,0.00034522,2.65663e-05,2.71779e-05,6778.137,0.0,0.32,1.0
0.0003724,0.00022,0.987598,0.914068,0.085932,0.999648,0.0131125,0.00036778,4.91259e-05,4.61835e-06,6778.137,0.0,0.32,1.0
0.0003724,0.0017,1.0,1.0,0.0,0.0,0.0,0.000372398,5.37442e-05,0.0,6778.137,0.0,0.32,1.0
0.0003724,0.013,1.0,1.0,0.0,0.0,0.0,0.000372398,5.37442e-05,0.0,6778.137,0.0,0.32,1.0
0.0003724,0.1,1.0,1.0,0.0,0.0,0.0,0.000372398,5.37442e-05,0.0,6778.137,0.0,0.32,1.0
0.0006391,1e-09,0.819798,0.0,1.0,0.999997,38.1829,0.000523956,0.0,0.000115172,6878.137,0.0,0.32,1.0
0.0006391,7.7e-09,0.819852,0.0,1.0,0.999996,27.7475,0.000523991,0.0,0.000115138,6878.137,0.0,0.32,1.0
0.0006391,6e-08,0.82027,0.000101065,0.999899,0.999993,17.2504,0.000524258,1.16105e-08,0.00011487,6878.137,0.0,0.32,1.0
0.0006391,4.6e-07,0.823339,0.0171731,0.982827,0.999984,7.04309,0.000526219,1.97289e-06,0.000112909,6878.137,0.0,0.32,1.0
0.0006391,3.6e-06,0.831011,0.0598561,0.940144,0.999964,2.9716,0.000531123,6.87639e-06,0.000108006,6878.137,0.0,0.32,1.0
0.0006391,2.8e-05,0.86755,0.263132,0.736868,0.999898,0.832292,0.000554476,3.02291e-05,8.46529e-05,6878.137,0.0,0.32,1.0
0.0006391,0.00022,0.962642,0.792164,0.207836,0.999655,0.069256,0.000615252,9.10053e-05,2.38767e-05,6878.137,0.0,0.32,1.0
0.0006391,0.0017,0.999914,0.999521,0.000479163,0.997928,2.65733e-05,0.000639073,0.000114827,5.50472e-08,6878.137,0.0,0.32,1.0
0.0006391,0.013,1.0,1.0,0.0,0.0,0.0,0.000639129,0.000114882,0.0,6878.137,0.0,0.32,1.0
0.0006391,0.1,1.0,1.0,0.0,0.0,0.0,0.000639129,0.000114882,0.0,6878.137,0.0,0.32,1.0
0.001382,1e-09,0.840325,0.0,1.0,0.999991,24.3852,0.00116098,0.0,0.000220604,6978.137,0.0,0.32,1.0
0.001382,7.7e-09,0.840341,0.0,1.0,0.999988,17.6535,0.001161,0.0,0.000220582,6978.137,0.0,0.32,1.0
0.001382,6e-08,0.840466,0.0,1.0,0.99998,10.8821,0.00116117,0.0,0.00022041,6978.137,0.0,0.32,1.0
0.001382,4.6e-07,0.841341,0.0053133,0.994687,0.999951,4.44764,0.00116238,1.1709e-06,0.0002192,6978.137,0.0,0.32,1.0
0.001382,3.6e-06,0.843502,0.0188612,0.981139,0.999888,1.93643,0.00116537,4.15646e-06,0.000216215,6978.137,0.0,0.32,1.0
0.001382,2.8e-05,0.852646,0.0761846,0.923815,0.999717,0.718663,0.001178,1.67889e-05,0.000203582,6978.137,0.0,0.32,1.0
0.001382,0.00022,0.880069,0.248111,0.751889,0.999334,0.24883,0.00121589,5.46765e-05,0.000165695,6978.137,0.0,0.32,1.0
0.001382,0.0017,0.976837,0.854784,0.145216,0.996648,0.00954662,0.00134958,0.00018837,3.20013e-05,6978.137,0.0,0.32,1.0
0.001382,0.013,0.999673,0.997947,0.00205306,0.981015,2.38311e-05,0.00138113,0.000219919,4.52436e-07,6978.137,0.0,0.32,1.0
0.001382,0.1,1.0,1.0,0.0,0.0,0.0,0.00138158,0.000220371,0.0,6978.137,0.0,0.32,1.0
0.002378,1e-09,0.860349,0.0,1.0,0.999987,24.7416,0.00204604,0.0,0.000332112,7078.137,0.0,0.32,1.0
0.002378,7.7e-09,0.860358,0.0,1.0,0.999982,18.0512,0.00204607,0.0,0.00033209,7078.137,0.0,0.32,1.0
0.002378,6e-08,0.86043,0.0,1.0,0.999971,11.3214,0.00204624,0.0,0.000331919,7078.137,0.0,0.32,1.0
0.002378,4.6e-07,0.860948,0.003661,0.996339,0.999932,4.84075,0.00204747,1.2151e-06,0.000330688,7078.137,0.0,0.32,1.0
