annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,radar_wavelength,d_ref,scaling_factor
0.000138,1e-09,0.0,0.0,1.0,1.0,1198.87,0.0,0.0,0.000149506,6578.137,0.075,0.26,1.0
0.000138,7.7e-09,0.0,0.0,1.0,1.0,821.864,0.0,0.0,0.000148268,6578.137,0.075,0.26,1.0
0.000138,6e-08,0.0,0.0,1.0,1.0,442.618,0.0,0.0,0.000138608,6578.137,0.075,0.26,1.0
0.000138,4.6e-07,0.525502,0.525502,0.474498,0.999999,68.2941,7.25321e-05,7.25321e-05,6.54923e-05,6578.137,0.075,0.26,1.0
0.000138,3.6e-06,0.83464,0.83464,0.16536,0.999976,0.962718,0.000115201,0.000115201,2.28237e-05,6578.137,0.075,0.26,1.0
0.000138,2.8e-05,0.897376,0.897376,0.102624,0.999909,0.156443,0.00012386,0.00012386,1.41646e-05,6578.137,0.075,0.26,1.0
0.000138,0.00022,0.954145,0.954145,0.0458546,0.998358,0.00385406,0.000131695,0.000131695,6.32906e-06,6578.137,0.075,0.26,1.0
0.000138,0.0017,0.96585,0.96585,0.0341502,0.99094,0.000520259,0.000133311,0.000133311,4.71356e-06,6578.137,0.075,0.26,1.0
0.000138,0.013,0.981726,0.981726,0.0182743,0.97938,0.000122326,0.000135502,0.000135502,2.5223e-06,6578.137,0.075,0.26,1.0
0.000138,0.1,1.0,1.0,0.0,0.0,0.0,0.000138024,0.000138024,0.0,6578.137,0.075,0.26,1.0
0.0004822,1e-09,0.0,0.0,1.0,1.0,3310.7,0.0,0.0,0.000510299,6678.137,0.075,0.26,1.0
0.0004822,7.7e-09,0.0,0.0,1.0,1.0,2270.53,0.0,0.0,0.000506885,6678.137,0.075,0.26,1.0
0.0004822,6e-08,0.0040462,0.0040462,0.995954,1.0,1224.21,1.95101e-06,1.95101e-06,0.000480233,6678.137,0.075,0.26,1.0
0.0004822,4.6e-07,0.421709,0.421709,0.578291,0.999999,192.177,0.000203341,0.000203341,0.000278843,6678.137,0.075,0.26,1.0
0.0004822,3.6e-06,0.6798,0.6798,0.3202,0.999976,6.56793,0.000327789,0.000327789,0.000154395,6678.137,0.075,0.26,1.0
0.0004822,2.8e-05,0.804406,0.804406,0.195594,0.999893,0.884291,0.000387872,0.000387872,9.43121e-05,6678.137,0.075,0.26,1.0
0.0004822,0.00022,0.876791,0.876791,0.123209,0.998891,0.0535779,0.000422775,0.000422775,5.94093e-05,6678.137,0.075,0.26,1.0
0.0004822,0.0017,0.936613,0.936613,0.0633868,0.996878,0.00978954,0.00045162,0.00045162,3.05641e-05,6678.137,0.075,0.26,1.0
0.0004822,0.013,0.997581,0.997581,0.00241862,0.981804,6.40917e-05,0.000481018,0.000481018,1.16622e-06,6678.137,0.075,0.26,1.0
0.0004822,0.1,1.0,1.0,0.0,0.0,0.0,0.000482184,0.000482184,0.0,6678.137,0.075,0.26,1.0
0.0008527,1e-09,0.0973953,0.0,1.0,1.0,1617.93,8.30524e-05,0.0,0.000769682,6778.137,0.075,0.26,1.0
0.0008527,7.7e-09,0.099314,0.0,1.0,0.999999,1119.43,8.46885e-05,0.0,0.000768046,6778.137,0.075,0.26,1.0
0.0008527,6e-08,0.114294,0.000465493,0.999535,0.999999,617.947,9.74625e-05,3.51737e-07,0.000755272,6778.137,0.075,0.26,1.0
0.0008527,4.6e-07,0.22772,0.128468,0.871532,0.999995,122.828,0.000194184,9.70737e-05,0.00065855,6778.137,0.075,0.26,1.0
0.0008527,3.6e-06,0.327455,0.241021,0.758979,0.999965,16.1743,0.000279232,0.000182121,0.000573503,6778.137,0.075,0.26,1.0
0.0008527,2.8e-05,0.474068,0.406476,0.593524,0.999835,2.71715,0.000404254,0.000307143,0.000448481,6778.137,0.075,0.26,1.0
0.0008527,0.00022,0.639528,0.593201,0.406799,0.998945,0.291263,0.000545347,0.000448237,0.000307387,6778.137,0.075,0.26,1.0
0.0008527,0.0017,0.807507,0.782769,0.217231,0.994478,0.0297235,0.000688589,0.000591479,0.000164145,6778.137,0.075,0.26,1.0
0.0008527,0.013,0.949226,0.942701,0.0572994,0.974737,0.00171384,0.000809438,0.000712327,4.32968e-05,6778.137,0.075,0.26,1.0
0.0008527,0.1,0.996578,0.996138,0.00386218,0.842279,1.85032e-05,0.000849816,0.000752706,2.91835e-06,6778.137,0.075,0.26,1.0
0.002415,1e-09,0.435252,0.0,1.0,0.999998,718.281,0.00105135,0.0,0.00136414,6878.137,0.075,0.26,1.0
0.002415,7.7e-09,0.435547,0.0,1.0,0.999997,501.105,0.00105206,0.0,0.00136343,6878.137,0.075,0.26,1.0
0.002415,6e-08,0.437851,0.0,1.0,0.999995,282.683,0.00105762,0.0,0.00135787,6878.137,0.075,0.26,1.0
0.002415,4.6e-07,0.45527,0.0308506,0.969149,0.99998,67.1345,0.0010997,4.18851e-05,0.00131579,6878.137,0.075,0.26,1.0
0.002415,3.6e-06,0.474265,0.0646452,0.935355,0.999919,15.6504,0.00114558,8.77672e-05,0.00126991,6878.137,0.075,0.26,1.0
0.002415,2.8e-05,0.522761,0.150926,0.849074,0.99971,3.98168,0.00126272,0.000204909,0.00115277,6878.137,0.075,0.26,1.0
0.002415,0.00022,0.609192,0.304699,0.695301,0.998802,0.787947,0.0014715,0.000413683,0.000943993,6878.137,0.075,0.26,1.0
0.002415,0.0017,0.772745,0.595682,0.404318,0.994183,0.0943706,0.00186656,0.000808742,0.000548933,6878.137,0.075,0.26,1.0
0.002415,0.013,0.940986,0.895006,0.104994,0.971522,0.00500555,0.00227294,0.00121513,0.000142547,6878.137,0.075,0.26,1.0
0.002415,0.1,0.990141,0.982459,0.0175413,0.845949,0.000154594,0.00239167,0.00133386,2.38153e-05,6878.137,0.075,0.26,1.0
0.004625,1e-09,0.647463,0.0,1.0,0.999994,255.134,0.0029944,0.0,0.00163042,6978.137,0.075,0.26,1.0
0.004625,7.7e-09,0.647517,0.0,1.0,0.999991,180.297,0.00299465,0.0,0.00163017,6978.137,0.075,0.26,1.0
0.004625,6e-08,0.647931,0.0,1.0,0.999984,105.03,0.00299656,0.0,0.00162825,6978.137,0.075,0.26,1.0
0.004625,4.6e-07,0.651075,0.00861001,0.99139,0.999947,30.6543,0.00301111,1.40148e-05,0.00161371,6978.137,0.075,0.26,1.0
0.004625,3.6e-06,0.655548,0.0213177,0.978682,0.999835,9.62804,0.00303179,3.46995e-05,0.00159303,6978.137,0.075,0.26,1.0
0.004625,2.8e-05,0.671057,0.0653845,0.934616,0.999448,2.75838,0.00310352,0.000106428,0.0015213,6978.137,0.075,0.26,1.0
0.004625,0.00022,0.700085,0.147861,0.852139,0.99845,0.894923,0.00323777,0.000240678,0.00138705,6978.137,0.075,0.26,1.0
0.004625,0.0017,0.806661,0.450672,0.549328,0.994046,0.150189,0.00373066,0.000733573,0.000894156,6978.137,0.075,0.26,1.0
0.004625,0.013,0.943384,0.839139,0.160861,0.970167,0.00877689,0.00436298,0.00136589,0.000261838,6978.137,0.075,0.26,1.0
0.004625,0.1,0.98605,0.960363,0.0396371,0.827754,0.000374572,0.0045603,0.00156321,6.45184e-05,6978.137,0.075,0.26,1.0
0.008832,1e-09,0.743664,0.0,1.0,0.999982,128.141,0.00656772,0.0,0.00226385,7078.137,0.075,0.26,1.0
0.008832,7.7e-09,0.743677,0.0,1.0,0.999975,91.7745,0.00656784,0.0,0.00226373,7078.137,0.075,0.26,1.0
0.008832,6e-08,0.743783,0.0,1.0,0.999959,55.1967,0.00656877,0.0,0.0022628,7078.137,0.075,0.26,1.0
0.008832,4.6e-07,0.744584,0.00303803,0.996962,0.999881,19.0254,0.00657585,6.87385e-06,0.00225572,7078.137,0.075,0.26,1.0
0.008832,3.6e-06,0.74594,0.00833199,0.991668,0.999711,7.76792,0.00658783,1.88519e-05,0.00224375,7078.137,0.075,0.26,1.0
0.008832,2.8e-05,0.751673,0.0307078,0.969292,0.999286,3.07348,0.00663845,6.94794e-05,0.00219312,7078.137,0.075,0.26,1.0
0.008832,0.00022,0.767764,0.0935143,0.906486,0.99845,1.32299,0.00678056,0.000211585,0.00205101,7078.137,0.075,0.26,1.0
0.008832,0.0017,0.850955,0.418236,0.581764,0.994335,0.23237,0.00751527,0.0009463,0.0013163,7078.137,0.075,0.26,1.0
0.008832,0.013,0.961396,0.849319,0.150681,0.976484,0.0144976,0.00849064,0.00192167,0.00034093,7078.137,0.075,0.26,1.0
