annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
0.02319,1e-08,0.847077,0.0,1.0,0.999906,37.8088,0.0196408,0.0,0.00354576,7178.137,90,0.32,1
0.02319,3.6e-08,0.847084,0.0,1.0,0.999881,29.6837,0.019641,0.0,0.00354559,7178.137,90,0.32,1
0.02319,1.3e-07,0.84711,0.0,1.0,0.999835,21.539,0.0196416,0.0,0.003545,7178.137,90,0.32,1
0.02319,4.6e-07,0.8472,0.000440545,0.999559,0.999738,13.5238,0.0196437,1.5615e-06,0.0035429,7178.137,90,0.32,1
0.02319,1.7e-06,0.84741,0.00181175,0.998188,0.999533,7.57476,0.0196485,6.42168e-06,0.00353804,7178.137,90,0.32,1
0.02319,6e-06,0.847697,0.00369266,0.996307,0.99937,5.60944,0.0196552,1.30885e-05,0.00353138,7178.137,90,0.32,1
0.02319,2.2e-05,0.848684,0.0101488,0.989851,0.999059,3.72996,0.0196781,3.5972e-05,0.00350849,7178.137,90,0.32,1
0.02319,7.7e-05,0.851076,0.0257917,0.974208,0.998561,2.39917,0.0197335,9.14177e-05,0.00345305,7178.137,90,0.32,1
0.02319,0.00028,0.857219,0.0659766,0.934023,0.997752,1.47252,0.019876,0.000233852,0.00331061,7178.137,90,0.32,1
0.02319,0.001,0.875976,0.188679,0.811321,0.99587,0.696239,0.0203109,0.000668767,0.0028757,7178.137,90,0.32,1
