annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
4.322e-05,1e-05,0.202245,0.0142317,0.985768,0.999809,0.180553,8.74021e-06,4.97732e-07,3.44758e-05,6578.137,0.0,0.26,1.0
4.322e-05,2.2e-05,0.216058,0.0313004,0.9687,0.99976,0.141324,9.33716e-06,1.09468e-06,3.38788e-05,6578.137,0.0,0.26,1.0
4.322e-05,4.6e-05,0.243692,0.065447,0.934553,0.999688,0.104611,1.05314e-05,2.28891e-06,3.26846e-05,6578.137,0.0,0.26,1.0
4.322e-05,0.0001,0.305884,0.142296,0.857704,0.999545,0.0659543,1.32191e-05,4.9766e-06,2.99969e-05,6578.137,0.0,0.26,1.0
4.322e-05,0.00022,0.420454,0.283868,0.716132,0.999222,0.0321775,1.81703e-05,9.92787e-06,2.50456e-05,6578.137,0.0,0.26,1.0
4.322e-05,0.00046,0.563676,0.460844,0.539156,0.998474,0.0123581,2.43598e-05,1.61173e-05,1.88562e-05,6578.137,0.0,0.26,1.0
4.322e-05,0.001,0.64598,0.562545,0.437455,0.9978,0.00695439,2.79166e-05,1.96742e-05,1.52993e-05,6578.137,0.0,0.26,1.0
4.322e-05,0.0022,0.792381,0.74345,0.25655,0.99674,0.00275236,3.42435e-05,2.6001e-05,8.97246e-06,6578.137,0.0,0.26,1.0
4.322e-05,0.0046,0.962395,0.953533,0.0464674,0.994823,0.000313907,4.15908e-05,3.33484e-05,1.62513e-06,6578.137,0.0,0.26,1.0
4.322e-05,0.01,0.998331,0.997937,0.0020626,0.985675,5.03571e-06,4.31438e-05,3.49014e-05,7.21364e-08,6578.137,0.0,0.26,1.0
0.0001296,1e-05,0.434855,0.017962,0.982038,0.999848,0.482149,5.63472e-05,1.33941e-06,7.32298e-05,6678.137,0.0,0.26,1.0
0.0001296,2.2e-05,0.447253,0.0395064,0.960494,0.99981,0.376583,5.79538e-05,2.94596e-06,7.16233e-05,6678.137,0.0,0.26,1.0
0.0001296,4.6e-05,0.472059,0.0826106,0.917389,0.999754,0.277785,6.1168e-05,6.16021e-06,6.8409e-05,6678.137,0.0,0.26,1.0
0.0001296,0.0001,0.52784,0.179539,0.820461,0.999648,0.17382,6.83959e-05,1.33881e-05,6.11812e-05,6678.137,0.0,0.26,1.0
0.0001296,0.00022,0.627845,0.353316,0.646684,0.999437,0.0856293,8.13543e-05,2.63465e-05,4.82228e-05,6678.137,0.0,0.26,1.0
0.0001296,0.00046,0.766457,0.594177,0.405823,0.998911,0.0277834,9.93152e-05,4.43074e-05,3.02619e-05,6678.137,0.0,0.26,1.0
0.0001296,0.001,0.853197,0.744904,0.255096,0.998312,0.0112721,0.000110555,5.55469e-05,1.90223e-05,6678.137,0.0,0.26,1.0
0.0001296,0.0022,0.948011,0.90966,0.09034,0.996812,0.00211334,0.00012284,6.78327e-05,6.73659e-06,6678.137,0.0,0.26,1.0
0.0001296,0.0046,0.990449,0.983403,0.0165973,0.99417,0.000212285,0.000128339,7.33316e-05,1.23765e-06,6678.137,0.0,0.26,1.0
0.0001296,0.01,0.998594,0.997557,0.00244261,0.986478,1.34704e-05,0.000129395,7.43871e-05,1.82144e-07,6678.137,0.0,0.26,1.0
0.000289,1e-05,0.633403,0.0109097,0.98909,0.999767,0.454105,0.000183079,1.16876e-06,0.000105961,6778.137,0.0,0.26,1.0
