annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
4.322e-05,1e-09,0.161839,0.0,1.0,1.0,334.454,6.99403e-06,0.0,3.62219e-05,6578.137,0.0,0.26,1.0
4.322e-05,6e-09,0.168032,0.0,1.0,1.0,238.55,7.26165e-06,0.0,3.59543e-05,6578.137,0.0,0.26,1.0
4.322e-05,3.6e-08,0.205188,0.0178688,0.982131,1.0,142.646,8.86742e-06,6.24936e-07,3.43486e-05,6578.137,0.0,0.26,1.0
4.322e-05,2.2e-07,0.433084,0.299474,0.700526,0.999999,45.7608,1.87161e-05,1.04737e-05,2.44998e-05,6578.137,0.0,0.26,1.0
4.322e-05,1.3e-06,0.84937,0.813869,0.186131,0.999992,0.798901,3.67063e-05,2.84639e-05,6.50964e-06,6578.137,0.0,0.26,1.0
4.322e-05,7.7e-06,0.90271,0.879781,0.120219,0.999966,0.122733,3.90115e-05,3.0769e-05,4.20449e-06,6578.137,0.0,0.26,1.0
4.322e-05,4.6e-05,0.942928,0.929477,0.0705227,0.999899,0.0243624,4.07495e-05,3.25071e-05,2.46643e-06,6578.137,0.0,0.26,1.0
4.322e-05,0.00028,0.999947,0.999935,6.52174e-05,0.999719,8.11999e-06,4.32137e-05,3.49712e-05,2.28088e-09,6578.137,0.0,0.26,1.0
4.322e-05,0.0017,1.0,1.0,0.0,0.0,0.0,4.3216e-05,3.49735e-05,0.0,6578.137,0.0,0.26,1.0
4.322e-05,0.01,1.0,1.0,0.0,0.0,0.0,4.3216e-05,3.49735e-05,0.0,6578.137,0.0,0.26,1.0
0.0001296,1e-09,0.415408,0.0,1.0,1.0,537.221,5.38274e-05,0.0,7.57497e-05,6678.137,0.0,0.26,1.0
0.0001296,6e-09,0.418718,0.0,1.0,1.0,383.538,5.42562e-05,0.0,7.53209e-05,6678.137,0.0,0.26,1.0
0.0001296,3.6e-08,0.438579,0.0244327,0.975567,1.0,229.838,5.68297e-05,1.82193e-06,7.27473e-05,6678.137,0.0,0.26,1.0
0.0001296,2.2e-07,0.560377,0.236079,0.763921,0.999999,74.5844,7.2612e-05,1.76042e-05,5.6965e-05,6678.137,0.0,0.26,1.0
0.0001296,1.3e-06,0.769242,0.599018,0.400982,0.999992,3.68531,9.96762e-05,4.46683e-05,2.99009e-05,6678.137,0.0,0.26,1.0
0.0001296,7.7e-06,0.832989,0.70979,0.29021,0.999979,1.03136,0.000107936,5.29285e-05,2.16408e-05,6678.137,0.0,0.26,1.0
0.0001296,4.6e-05,0.970925,0.949478,0.0505223,0.999927,0.0514612,0.00012581,7.08018e-05,3.76741e-06,6678.137,0.0,0.26,1.0
0.0001296,0.00028,0.99989,0.999809,0.000190641,0.999697,4.6895e-05,0.000129563,7.4555e-05,1.4216e-08,6678.137,0.0,0.26,1.0
0.0001296,0.0017,1.0,1.0,0.0,0.0,0.0,0.000129577,7.45693e-05,0.0,6678.137,0.0,0.26,1.0
0.0001296,0.01,1.0,1.0,0.0,0.0,0.0,0.000129577,7.45693e-05,0.0,6678.137,0.0,0.26,1.0
0.000289,1e-09,0.623981,0.0,1.0,1.0,314.144,0.000180356,0.0,0.000108685,6778.137,0.0,0.26,1.0
0.000289,6e-09,0.624833,0.0,1.0,1.0,225.832,0.000180602,0.0,0.000108438,6778.137,0.0,0.26,1.0
0.000289,3.6e-08,0.629949,0.00159157,0.998408,0.999999,137.517,0.000182081,1.70506e-07,0.00010696,6778.137,0.0,0.26,1.0
0.000289,2.2e-07,0.661325,0.086245,0.913755,0.999998,48.3016,0.00019115,9.23945e-06,9.78908e-05,6778.137,0.0,0.26,1.0
