annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
4.322e-05,1e-05,0.199687,0.0110711,0.988929,0.999799,0.17168,8.62967e-06,3.87194e-07,3.45863e-05,6578.137,0.0,0.26,1.0
4.322e-05,2.2e-05,0.21043,0.0243459,0.975654,0.999758,0.141163,9.09394e-06,8.51461e-07,3.4122e-05,6578.137,0.0,0.26,1.0
4.322e-05,4.6e-05,0.231947,0.0509333,0.949067,0.999705,0.112579,1.00238e-05,1.78132e-06,3.31922e-05,6578.137,0.0,0.26,1.0
4.322e-05,0.0001,0.280381,0.110782,0.889218,0.999623,0.0824878,1.21169e-05,3.87445e-06,3.1099e-05,6578.137,0.0,0.26,1.0
4.322e-05,0.00022,0.387805,0.243525,0.756475,0.999491,0.0519865,1.67594e-05,8.5169e-06,2.64566e-05,6578.137,0.0,0.26,1.0
4.322e-05,0.00046,0.602964,0.509392,0.490608,0.999267,0.0234079,2.60577e-05,1.78152e-05,1.71583e-05,6578.137,0.0,0.26,1.0
4.322e-05,0.001,0.898012,0.873976,0.126024,0.998604,0.0031573,3.88085e-05,3.0566e-05,4.40749e-06,6578.137,0.0,0.26,1.0
4.322e-05,0.0022,0.98386,0.980056,0.0199437,0.997395,0.000267776,4.25185e-05,3.4276e-05,6.97501e-07,6578.137,0.0,0.26,1.0
4.322e-05,0.0046,0.999705,0.999635,0.000364728,0.994434,2.29193e-06,4.32032e-05,3.49607e-05,1.27558e-08,6578.137,0.0,0.26,1.0
4.322e-05,0.01,1.0,1.0,0.0,0.0,0.0,4.3216e-05,3.49735e-05,0.0,6578.137,0.0,0.26,1.0
0.0001296,1e-05,0.430114,0.00972348,0.990277,0.999774,0.327091,5.57329e-05,7.25073e-07,7.38442e-05,6678.137,0.0,0.26,1.0
0.0001296,2.2e-05,0.436816,0.0213694,0.978631,0.99973,0.270018,5.66013e-05,1.5935e-06,7.29757e-05,6678.137,0.0,0.26,1.0
0.0001296,4.6e-05,0.450246,0.0447073,0.955293,0.999671,0.216516,5.83416e-05,3.33379e-06,7.12355e-05,6678.137,0.0,0.26,1.0
0.0001296,0.0001,0.48049,0.0972614,0.902739,0.99958,0.16018,6.22605e-05,7.25271e-06,6.73165e-05,6678.137,0.0,0.26,1.0
0.0001296,0.00022,0.547568,0.213821,0.786179,0.999431,0.103084,7.09523e-05,1.59445e-05,5.86247e-05,6678.137,0.0,0.26,1.0
0.0001296,0.00046,0.681894,0.447235,0.552765,0.999169,0.0495985,8.83578e-05,3.335e-05,4.12193e-05,6678.137,0.0,0.26,1.0
0.0001296,0.001,0.881633,0.794317,0.205683,0.99825,0.00876494,0.000114239,5.92316e-05,1.53377e-05,6678.137,0.0,0.26,1.0
0.0001296,0.0022,0.957135,0.925515,0.0744851,0.997296,0.00205444,0.000124023,6.9015e-05,5.5543e-06,6678.137,0.0,0.26,1.0
0.0001296,0.0046,0.997987,0.996502,0.00349845,0.994773,4.99074e-05,0.000129316,7.43084e-05,2.60877e-07,6678.137,0.0,0.26,1.0
0.0001296,0.01,0.999998,0.999997,3.2302e-06,0.987069,1.86279e-08,0.000129577,7.4569e-05,2.40874e-10,6678.137,0.0,0.26,1.0
0.000289,1e-05,0.632274,0.00786341,0.992137,0.999727,0.389229,0.000182753,8.42409e-07,0.000106288,6778.137,0.0,0.26,1.0
