annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,inc,d_ref,scaling_factor
0.0001296,1e-05,0.431565,0.0122445,0.987756,0.999812,0.391029,5.59209e-05,9.13063e-07,7.36562e-05,0.0,0.26,1.0
0.0001296,2.2e-05,0.44002,0.0269367,0.973063,0.999773,0.319054,5.70165e-05,2.00865e-06,7.25606e-05,0.0,0.26,1.0
0.0001296,4.6e-05,0.456917,0.0562993,0.943701,0.99972,0.251756,5.9206e-05,4.1982e-06,7.03711e-05,0.0,0.26,1.0
0.0001296,0.0001,0.495,0.122474,0.877526,0.999638,0.180803,6.41406e-05,9.1328e-06,6.54364e-05,0.0,0.26,1.0
0.0001296,0.00022,0.579541,0.26938,0.73062,0.999499,0.108845,7.50953e-05,2.00875e-05,5.44818e-05,0.0,0.26,1.0
0.0001296,0.00046,0.748541,0.563046,0.436954,0.999216,0.0415418,9.69938e-05,4.19859e-05,3.25833e-05,0.0,0.26,1.0
0.0001296,0.001,0.905686,0.836113,0.163887,0.998415,0.00771264,0.000117356,6.23483e-05,1.22209e-05,0.0,0.26,1.0
0.0001296,0.0022,0.987331,0.977986,0.0220145,0.997287,0.000605013,0.000127935,7.29276e-05,1.6416e-06,0.0,0.26,1.0
0.0001296,0.0046,0.999982,0.999969,3.11762e-05,0.994384,4.13986e-07,0.000129575,7.45669e-05,2.32479e-09,0.0,0.26,1.0
0.0001296,0.01,0.999999,0.999998,1.79944e-06,0.988667,1.18405e-08,0.000129577,7.45691e-05,1.34183e-10,0.0,0.26,1.0
0.000323,1e-05,0.422905,0.0131382,0.986862,0.999823,1.05234,0.000136597,2.48156e-06,0.000186399,15.0,0.26,1.0
0.000323,2.2e-05,0.432131,0.0289147,0.971085,0.999786,0.856561,0.000139577,5.46144e-06,0.00018342,15.0,0.26,1.0
0.000323,4.6e-05,0.450573,0.0604516,0.939548,0.999737,0.673521,0.000145533,1.14182e-05,0.000177463,15.0,0.26,1.0
0.000323,0.0001,0.492106,0.131475,0.868525,0.999659,0.480683,0.000158948,2.48331e-05,0.000164048,15.0,0.26,1.0
0.000323,0.00022,0.584294,0.289122,0.710878,0.999529,0.285099,0.000188725,5.46097e-05,0.000134271,15.0,0.26,1.0
0.000323,0.00046,0.768622,0.604331,0.395669,0.999268,0.102114,0.000248262,0.000114147,7.47343e-05,15.0,0.26,1.0
0.000323,0.001,0.924832,0.871458,0.128542,0.998471,0.0158784,0.000298717,0.000164602,2.42791e-05,15.0,0.26,1.0
0.000323,0.0022,0.990873,0.984392,0.0156084,0.997246,0.00107062,0.000320048,0.000185933,2.94813e-06,15.0,0.26,1.0
0.000323,0.0046,0.999887,0.999806,0.000193682,0.992939,5.1807e-06,0.00032296,0.000188844,3.65828e-08,15.0,0.26,1.0
0.000323,0.01,0.999989,0.999982,1.84111e-05,0.989163,3.20899e-07,0.000322993,0.000188878,3.4775e-09,15.0,0.26,1.0
0.0002848,1e-05,0.454072,0.0123412,0.987659,0.999813,0.831625,0.000129341,1.94311e-06,0.000155506,30.0,0.26,1.0
0.0002848,2.2e-05,0.462258,0.0271522,0.972848,0.999774,0.678371,0.000131673,4.2751e-06,0.000153174,30.0,0.26,1.0
0.0002848,4.6e-05,0.478632,0.0567743,0.943226,0.999722,0.535007,0.000136337,8.93909e-06,0.00014851,30.0,0.26,1.0
0.0002848,0.0001,0.515495,0.123465,0.876535,0.999641,0.384015,0.000146838,1.94395e-05,0.00013801,30.0,0.26,1.0
0.0002848,0.00022,0.597335,0.271524,0.728476,0.999503,0.230842,0.000170149,4.27513e-05,0.000114698,30.0,0.26,1.0
0.0002848,0.00046,0.761091,0.567781,0.432219,0.999222,0.0874661,0.000216795,8.93968e-05,6.80526e-05,30.0,0.26,1.0
0.0002848,0.001,0.909019,0.835403,0.164597,0.998474,0.0169809,0.000258932,0.000131534,2.59158e-05,30.0,0.26,1.0
0.0002848,0.0022,0.98889,0.9799,0.0200995,0.997283,0.00116492,0.000281683,0.000154285,3.16466e-06,30.0,0.26,1.0
0.0002848,0.0046,0.999814,0.999663,0.000336874,0.994226,9.18582e-06,0.000284794,0.000157396,5.30407e-08,30.0,0.26,1.0
0.0002848,0.01,0.99999,0.999981,1.85827e-05,0.989243,2.71987e-07,0.000284845,0.000157447,2.92584e-09,30.0,0.26,1.0
0.0003083,1e-05,0.46423,0.0112777,0.988722,0.999799,0.821664,0.000143112,1.88395e-06,0.000165166,45.0,0.26,1.0
0.0003083,2.2e-05,0.471561,0.0248063,0.975194,0.999758,0.673178,0.000145372,4.1439e-06,0.000162906,45.0,0.26,1.0
0.0003083,4.6e-05,0.486222,0.0518615,0.948139,0.999704,0.534258,0.000149892,8.66348e-06,0.000158387,45.0,0.26,1.0
0.0003083,0.0001,0.519236,0.112786,0.887214,0.999618,0.38791,0.000160069,1.88409e-05,0.000148209,45.0,0.26,1.0
0.0003083,0.00022,0.592549,0.248081,0.751919,0.999475,0.239423,0.00018267,4.1442e-05,0.000125608,45.0,0.26,1.0
0.0003083,0.00046,0.739219,0.518748,0.481252,0.9992,0.100469,0.000227885,8.6657e-05,8.03934e-05,45.0,0.26,1.0
0.0003083,0.001,0.898417,0.812537,0.187463,0.998434,0.0200035,0.000276963,0.000135735,3.13158e-05,45.0,0.26,1.0
0.0003083,0.0022,0.98453,0.971451,0.0285491,0.997302,0.00176753,0.00030351,0.000162281,4.76914e-06,45.0,0.26,1.0
0.0003083,0.0046,0.999372,0.998841,0.00115904,0.994683,3.64181e-05,0.000308085,0.000166857,1.93618e-07,45.0,0.26,1.0
0.0003083,0.01,0.999974,0.999952,4.76637e-05,0.988843,7.13677e-07,0.000308271,0.000167042,7.96224e-09,45.0,0.26,1.0
0.0003203,1e-05,0.45479,0.0108204,0.98918,0.999792,0.840476,0.000145652,1.91003e-06,0.000174611,60.0,0.26,1.0
0.0003203,2.2e-05,0.461945,0.0238017,0.976198,0.99975,0.68991,0.000147944,4.20149e-06,0.000172319,60.0,0.26,1.0
0.0003203,4.6e-05,0.476258,0.0497707,0.950229,0.999694,0.549017,0.000152528,8.78556e-06,0.000167735,60.0,0.26,1.0
0.0003203,0.0001,0.508473,0.108219,0.891781,0.999607,0.400664,0.000162845,1.91029e-05,0.000157418,60.0,0.26,1.0
0.0003203,0.00022,0.580022,0.238031,0.761969,0.999462,0.250111,0.00018576,4.20174e-05,0.000134503,60.0,0.26,1.0
0.0003203,0.00046,0.723174,0.497752,0.502248,0.999188,0.109212,0.000231606,8.78635e-05,8.86573e-05,60.0,0.26,1.0
0.0003203,0.001,0.89271,0.805343,0.194657,0.998366,0.0210271,0.000285902,0.00014216,3.4361e-05,60.0,0.26,1.0
0.0003203,0.0022,0.976548,0.957451,0.0425492,0.997282,0.00276331,0.000312752,0.00016901,7.51082e-06,60.0,0.26,1.0
0.0003203,0.0046,0.998709,0.997659,0.00234141,0.994653,7.73038e-05,0.00031985,0.000176107,4.13308e-07,60.0,0.26,1.0
0.0003203,0.01,0.999963,0.999932,6.77383e-05,0.98836,1.02727e-06,0.000320251,0.000176509,1.19572e-08,60.0,0.26,1.0
0.0003445,1e-05,0.44369,0.0101729,0.989827,0.999781,0.8771,0.000152852,1.96967e-06,0.00019165,75.0,0.26,1.0
0.0003445,2.2e-05,0.450548,0.0223759,0.977624,0.999738,0.721856,0.000155215,4.33243e-06,0.000189288,75.0,0.26,1.0
0.0003445,4.6e-05,0.464268,0.0467877,0.953212,0.99968,0.57658,0.000159942,9.05903e-06,0.000184561,75.0,0.26,1.0
0.0003445,0.0001,0.495149,0.101732,0.898268,0.999589,0.423606,0.00017058,1.96974e-05,0.000173923,75.0,0.26,1.0
0.0003445,0.00022,0.563731,0.223758,0.776242,0.99944,0.268369,0.000194207,4.33241e-05,0.000150296,75.0,0.26,1.0
0.0003445,0.00046,0.700973,0.46795,0.53205,0.999163,0.123062,0.000241487,9.06044e-05,0.000103016,75.0,0.26,1.0
0.0003445,0.001,0.878335,0.783526,0.216474,0.998339,0.0252325,0.000302589,0.000151706,4.19138e-05,75.0,0.26,1.0
0.0003445,0.0022,0.968644,0.944209,0.0557906,0.997259,0.00394054,0.0003337,0.000182818,1.08022e-05,75.0,0.26,1.0
0.0003445,0.0046,0.998185,0.99677,0.00322999,0.994651,0.000116924,0.000343877,0.000192995,6.25392e-07,75.0,0.26,1.0
0.0003445,0.01,0.999955,0.99992,7.98972e-05,0.987944,1.28311e-06,0.000344487,0.000193605,1.54697e-08,75.0,0.26,1.0
0.0003918,1e-05,0.438716,0.00929811,0.990702,0.999765,0.935862,0.000171901,2.06409e-06,0.000219926,90.0,0.26,1.0
0.0003918,2.2e-05,0.445038,0.0204557,0.979544,0.999719,0.773105,0.000174378,4.54096e-06,0.00021745,90.0,0.26,1.0
0.0003918,4.6e-05,0.457681,0.0427724,0.957228,0.999658,0.620836,0.000179332,9.49507e-06,0.000212495,90.0,0.26,1.0
0.0003918,0.0001,0.486144,0.0930115,0.906989,0.999563,0.460476,0.000190485,2.06477e-05,0.000201343,90.0,0.26,1.0
0.0003918,0.00022,0.549336,0.204549,0.795451,0.999407,0.297792,0.000215245,4.54079e-05,0.000176583,90.0,0.26,1.0
0.0003918,0.00046,0.67581,0.427783,0.572217,0.999127,0.145487,0.000264801,9.49639e-05,0.000127027,90.0,0.26,1.0
