annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor,particle_size_min,particle_size_max
4.322e-05,1e-09,0.190734,8.1975e-06,0.999992,0.99999,3.33437,8.24277e-06,2.86695e-10,3.49732e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,7.7e-09,0.190779,6.31077e-05,0.999937,0.999987,2.74931,8.24469e-06,2.2071e-09,3.49713e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,6e-08,0.191126,0.000491811,0.999508,0.999984,2.16075,8.25968e-06,1.72003e-08,3.49563e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,4.6e-07,0.193778,0.00376919,0.996231,0.999978,1.57698,8.3743e-06,1.31822e-07,3.48417e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,3.6e-06,0.214598,0.0294965,0.970504,0.999966,0.987229,9.27408e-06,1.0316e-06,3.39419e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,2.8e-05,0.376464,0.22951,0.77049,0.999932,0.399118,1.62693e-05,8.02677e-06,2.69467e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,0.00022,0.960971,0.951773,0.0482268,0.999708,0.00577365,4.15293e-05,3.32868e-05,1.68666e-06,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,0.0017,1.0,1.0,0.0,0.0,0.0,4.3216e-05,3.49735e-05,0.0,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,0.013,1.0,1.0,0.0,0.0,0.0,4.3216e-05,3.49735e-05,0.0,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,0.1,1.0,1.0,0.0,0.0,0.0,4.3216e-05,3.49735e-05,0.0,6578.137,0.0,0.26,1.0,0.01,100.0
0.0001296,1e-09,0.424522,7.43573e-06,0.999993,0.999988,6.48217,5.50084e-05,5.54477e-10,7.45687e-05,6678.137,0.0,0.26,1.0,0.01,100.0
0.0001296,7.7e-09,0.424551,5.72338e-05,0.999943,0.999986,5.35053,5.50121e-05,4.26788e-09,7.4565e-05,6678.137,0.0,0.26,1.0,0.01,100.0
0.0001296,6e-08,0.424775,0.000446144,0.999554,0.999982,4.21187,5.50411e-05,3.32687e-08,7.4536e-05,6678.137,0.0,0.26,1.0,0.01,100.0
0.0001296,4.6e-07,0.426486,0.00342006,0.99658,0.999976,3.08249,5.52628e-05,2.55031e-07,7.43142e-05,6678.137,0.0,0.26,1.0,0.01,100.0
0.0001296,3.6e-06,0.439921,0.0267648,0.973235,0.999963,1.94165,5.70036e-05,1.99583e-06,7.25734e-05,6678.137,0.0,0.26,1.0,0.01,100.0
0.0001296,2.8e-05,0.54436,0.208246,0.791754,0.999927,0.804029,7.05365e-05,1.55287e-05,5.90405e-05,6678.137,0.0,0.26,1.0,0.01,100.0
0.0001296,0.00022,0.931039,0.880169,0.119831,0.9997,0.0297763,0.000120641,6.56335e-05,8.93572e-06,6678.137,0.0,0.26,1.0,0.01,100.0
0.0001296,0.0017,0.999999,0.999998,2.38574e-06,0.997975,8.78667e-08,0.000129577,7.45691e-05,1.77903e-10,6678.137,0.0,0.26,1.0,0.01,100.0
0.0001296,0.013,1.0,1.0,0.0,0.0,0.0,0.000129577,7.45693e-05,0.0,6678.137,0.0,0.26,1.0,0.01,100.0
0.0001296,0.1,1.0,1.0,0.0,0.0,0.0,0.000129577,7.45693e-05,0.0,6678.137,0.0,0.26,1.0,0.01,100.0
0.000289,1e-09,0.629363,8.75756e-06,0.999991,0.99999,10.8865,0.000181912,9.38199e-10,0.000107129,6778.137,0.0,0.26,1.0,0.01,100.0
0.000289,7.7e-09,0.629385,6.74402e-05,0.999933,0.999988,8.97105,0.000181918,7.22488e-09,0.000107123,6778.137,0.0,0.26,1.0,0.01,100.0
