annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor,particle_size_min,particle_size_max
4.322e-05,1e-09,0.190734,8.18422e-06,0.999992,0.999989,3.32875,8.24277e-06,2.86231e-10,3.49732e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,7.7e-09,0.190779,6.30056e-05,0.999937,0.999987,2.74463,8.24468e-06,2.20353e-09,3.49713e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,6e-08,0.191125,0.000491015,0.999509,0.999984,2.15702,8.25965e-06,1.71725e-08,3.49563e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,4.6e-07,0.193773,0.0037631,0.996237,0.999978,1.5742,8.37409e-06,1.31609e-07,3.48419e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,3.6e-06,0.21456,0.0294488,0.970551,0.999966,0.985397,9.27241e-06,1.02993e-06,3.39436e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,2.8e-05,0.376164,0.229139,0.770861,0.999932,0.398236,1.62563e-05,8.0138e-06,2.69597e-05,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,0.00022,0.95861,0.948856,0.0511442,0.999694,0.00584665,4.14273e-05,3.31848e-05,1.78869e-06,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,0.0017,1.0,1.0,0.0,0.0,0.0,4.3216e-05,3.49735e-05,0.0,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,0.013,1.0,1.0,0.0,0.0,0.0,4.3216e-05,3.49735e-05,0.0,6578.137,0.0,0.26,1.0,0.01,100.0
4.322e-05,0.1,1.0,1.0,0.0,0.0,0.0,4.3216e-05,3.49735e-05,0.0,6578.137,0.0,0.26,1.0,0.01,100.0
0.0001296,1e-09,0.424522,7.25861e-06,0.999993,0.999988,6.33647,5.50084e-05,5.41269e-10,7.45687e-05,6678.137,0.0,0.26,1.0,0.01,100.0
