annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.00236,1e-09,0.760799,0.0,1.0,0.999995,104.494,0.00179522,0.0,0.000564433,0.32,1.0
0.00236,7.7e-09,0.760841,0.0,1.0,0.999992,74.1052,0.00179532,0.0,0.000564333,0.32,1.0
0.00236,6e-08,0.761171,0.0,1.0,0.999987,43.5416,0.0017961,0.0,0.000563555,0.32,1.0
0.00236,4.6e-07,0.763679,0.00918879,0.990811,0.999958,13.3037,0.00180202,5.17152e-06,0.000557636,0.32,1.0
0.00236,3.6e-06,0.767454,0.0250143,0.974986,0.999871,4.24539,0.00181093,1.40782e-05,0.000548729,0.32,1.0
0.00236,2.8e-05,0.780221,0.0785411,0.921459,0.999629,1.39841,0.00184105,4.42035e-05,0.000518604,0.32,1.0
0.00236,0.00022,0.813094,0.216368,0.783632,0.998594,0.313593,0.00191862,0.000121773,0.000441034,0.32,1.0
0.00236,0.0017,0.880351,0.498353,0.501647,0.992928,0.0399231,0.00207733,0.000280477,0.000282331,0.32,1.0
0.00236,0.013,0.941668,0.755435,0.244565,0.963955,0.00381864,0.00222201,0.000425164,0.000137643,0.32,1.0
0.00236,0.1,0.982374,0.926102,0.0738985,0.845631,0.000269423,0.00231807,0.000521217,4.15906e-05,0.32,1.0
