annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.000138,0.0001,0.912958,0.893639,0.106361,0.999513,0.0246651,0.000126011,0.000100939,1.20139e-05,6578.137,0.26,0.5
0.0004822,0.0001,0.906515,0.805591,0.194409,0.999705,0.153047,0.000437107,0.000186788,4.50767e-05,6678.137,0.26,0.5
0.0008527,0.0001,0.693284,0.376289,0.623711,0.99902,0.266812,0.000591187,0.000157794,0.000261548,6778.137,0.26,0.5
0.002415,0.0001,0.722005,0.172938,0.827062,0.998306,0.396352,0.00174399,0.000140409,0.000671495,6878.137,0.26,0.5
0.004625,0.0001,0.707231,0.0780837,0.921916,0.997307,0.502742,0.00327082,0.00011468,0.001354,6978.137,0.26,0.5
0.008832,0.0001,0.75351,0.0378763,0.962124,0.996993,0.724025,0.00665467,8.56988e-05,0.0021769,7078.137,0.26,0.5
0.01339,0.0001,0.80726,0.0311443,0.968856,0.997822,1.18482,0.0108087,8.29563e-05,0.00258065,7178.137,0.26,0.5
0.01003,0.0001,0.873348,0.0532169,0.946783,0.998846,1.10003,0.00875728,7.13825e-05,0.00126997,7278.137,0.26,0.5
0.006233,0.0001,0.887678,0.0441783,0.955822,0.998131,0.374616,0.00553288,3.23589e-05,0.000700102,7378.137,0.26,0.5
0.004549,0.0001,0.940204,0.0726832,0.927317,0.998826,0.231763,0.00427662,2.13184e-05,0.000271988,7478.137,0.26,0.5
0.005091,0.0001,0.955972,0.0684586,0.931541,0.998943,0.212002,0.00486704,1.64729e-05,0.000224153,7578.137,0.26,0.5
0.000138,0.0001,0.921291,0.90382,0.0961797,0.999508,0.0221023,0.000127161,0.000102089,1.08638e-05,6578.137,0.26,0.6
0.0004822,0.0001,0.92724,0.848689,0.151311,0.999646,0.0992138,0.0004471,0.000196781,3.50837e-05,6678.137,0.26,0.6
0.0008527,0.0001,0.699024,0.387962,0.612038,0.999187,0.315813,0.000596082,0.000162689,0.000256653,6778.137,0.26,0.6
0.002415,0.0001,0.724331,0.17986,0.82014,0.998632,0.486684,0.00174961,0.000146029,0.000665875,6878.137,0.26,0.6
0.004625,0.0001,0.708367,0.0816619,0.918338,0.997879,0.635861,0.00327607,0.000119936,0.00134875,6978.137,0.26,0.6
0.008832,0.0001,0.754254,0.0407833,0.959217,0.997672,0.932146,0.00666125,9.22761e-05,0.00217032,7078.137,0.26,0.6
0.01339,0.0001,0.807791,0.0338091,0.966191,0.998185,1.41829,0.0108158,9.00543e-05,0.00257356,7178.137,0.26,0.6
0.01003,0.0001,0.873622,0.0552614,0.944739,0.998925,1.17828,0.00876002,7.41249e-05,0.00126723,7278.137,0.26,0.6
0.006233,0.0001,0.887767,0.0449402,0.95506,0.998284,0.40777,0.00553344,3.29169e-05,0.000699544,7378.137,0.26,0.6
0.004549,0.0001,0.940344,0.0748487,0.925151,0.99889,0.244475,0.00427725,2.19536e-05,0.000271353,7478.137,0.26,0.6
0.005091,0.0001,0.956056,0.0702301,0.92977,0.998992,0.221964,0.00486747,1.68992e-05,0.000223727,7578.137,0.26,0.6
0.000138,0.0001,0.926919,0.910698,0.089302,0.999513,0.0207166,0.000127937,0.000102866,1.00869e-05,6578.137,0.26,0.7
0.0004822,0.0001,0.940879,0.877052,0.122948,0.999498,0.0568339,0.000453677,0.000203358,2.85073e-05,6678.137,0.26,0.7
0.0008527,0.0001,0.705361,0.40085,0.59915,0.999298,0.358151,0.000601486,0.000168093,0.000251249,6778.137,0.26,0.7
0.002415,0.0001,0.726945,0.187637,0.812363,0.998851,0.57382,0.00175593,0.000152343,0.000659561,6878.137,0.26,0.7
0.004625,0.0001,0.709836,0.0862867,0.913713,0.998263,0.772557,0.00328286,0.000126728,0.00134196,6978.137,0.26,0.7
0.008832,0.0001,0.755293,0.0448386,0.955161,0.998122,1.151,0.00667043,0.000101452,0.00216115,7078.137,0.26,0.7
0.01339,0.0001,0.808543,0.0375906,0.962409,0.99846,1.66457,0.0108259,0.000100127,0.00256348,7178.137,0.26,0.7
0.01003,0.0001,0.873942,0.0576527,0.942347,0.998997,1.26067,0.00876323,7.73325e-05,0.00126402,7278.137,0.26,0.7
0.006233,0.0001,0.888171,0.048377,0.951623,0.998423,0.442106,0.00553595,3.54342e-05,0.000697027,7378.137,0.26,0.7
0.004549,0.0001,0.940497,0.0772227,0.922777,0.99895,0.257716,0.00427795,2.26499e-05,0.000270656,7478.137,0.26,0.7
0.005091,0.0001,0.956155,0.0723287,0.927671,0.999039,0.232243,0.00486797,1.74042e-05,0.000223222,7578.137,0.26,0.7
0.000138,0.0001,0.930821,0.915467,0.0845334,0.999539,0.0206908,0.000128476,0.000103405,9.54833e-06,6578.137,0.26,0.8
0.0004822,0.0001,0.946582,0.888913,0.111087,0.999381,0.0416109,0.000456427,0.000206108,2.57572e-05,6678.137,0.26,0.8
0.0008527,0.0001,0.712175,0.414705,0.585295,0.999377,0.393805,0.000607296,0.000173903,0.000245438,6778.137,0.26,0.8
0.002415,0.0001,0.729862,0.196313,0.803687,0.999006,0.656474,0.00176297,0.000159387,0.000652517,6878.137,0.26,0.8
0.004625,0.0001,0.711371,0.0911202,0.90888,0.998534,0.910356,0.00328996,0.000133827,0.00133486,6978.137,0.26,0.8
0.008832,0.0001,0.756352,0.0489729,0.951027,0.998438,1.37795,0.00667978,0.000110806,0.00215179,7078.137,0.26,0.8
0.01339,0.0001,0.809315,0.0414697,0.95853,0.998671,1.92057,0.0108362,0.000110459,0.00255315,7178.137,0.26,0.8
0.01003,0.0001,0.874329,0.0605445,0.939455,0.999064,1.3458,0.00876711,8.12115e-05,0.00126014,7278.137,0.26,0.8
0.006233,0.0001,0.88842,0.0504928,0.949507,0.998544,0.477584,0.0055375,3.6984e-05,0.000695477,7378.137,0.26,0.8
0.004549,0.0001,0.940643,0.079493,0.920507,0.999005,0.271331,0.00427861,2.33158e-05,0.00026999,7478.137,0.26,0.8
0.005091,0.0001,0.956272,0.0747882,0.925212,0.999083,0.242707,0.00486857,1.7996e-05,0.00022263,7578.137,0.26,0.8
0.000138,0.0001,0.934471,0.919926,0.0800737,0.999557,0.0203982,0.00012898,0.000103909,9.04458e-06,6578.137,0.26,0.9
0.0004822,0.0001,0.949118,0.894186,0.105814,0.999364,0.0385587,0.000457649,0.00020733,2.45346e-05,6678.137,0.26,0.9
0.0008527,0.0001,0.719762,0.430134,0.569866,0.99943,0.419459,0.000613766,0.000180373,0.000238969,6778.137,0.26,0.9
0.002415,0.0001,0.733215,0.20629,0.79371,0.999119,0.731194,0.00177107,0.000167488,0.000644416,6878.137,0.26,0.9
0.004625,0.0001,0.713183,0.0968262,0.903174,0.998732,1.04641,0.00329834,0.000142207,0.00132648,6978.137,0.26,0.9
0.008832,0.0001,0.757578,0.0537566,0.946243,0.998669,1.60869,0.0066906,0.000121629,0.00214097,7078.137,0.26,0.9
0.01339,0.0001,0.810199,0.0459166,0.954083,0.998835,2.18169,0.010848,0.000122304,0.00254131,7178.137,0.26,0.9
0.01003,0.0001,0.874738,0.0636047,0.936395,0.999123,1.43261,0.00877122,8.53163e-05,0.00125603,7278.137,0.26,0.9
0.006233,0.0001,0.888746,0.053268,0.946732,0.99865,0.513537,0.00553954,3.90167e-05,0.000693444,7378.137,0.26,0.9
0.004549,0.0001,0.940821,0.082243,0.917757,0.999055,0.284979,0.00427942,2.41224e-05,0.000269184,7478.137,0.26,0.9
0.005091,0.0001,0.9564,0.0775057,0.922494,0.999123,0.253131,0.00486922,1.86499e-05,0.000221976,7578.137,0.26,0.9
0.000138,0.0001,0.93826,0.924556,0.0754437,0.999558,0.0192727,0.000129503,0.000104432,8.52161e-06,6578.137,0.26,1.0
0.0004822,0.0001,0.950816,0.897718,0.102282,0.99938,0.0382358,0.000458468,0.000208149,2.37157e-05,6678.137,0.26,1.0
0.0008527,0.0001,0.728127,0.447144,0.552856,0.999465,0.433056,0.000620899,0.000187506,0.000231835,6778.137,0.26,1.0
0.002415,0.0001,0.736908,0.217276,0.782724,0.999201,0.795295,0.00177999,0.000176407,0.000635497,6878.137,0.26,1.0
0.004625,0.0001,0.715189,0.103143,0.896857,0.998882,1.17825,0.00330762,0.000151485,0.0013172,6978.137,0.26,1.0
0.008832,0.0001,0.758942,0.0590794,0.940921,0.998843,1.84009,0.00670265,0.000133673,0.00212892,7078.137,0.26,1.0
0.01339,0.0001,0.811178,0.0508347,0.949165,0.998966,2.44499,0.0108611,0.000135404,0.00252821,7178.137,0.26,1.0
0.01003,0.0001,0.875194,0.0670115,0.932989,0.999177,1.51995,0.00877579,8.98859e-05,0.00125147,7278.137,0.26,1.0
0.006233,0.0001,0.889111,0.0563742,0.943626,0.998743,0.549767,0.00554181,4.12919e-05,0.000691169,7378.137,0.26,1.0
0.004549,0.0001,0.941003,0.0850757,0.914924,0.999101,0.298482,0.00428025,2.49532e-05,0.000268353,7478.137,0.26,1.0
0.005091,0.0001,0.956538,0.0804283,0.919572,0.99916,0.263323,0.00486992,1.93531e-05,0.000221273,7578.137,0.26,1.0
0.000138,0.0001,0.942202,0.929373,0.0706274,0.999537,0.017239,0.000130047,0.000104976,7.97759e-06,6578.137,0.26,1.1
0.0004822,0.0001,0.951996,0.900171,0.099829,0.999419,0.0398268,0.000459037,0.000208718,2.31468e-05,6678.137,0.26,1.1
0.0008527,0.0001,0.737395,0.46599,0.53401,0.999482,0.43252,0.000628802,0.000195409,0.000223933,6778.137,0.26,1.1
0.002415,0.0001,0.741095,0.229735,0.770265,0.999261,0.846694,0.00179011,0.000186522,0.000625382,6878.137,0.26,1.1
0.004625,0.0001,0.717432,0.110206,0.889794,0.998998,1.3038,0.00331799,0.000161858,0.00130683,6978.137,0.26,1.1
0.008832,0.0001,0.760451,0.064969,0.935031,0.998978,2.06978,0.00671597,0.000146999,0.0021156,7078.137,0.26,1.1
0.01339,0.0001,0.812262,0.0562862,0.943714,0.999072,2.70746,0.0108756,0.000149924,0.00251369,7178.137,0.26,1.1
0.01003,0.0001,0.875705,0.0708332,0.929167,0.999224,1.60659,0.00878091,9.50121e-05,0.00124634,7278.137,0.26,1.1
0.006233,0.0001,0.889432,0.0591017,0.940898,0.998823,0.585525,0.00554381,4.32897e-05,0.000689171,7378.137,0.26,1.1
0.004549,0.0001,0.941207,0.0882321,0.911768,0.999142,0.311622,0.00428118,2.5879e-05,0.000267427,7478.137,0.26,1.1
0.005091,0.0001,0.95669,0.0836471,0.916353,0.999193,0.273126,0.0048707,2.01276e-05,0.000220498,7578.137,0.26,1.1
0.000138,0.0001,0.946057,0.934084,0.0659165,0.99949,0.0146072,0.000130579,0.000105508,7.44548e-06,6578.137,0.26,1.2
0.0004822,0.0001,0.953026,0.902313,0.0976874,0.999459,0.0418394,0.000459534,0.000209215,2.26503e-05,6678.137,0.26,1.2
0.0008527,0.0001,0.747332,0.486197,0.513803,0.999484,0.417711,0.000637276,0.000203883,0.000215459,6778.137,0.26,1.2
0.002415,0.0001,0.745508,0.242863,0.757137,0.999305,0.884329,0.00180077,0.000197182,0.000614722,6878.137,0.26,1.2
0.004625,0.0001,0.719816,0.117713,0.882287,0.999088,1.4211,0.00332902,0.000172883,0.0012958,6978.137,0.26,1.2
0.008832,0.0001,0.762091,0.0713709,0.928629,0.999084,2.29496,0.00673046,0.000161483,0.00210111,7078.137,0.26,1.2
0.01339,0.0001,0.813446,0.0622353,0.937765,0.999158,2.96637,0.0108915,0.000165771,0.00249784,7178.137,0.26,1.2
0.01003,0.0001,0.876256,0.0749505,0.925049,0.999267,1.6919,0.00878643,0.000100535,0.00124082,7278.137,0.26,1.2
0.006233,0.0001,0.889915,0.063213,0.936787,0.998894,0.620379,0.00554682,4.6301e-05,0.00068616,7378.137,0.26,1.2
0.004549,0.0001,0.941432,0.0917184,0.908282,0.999179,0.324364,0.0042822,2.69016e-05,0.000266405,7478.137,0.26,1.2
