annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.0001927,0.0001,0.871274,0.849081,0.150919,0.999556,0.0559278,0.000167936,0.000139593,2.48117e-05,6578.137,0.26,0.5
0.0006532,0.0001,0.841224,0.710367,0.289633,0.999709,0.356367,0.00054951,0.000254381,0.000103717,6678.137,0.26,0.5
0.001384,0.0001,0.795215,0.438648,0.561352,0.998726,0.222443,0.00110067,0.00022149,0.000283447,6778.137,0.26,0.5
0.003397,0.0001,0.684258,0.14502,0.85498,0.998177,0.58824,0.00232443,0.000181929,0.00107258,6878.137,0.26,0.5
0.00812,0.0001,0.697553,0.0644829,0.935517,0.996056,0.622623,0.00566406,0.000169275,0.00245583,6978.137,0.26,0.5
0.01361,0.0001,0.73764,0.0368766,0.963123,0.996132,0.922811,0.0100359,0.000136672,0.00356953,7078.137,0.26,0.5
0.02319,0.0001,0.791556,0.021567,0.978433,0.996895,1.55679,0.0183535,0.000106533,0.00483311,7178.137,0.26,0.5
0.01859,0.0001,0.880507,0.0352569,0.964743,0.998236,1.25938,0.0163661,8.11684e-05,0.00222103,7278.137,0.26,0.5
0.01414,0.0001,0.907954,0.0378455,0.962155,0.998194,0.720796,0.0128395,5.11983e-05,0.00130163,7378.137,0.26,0.5
0.01053,0.0001,0.942275,0.0470498,0.95295,0.998428,0.386547,0.00991758,2.99972e-05,0.000607565,7478.137,0.26,0.5
0.009623,0.0001,0.957024,0.0482145,0.951786,0.9985,0.27566,0.0092095,2.09499e-05,0.000413565,7578.137,0.26,0.5
0.0001927,0.0001,0.881465,0.86103,0.13897,0.999593,0.0561393,0.0001699,0.000141557,2.28473e-05,6578.137,0.26,0.6
0.0006532,0.0001,0.867142,0.757645,0.242355,0.99972,0.310264,0.00056644,0.000271311,8.67866e-05,6678.137,0.26,0.6
0.001384,0.0001,0.79718,0.444037,0.555963,0.998904,0.256141,0.00110339,0.00022421,0.000280726,6778.137,0.26,0.6
0.003397,0.0001,0.686681,0.151583,0.848417,0.998526,0.721852,0.00233266,0.000190162,0.00106435,6878.137,0.26,0.6
0.00812,0.0001,0.698155,0.0663446,0.933655,0.996824,0.77166,0.00566895,0.000174162,0.00245095,6978.137,0.26,0.6
0.01361,0.0001,0.738153,0.0387619,0.961238,0.996945,1.16607,0.0100429,0.00014366,0.00356254,7078.137,0.26,0.6
0.02319,0.0001,0.791878,0.0230821,0.976918,0.997387,1.84667,0.0183609,0.000114017,0.00482562,7178.137,0.26,0.6
0.01859,0.0001,0.880666,0.036541,0.963459,0.99837,1.3611,0.016369,8.41247e-05,0.00221807,7278.137,0.26,0.6
0.01414,0.0001,0.908058,0.0389245,0.961076,0.998303,0.766124,0.012841,5.2658e-05,0.00130017,7378.137,0.26,0.6
0.01053,0.0001,0.942324,0.0478556,0.952144,0.998495,0.403391,0.00991809,3.05109e-05,0.000607051,7478.137,0.26,0.6
0.009623,0.0001,0.957062,0.0490747,0.950925,0.998566,0.288067,0.00920987,2.13237e-05,0.000413191,7578.137,0.26,0.6
0.0001927,0.0001,0.892892,0.874427,0.125573,0.999586,0.0498071,0.000172103,0.00014376,2.06448e-05,6578.137,0.26,0.7
0.0006532,0.0001,0.89409,0.806804,0.193196,0.999677,0.214459,0.000584044,0.000288915,6.9183e-05,6678.137,0.26,0.7
0.001384,0.0001,0.799246,0.449699,0.550301,0.999034,0.287557,0.00110625,0.00022707,0.000277867,6778.137,0.26,0.7
0.003397,0.0001,0.689042,0.157975,0.842025,0.998763,0.85395,0.00234068,0.000198181,0.00105633,6878.137,0.26,0.7
0.00812,0.0001,0.698812,0.0683755,0.931624,0.997368,0.929332,0.00567428,0.000179493,0.00244562,6978.137,0.26,0.7
0.01361,0.0001,0.738748,0.0409428,0.959057,0.997509,1.42664,0.010051,0.000151742,0.00355446,7078.137,0.26,0.7
0.02319,0.0001,0.792272,0.0249294,0.975071,0.997769,2.15915,0.0183701,0.000123142,0.0048165,7178.137,0.26,0.7
0.01859,0.0001,0.880833,0.0378927,0.962107,0.998494,1.47097,0.0163721,8.72365e-05,0.00221496,7278.137,0.26,0.7
