annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.000138,0.0001,0.938359,0.911355,0.0886453,0.999557,0.0192074,0.000129516,8.74702e-05,8.50802e-06,6578.137,0.32,1.0
0.0004822,0.0001,0.955038,0.896387,0.103613,0.999359,0.033836,0.000460504,0.000187558,2.16798e-05,6678.137,0.32,1.0
0.0008527,0.0001,0.748514,0.432996,0.567004,0.999462,0.398778,0.000638284,0.000163767,0.000214451,6778.137,0.32,1.0
0.002415,0.0001,0.7485,0.212022,0.787978,0.999196,0.755235,0.00180799,0.00016346,0.000607497,6878.137,0.32,1.0
0.004625,0.0001,0.741786,0.0972839,0.902716,0.998859,1.04674,0.00343063,0.000128696,0.00119419,6978.137,0.32,1.0
0.008832,0.0001,0.809438,0.0556919,0.944308,0.998816,1.42101,0.00714861,9.92552e-05,0.00168296,7078.137,0.32,1.0
0.01339,0.0001,0.854418,0.0483331,0.951667,0.998929,1.82043,0.0114401,9.89977e-05,0.00194924,7178.137,0.32,1.0
0.01003,0.0001,0.90193,0.0642038,0.935796,0.999151,1.15785,0.00904388,6.74679e-05,0.000983372,7278.137,0.32,1.0
0.006233,0.0001,0.904405,0.0503649,0.949635,0.998616,0.430471,0.00563714,3.16011e-05,0.000595842,7378.137,0.32,1.0
0.004549,0.0001,0.948601,0.0774275,0.922573,0.999084,0.255268,0.00431481,1.96214e-05,0.000233795,7478.137,0.32,1.0
0.005091,0.0001,0.963525,0.0745253,0.925475,0.999117,0.210306,0.00490549,1.4954e-05,0.000185703,7578.137,0.32,1.0
0.000138,0.0001,0.938327,0.916036,0.0839641,0.999557,0.0192282,0.000129512,9.28685e-05,8.51235e-06,6578.137,0.3,1.0
0.0004822,0.0001,0.953695,0.896841,0.103159,0.999366,0.0352363,0.000459856,0.000194111,2.23277e-05,6678.137,0.3,1.0
0.0008527,0.0001,0.742025,0.437821,0.562179,0.999463,0.409688,0.000632751,0.000171322,0.000219984,6778.137,0.3,1.0
0.002415,0.0001,0.74481,0.213754,0.786246,0.999197,0.767984,0.00179908,0.000167581,0.000616408,6878.137,0.3,1.0
0.004625,0.0001,0.728835,0.100107,0.899893,0.99887,1.11015,0.00337073,0.000139509,0.00125409,6978.137,0.3,1.0
0.008832,0.0001,0.795,0.0564175,0.943583,0.99883,1.54709,0.0070211,0.000108249,0.00181047,7078.137,0.3,1.0
