annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.0002358,0.0001,0.921649,0.886467,0.113533,0.999451,0.0336734,0.000217331,0.000144257,1.84756e-05,6578.137,0.32,0.5
0.0008196,0.0001,0.908534,0.782856,0.217144,0.999684,0.236904,0.000744592,0.000270253,7.49612e-05,6678.137,0.32,0.5
0.001468,0.0001,0.711592,0.341902,0.658098,0.998833,0.362736,0.00104475,0.000219987,0.000423436,6778.137,0.32,0.5
0.004147,0.0001,0.738315,0.15795,0.84205,0.997944,0.527896,0.00306169,0.000203553,0.00108517,6878.137,0.32,0.5
0.008027,0.0001,0.736662,0.0658783,0.934122,0.996411,0.588949,0.00591316,0.000149074,0.0021138,6978.137,0.32,0.5
0.0153,0.0001,0.805405,0.0299501,0.97005,0.995715,0.69506,0.012326,9.19482e-05,0.0029781,7078.137,0.32,0.5
0.0231,0.0001,0.852972,0.0218145,0.978185,0.996821,1.06815,0.0196996,7.57264e-05,0.00339565,7178.137,0.32,0.5
0.01787,0.0001,0.902164,0.0359396,0.96406,0.998421,1.10758,0.0161262,6.51952e-05,0.00174882,7278.137,0.32,0.5
0.01097,0.0001,0.908246,0.0306641,0.969336,0.997323,0.375818,0.0099605,3.18316e-05,0.00100624,7378.137,0.32,0.5
0.007473,0.0001,0.946807,0.0501717,0.949828,0.998431,0.2534,0.00707532,2.09968e-05,0.000397501,7478.137,0.32,0.5
0.008681,0.0001,0.964637,0.04726,0.95274,0.998498,0.204432,0.00837422,1.52282e-05,0.000306994,7578.137,0.32,0.5
0.0002358,0.0001,0.920394,0.890941,0.109059,0.999469,0.0353383,0.000217035,0.00015335,1.87715e-05,6578.137,0.3,0.5
0.0008196,0.0001,0.90667,0.78618,0.21382,0.999681,0.239627,0.000743064,0.000281238,7.64892e-05,6678.137,0.3,0.5
0.001468,0.0001,0.704199,0.34808,0.65192,0.998836,0.373086,0.00103389,0.000231881,0.00043429,6778.137,0.3,0.5
0.004147,0.0001,0.734257,0.159667,0.840333,0.99795,0.537669,0.00304486,0.000209385,0.001102,6878.137,0.3,0.5
0.008027,0.0001,0.723051,0.0685849,0.931415,0.996447,0.625672,0.0058039,0.000163695,0.00222306,6978.137,0.3,0.5
0.0153,0.0001,0.790101,0.0304447,0.969555,0.99576,0.757562,0.0120918,0.000100869,0.00321232,7078.137,0.3,0.5
0.0231,0.0001,0.840697,0.0224131,0.977587,0.996891,1.18338,0.0194161,8.43517e-05,0.00367914,7178.137,0.3,0.5
0.01787,0.0001,0.895953,0.036599,0.963401,0.998425,1.18103,0.0160152,7.06543e-05,0.00185985,7278.137,0.3,0.5
0.01097,0.0001,0.90471,0.0320103,0.96799,0.997402,0.402204,0.00992172,3.45577e-05,0.00104502,7378.137,0.3,0.5
0.007473,0.0001,0.945092,0.0522365,0.947764,0.998431,0.261442,0.00706251,2.26147e-05,0.000410315,7478.137,0.3,0.5
0.008681,0.0001,0.962371,0.0485761,0.951424,0.998516,0.220154,0.00835454,1.66784e-05,0.000326668,7578.137,0.3,0.5
0.0002358,0.0001,0.919082,0.895124,0.104876,0.999485,0.037079,0.000216726,0.000162858,1.90809e-05,6578.137,0.28,0.5
0.0008196,0.0001,0.90472,0.789415,0.210585,0.999678,0.242474,0.000741466,0.000292722,7.80867e-05,6678.137,0.28,0.5
0.001468,0.0001,0.696469,0.354104,0.645896,0.998839,0.383907,0.00102254,0.000244315,0.000445639,6778.137,0.28,0.5
0.004147,0.0001,0.730013,0.1614,0.8386,0.997957,0.547886,0.00302726,0.000215482,0.0011196,6878.137,0.28,0.5
0.008027,0.0001,0.716115,0.0700636,0.929936,0.996466,0.644873,0.00574823,0.000171685,0.00227873,6978.137,0.28,0.5
0.0153,0.0001,0.77185,0.0315333,0.968467,0.995813,0.833982,0.0118125,0.000113688,0.00349163,7078.137,0.28,0.5
0.0231,0.0001,0.828422,0.0229255,0.977075,0.996949,1.2986,0.0191327,9.2977e-05,0.00396264,7178.137,0.28,0.5
