annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
5.045e-05,0.0001,0.973249,0.967434,0.0325656,0.999853,0.00920764,4.9105e-05,4.0097e-05,1.34974e-06,6578.137,0.0,0.26,1.0
0.0001332,0.0001,0.994002,0.98651,0.0134898,0.999844,0.00513656,0.000132382,5.84212e-05,7.98866e-07,6678.137,0.0,0.26,1.0
0.0003724,0.0001,0.953344,0.895033,0.104967,0.999828,0.100934,0.000355024,0.000148151,1.73748e-05,6778.137,0.0,0.26,1.0
0.0006391,0.0001,0.891543,0.64023,0.35977,0.999815,0.374668,0.000569811,0.000123355,6.93179e-05,6878.137,0.0,0.26,1.0
0.001382,0.0001,0.77996,0.212155,0.787845,0.999557,0.685627,0.00107758,8.18638e-05,0.000304004,6978.137,0.0,0.26,1.0
0.002378,0.0001,0.795939,0.139226,0.860774,0.999562,1.10724,0.00189287,7.84928e-05,0.000485288,7078.137,0.0,0.26,1.0
0.00343,0.0001,0.824387,0.112483,0.887517,0.999569,1.39755,0.00282753,7.63387e-05,0.000602328,7178.137,0.0,0.26,1.0
0.002474,0.0001,0.901513,0.117743,0.882257,0.999473,0.462364,0.00223012,3.25143e-05,0.000243632,7278.137,0.0,0.26,1.0
0.001643,0.0001,0.892871,0.0936821,0.906318,0.999282,0.244973,0.00146699,1.81937e-05,0.000176013,7378.137,0.0,0.26,1.0
0.001091,0.0001,0.940752,0.158578,0.841422,0.999456,0.118917,0.00102626,1.21811e-05,6.46336e-05,7478.137,0.0,0.26,1.0
0.00122,0.0001,0.959437,0.151503,0.848497,0.999437,0.0879323,0.00117041,8.83533e-06,4.94823e-05,7578.137,0.0,0.26,1.0
0.0001189,0.0001,0.978803,0.974841,0.0251586,0.999855,0.0173911,0.000116359,9.76393e-05,2.51987e-06,6578.137,10.0,0.26,1.0
0.0003791,0.0001,0.995304,0.989167,0.0108328,0.999845,0.0114507,0.000377344,0.000162582,1.7805e-06,6678.137,10.0,0.26,1.0
0.0006288,0.0001,0.943366,0.868457,0.131543,0.999824,0.202227,0.000593145,0.000235093,3.56091e-05,6778.137,10.0,0.26,1.0
0.001296,0.0001,0.875779,0.605232,0.394768,0.99982,0.893101,0.00113499,0.000246816,0.000160988,6878.137,10.0,0.26,1.0
0.002998,0.0001,0.777964,0.194899,0.805101,0.999553,1.48837,0.0023325,0.000161155,0.000665709,6978.137,10.0,0.26,1.0
0.004966,0.0001,0.777451,0.135132,0.864868,0.99956,2.51388,0.00386106,0.00017269,0.00110525,7078.137,10.0,0.26,1.0
0.006028,0.0001,0.804048,0.11467,0.88533,0.999567,2.72678,0.0048467,0.000152988,0.00118118,7178.137,10.0,0.26,1.0
0.005924,0.0001,0.899626,0.109524,0.890476,0.999473,1.12908,0.00532911,7.31312e-05,0.000594586,7278.137,10.0,0.26,1.0
0.00345,0.0001,0.891343,0.0946861,0.905314,0.999291,0.529048,0.00307505,3.92057e-05,0.000374855,7378.137,10.0,0.26,1.0
0.002418,0.0001,0.941897,0.137191,0.862809,0.999449,0.254787,0.00227759,2.23399e-05,0.000140498,7478.137,10.0,0.26,1.0
0.002327,0.0001,0.955753,0.144085,0.855915,0.999454,0.1887,0.00222361,1.73292e-05,0.000102942,7578.137,10.0,0.26,1.0
0.0001227,0.0001,0.978927,0.974686,0.0253144,0.999854,0.0177495,0.000120155,9.95886e-05,2.5865e-06,6578.137,20.0,0.26,1.0
0.0003835,0.0001,0.995167,0.989146,0.0108539,0.999843,0.0118202,0.000381616,0.000168908,1.85343e-06,6678.137,20.0,0.26,1.0
0.0006007,0.0001,0.857029,0.663954,0.336046,0.999747,0.33999,0.000514823,0.000169688,8.58837e-05,6778.137,20.0,0.26,1.0
0.001419,0.0001,0.804804,0.337453,0.662547,0.999589,0.673375,0.00114164,0.000141028,0.000276892,6878.137,20.0,0.26,1.0
0.002797,0.0001,0.75973,0.17071,0.82929,0.999427,1.1732,0.0021252,0.000138354,0.000672109,6978.137,20.0,0.26,1.0
0.005095,0.0001,0.776549,0.106065,0.893935,0.999424,1.97639,0.00395662,0.000135084,0.00113851,7078.137,20.0,0.26,1.0
0.007541,0.0001,0.820393,0.0884232,0.911577,0.999434,2.39252,0.00618663,0.00013138,0.00135442,7178.137,20.0,0.26,1.0
0.006053,0.0001,0.892568,0.103723,0.896277,0.999479,1.24719,0.00540284,7.52573e-05,0.0006503,7278.137,20.0,0.26,1.0
0.003197,0.0001,0.895381,0.09095,0.90905,0.999257,0.450479,0.00286288,3.34675e-05,0.000334509,7378.137,20.0,0.26,1.0
0.00233,0.0001,0.938043,0.13081,0.86919,0.999433,0.254528,0.00218542,2.17235e-05,0.000144346,7478.137,20.0,0.26,1.0
0.002015,0.0001,0.945746,0.134774,0.865226,0.999454,0.200247,0.00190547,1.70271e-05,0.000109311,7578.137,20.0,0.26,1.0
0.0001032,0.0001,0.976186,0.970804,0.0291957,0.999854,0.0168199,0.000100772,8.17418e-05,2.45828e-06,6578.137,30.0,0.26,1.0
0.0003381,0.0001,0.994885,0.988893,0.0111072,0.99984,0.0108371,0.000336322,0.000153945,1.7291e-06,6678.137,30.0,0.26,1.0
0.000546,0.0001,0.850452,0.658093,0.341907,0.999747,0.32297,0.000464339,0.000157161,8.16517e-05,6778.137,30.0,0.26,1.0
0.001381,0.0001,0.810184,0.347547,0.652453,0.99959,0.639518,0.00111862,0.000139603,0.000262078,6878.137,30.0,0.26,1.0
0.002708,0.0001,0.753086,0.160095,0.839905,0.999422,1.15685,0.00203901,0.000127429,0.00066853,6978.137,30.0,0.26,1.0
0.004946,0.0001,0.779534,0.103639,0.896361,0.999416,1.86794,0.0038556,0.000126078,0.00109043,7078.137,30.0,0.26,1.0
0.00718,0.0001,0.818883,0.0847626,0.915237,0.999426,2.26608,0.00587978,0.00012044,0.00130047,7178.137,30.0,0.26,1.0
0.005566,0.0001,0.884844,0.103275,0.896725,0.999474,1.21808,0.00492547,7.38244e-05,0.000641011,7278.137,30.0,0.26,1.0
0.003605,0.0001,0.905489,0.0895696,0.91043,0.999257,0.458372,0.00326403,3.35173e-05,0.000340686,7378.137,30.0,0.26,1.0
0.002426,0.0001,0.944233,0.136199,0.863801,0.999421,0.233706,0.0022911,2.13354e-05,0.000135314,7478.137,30.0,0.26,1.0
0.002134,0.0001,0.952857,0.132111,0.867889,0.999421,0.173619,0.00203313,1.5312e-05,0.000100591,7578.137,30.0,0.26,1.0
0.0001156,0.0001,0.999933,0.999914,8.64801e-05,0.998317,4.63577e-06,0.000115625,9.02332e-05,7.80405e-09,6578.137,40.0,0.26,1.0
0.0003601,0.0001,0.999482,0.998867,0.0011329,0.999804,0.000952701,0.000359906,0.000164375,1.86431e-07,6678.137,40.0,0.26,1.0
0.0005319,0.0001,0.842769,0.640929,0.359071,0.999754,0.339994,0.000448228,0.000149264,8.36233e-05,6778.137,40.0,0.26,1.0
0.001589,0.0001,0.813567,0.33803,0.66197,0.999649,0.842911,0.00129262,0.000151258,0.000296211,6878.137,40.0,0.26,1.0
0.002947,0.0001,0.738414,0.151379,0.848621,0.999368,1.21925,0.00217625,0.000137523,0.000770946,6978.137,40.0,0.26,1.0
0.005225,0.0001,0.758464,0.0953381,0.904662,0.999355,1.95755,0.0039626,0.000132986,0.0012619,7078.137,40.0,0.26,1.0
0.00805,0.0001,0.826385,0.0794342,0.920566,0.999367,2.20929,0.00665254,0.000120599,0.00139763,7178.137,40.0,0.26,1.0
0.005834,0.0001,0.884851,0.101787,0.898213,0.99947,1.26652,0.00516204,7.6124e-05,0.000671753,7278.137,40.0,0.26,1.0
0.003871,0.0001,0.897722,0.09032,0.90968,0.999282,0.551383,0.00347495,3.93081e-05,0.000395902,7378.137,40.0,0.26,1.0
0.002845,0.0001,0.946986,0.12744,0.87256,0.999424,0.261646,0.00269384,2.20256e-05,0.000150806,7478.137,40.0,0.26,1.0
0.002192,0.0001,0.951547,0.128234,0.871766,0.999409,0.179809,0.0020859,1.56238e-05,0.000106214,7578.137,40.0,0.26,1.0
0.0001078,0.0001,0.997813,0.997286,0.00271351,0.998626,0.000171651,0.000107597,8.66878e-05,2.35868e-07,6578.137,50.0,0.26,1.0
0.0003667,0.0001,0.995626,0.9907,0.00929969,0.999403,0.0026864,0.000365121,0.000170865,1.6039e-06,6678.137,50.0,0.26,1.0
0.000577,0.0001,0.822196,0.611629,0.388371,0.999698,0.339487,0.000474377,0.000161559,0.000102586,6778.137,50.0,0.26,1.0
0.001744,0.0001,0.804482,0.323729,0.676271,0.999539,0.739098,0.00140262,0.000163181,0.000340886,6878.137,50.0,0.26,1.0
0.003251,0.0001,0.745232,0.150372,0.849628,0.999278,1.14692,0.00242305,0.000146607,0.000828355,6978.137,50.0,0.26,1.0
0.005572,0.0001,0.765049,0.0848665,0.915134,0.999256,1.75904,0.00426262,0.000121399,0.00130907,7078.137,50.0,0.26,1.0
0.008369,0.0001,0.828567,0.0704058,0.929594,0.999255,1.92573,0.00693459,0.000108668,0.00143479,7178.137,50.0,0.26,1.0
0.006625,0.0001,0.884615,0.0961808,0.903819,0.999408,1.29132,0.00586071,8.1349e-05,0.000764444,7278.137,50.0,0.26,1.0
0.004231,0.0001,0.900758,0.0877194,0.912281,0.99921,0.531742,0.00381149,4.03782e-05,0.000419933,7378.137,50.0,0.26,1.0
0.002842,0.0001,0.942212,0.118712,0.881288,0.999348,0.251697,0.00267741,2.212e-05,0.000164213,7478.137,50.0,0.26,1.0
0.002475,0.0001,0.953162,0.126648,0.873352,0.999372,0.184731,0.00235944,1.68132e-05,0.000115942,7578.137,50.0,0.26,1.0
0.0001106,0.0001,0.991966,0.990121,0.00987868,0.998835,0.000762981,0.000109747,8.90863e-05,8.88835e-07,6578.137,60.0,0.26,1.0
0.0003687,0.0001,0.990375,0.979962,0.0200377,0.999377,0.00569987,0.000365164,0.000173567,3.54899e-06,6678.137,60.0,0.26,1.0
0.0006075,0.0001,0.810814,0.594556,0.405444,0.999687,0.367351,0.000492541,0.000168528,0.000114924,6778.137,60.0,0.26,1.0
0.001817,0.0001,0.795709,0.303089,0.696911,0.999473,0.703723,0.00144544,0.000161395,0.000371105,6878.137,60.0,0.26,1.0
0.003237,0.0001,0.739694,0.143725,0.856275,0.999198,1.0507,0.00239421,0.000141421,0.000842547,6978.137,60.0,0.26,1.0
0.006012,0.0001,0.75865,0.0791369,0.920863,0.999158,1.72308,0.00456114,0.000124699,0.00145104,7078.137,60.0,0.26,1.0
0.009684,0.0001,0.836023,0.0648442,0.935156,0.999174,1.92278,0.00809645,0.000110115,0.00158803,7178.137,60.0,0.26,1.0
0.006732,0.0001,0.881269,0.0879011,0.912099,0.999341,1.21304,0.00593289,7.70322e-05,0.00079932,7278.137,60.0,0.26,1.0
0.004273,0.0001,0.900661,0.0786123,0.921388,0.999109,0.476376,0.00384881,3.62187e-05,0.000424507,7378.137,60.0,0.26,1.0
0.002936,0.0001,0.941497,0.106886,0.893114,0.999259,0.231983,0.00276462,2.05595e-05,0.00017179,7478.137,60.0,0.26,1.0
0.002557,0.0001,0.952335,0.110839,0.889161,0.999274,0.167898,0.00243531,1.51942e-05,0.000121889,7578.137,60.0,0.26,1.0
0.0001167,0.0001,0.953502,0.942969,0.0570315,0.999684,0.0171969,0.000111287,8.97307e-05,5.42698e-06,6578.137,70.0,0.26,1.0
