annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
5.045e-05,0.0001,0.973249,0.902813,0.0971868,0.999853,0.00920764,4.9105e-05,1.25383e-05,1.34974e-06,6578.137,0.0,0.32,1.0
0.0001332,0.0001,0.994002,0.976037,0.0239635,0.999844,0.00513656,0.000132382,3.2538e-05,7.98866e-07,6678.137,0.0,0.32,1.0
0.0003724,0.0001,0.961899,0.735993,0.264007,0.99982,0.0786504,0.00035821,3.95554e-05,1.41888e-05,6778.137,0.0,0.32,1.0
0.0006391,0.0001,0.913656,0.519638,0.480362,0.999802,0.278852,0.000583944,5.9697e-05,5.5185e-05,6878.137,0.0,0.32,1.0
0.001382,0.0001,0.86529,0.155455,0.844545,0.999519,0.386817,0.00119547,3.42577e-05,0.000186113,6978.137,0.0,0.32,1.0
0.002378,0.0001,0.877978,0.125688,0.874312,0.999522,0.607605,0.00208797,4.17162e-05,0.000290187,7078.137,0.0,0.32,1.0
0.00343,0.0001,0.869522,0.106975,0.893025,0.999554,1.00442,0.00298234,5.36086e-05,0.000447523,7178.137,0.0,0.32,1.0
0.002474,0.0001,0.922065,0.109715,0.890285,0.999457,0.355363,0.00228096,2.37588e-05,0.000192792,7278.137,0.0,0.32,1.0
0.001643,0.0001,0.909784,0.0846768,0.915323,0.999198,0.184832,0.00149478,1.37123e-05,0.000148225,7378.137,0.0,0.32,1.0
0.001091,0.0001,0.948286,0.145952,0.854048,0.999438,0.100394,0.00103448,9.6409e-06,5.64146e-05,7478.137,0.0,0.32,1.0
0.00122,0.0001,0.963848,0.141239,0.858761,0.999421,0.0761201,0.00117579,7.2534e-06,4.4102e-05,7578.137,0.0,0.32,1.0
0.0001189,0.0001,0.978803,0.926952,0.0730478,0.999855,0.0173911,0.000116359,3.19762e-05,2.51987e-06,6578.137,10.0,0.32,1.0
0.0003791,0.0001,0.995304,0.977648,0.0223521,0.999845,0.0114507,0.000377344,7.78766e-05,1.7805e-06,6678.137,10.0,0.32,1.0
0.0006288,0.0001,0.951028,0.723553,0.276447,0.999816,0.167188,0.000597963,8.05912e-05,3.07914e-05,6778.137,10.0,0.32,1.0
0.001296,0.0001,0.90501,0.522866,0.477134,0.999806,0.63412,0.00117287,0.000134905,0.000123105,6878.137,10.0,0.32,1.0
0.002998,0.0001,0.856907,0.160355,0.839645,0.999523,0.899119,0.00256919,8.19347e-05,0.000429022,6978.137,10.0,0.32,1.0
