annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
4.322e-05,0.0001,1.0,1.0,0.0,0.0,0.0,4.3216e-05,4.3216e-05,0.0,6578.137,0.0,0.1,2.0
0.0001296,0.0001,1.0,1.0,0.0,0.0,0.0,0.000129577,0.000129577,0.0,6678.137,0.0,0.1,2.0
0.000289,0.0001,0.990642,0.990642,0.00935833,0.999871,0.0209136,0.000286336,0.000286336,2.70494e-06,6778.137,0.0,0.1,2.0
0.0005387,0.0001,0.990393,0.990393,0.00960714,0.999873,0.0408954,0.000533495,0.000533495,5.17508e-06,6878.137,0.0,0.1,2.0
0.00127,0.0001,0.487532,0.455885,0.544115,0.999809,3.4088,0.000619041,0.000545191,0.000650704,6978.137,0.0,0.1,2.0
0.002015,0.0001,0.524074,0.439172,0.560828,0.999824,5.438,0.00105603,0.000750978,0.000959008,7078.137,0.0,0.1,2.0
0.003743,0.0001,0.648265,0.409019,0.590981,0.999824,7.48433,0.00242651,0.000911203,0.00131657,7178.137,0.0,0.1,2.0
0.002643,0.0001,0.68981,0.260297,0.739703,0.999735,3.08948,0.00182326,0.00028851,0.000819876,7278.137,0.0,0.1,2.0
0.002104,0.0001,0.779526,0.248121,0.751879,0.999719,1.65146,0.00163975,0.000153045,0.000463771,7378.137,0.0,0.1,2.0
0.001203,0.0001,0.836984,0.266776,0.733224,0.999701,0.656,0.00100727,7.13783e-05,0.000196181,7478.137,0.0,0.1,2.0
0.001344,0.0001,0.902302,0.268796,0.731204,0.999713,0.458101,0.00121238,4.8257e-05,0.000131273,7578.137,0.0,0.1,2.0
8.912e-05,0.0001,1.0,1.0,0.0,0.0,0.0,8.91154e-05,8.91154e-05,0.0,6578.137,10.0,0.1,2.0
0.0002976,0.0001,0.999974,0.999974,2.56518e-05,0.999853,5.17939e-05,0.000297543,0.000297543,7.63272e-09,6678.137,10.0,0.1,2.0
0.0004978,0.0001,0.988283,0.988283,0.0117171,0.999872,0.0455636,0.000491971,0.000491971,5.83283e-06,6778.137,10.0,0.1,2.0
