annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
6.385e-07,0.0001,0.501968,0.501968,0.498032,0.999832,0.00189423,3.20503e-07,3.20503e-07,3.1799e-07,6578.137,0.0,0.26,0.5
4.709e-06,0.0001,0.955436,0.852285,0.147715,0.999725,0.000762964,4.49926e-06,1.21084e-06,2.09859e-07,6678.137,0.0,0.26,0.5
1.433e-05,0.0001,0.869189,0.707092,0.292908,0.999519,0.00389438,1.24564e-05,4.52552e-06,1.87466e-06,6778.137,0.0,0.26,0.5
3.256e-05,0.0001,0.78714,0.448033,0.551967,0.999508,0.0140823,2.56325e-05,5.62638e-06,6.93158e-06,6878.137,0.0,0.26,0.5
6.186e-05,0.0001,0.689254,0.167424,0.832576,0.998356,0.0116934,4.26353e-05,3.86536e-06,1.92219e-05,6978.137,0.0,0.26,0.5
0.0001348,0.0001,0.806732,0.0827104,0.91729,0.998382,0.0160977,0.000108726,2.34864e-06,2.60474e-05,7078.137,0.0,0.26,0.5
0.0003228,0.0001,0.876102,0.0444725,0.955527,0.998527,0.0271558,0.000282838,1.86164e-06,3.99988e-05,7178.137,0.0,0.26,0.5
0.0001998,0.0001,0.880669,0.0768196,0.92318,0.999207,0.0300689,0.000175963,1.98403e-06,2.38432e-05,7278.137,0.0,0.26,0.5
0.000128,0.0001,0.920735,0.0645887,0.935411,0.998554,0.00701343,0.00011782,7.0036e-07,1.0143e-05,7378.137,0.0,0.26,0.5
7.585e-05,0.0001,0.941125,0.110369,0.889631,0.999173,0.00539777,7.13871e-05,5.54037e-07,4.46584e-06,7478.137,0.0,0.26,0.5
8.032e-05,0.0001,0.95717,0.0826131,0.917387,0.998981,0.00337697,7.68759e-05,3.09776e-07,3.43994e-06,7578.137,0.0,0.26,0.5
2.617e-05,0.0001,0.826508,0.795763,0.204237,0.99984,0.0284658,2.16306e-05,1.76909e-05,4.54048e-06,6578.137,10.0,0.26,0.5
0.0002761,0.0001,0.969078,0.906942,0.0930583,0.999779,0.0386467,0.000267568,8.3209e-05,8.53779e-06,6678.137,10.0,0.26,0.5
0.0008581,0.0001,0.893939,0.665971,0.334029,0.999516,0.1881,0.00076709,0.000181453,9.1011e-05,6778.137,10.0,0.26,0.5
0.001616,0.0001,0.792167,0.372518,0.627482,0.999495,0.664995,0.00128019,0.000199397,0.00033587,6878.137,10.0,0.26,0.5
0.003353,0.0001,0.689592,0.13093,0.86907,0.998378,0.641798,0.00231218,0.0001568,0.00104079,6978.137,10.0,0.26,0.5
0.005683,0.0001,0.786598,0.0688251,0.931175,0.998325,0.723927,0.00446996,8.96324e-05,0.00121269,7078.137,10.0,0.26,0.5
0.01391,0.0001,0.853294,0.0404452,0.959555,0.998522,1.38075,0.0118698,8.60182e-05,0.00204077,7178.137,10.0,0.26,0.5
0.008378,0.0001,0.892288,0.0729455,0.927054,0.999142,1.0518,0.00747571,7.10079e-05,0.000902429,7278.137,10.0,0.26,0.5
0.005157,0.0001,0.920201,0.0617777,0.938222,0.998532,0.280412,0.00474558,2.70974e-05,0.000411529,7378.137,10.0,0.26,0.5
0.003551,0.0001,0.94621,0.100984,0.899016,0.999191,0.236042,0.00336033,2.14575e-05,0.000191027,7478.137,10.0,0.26,0.5
0.003111,0.0001,0.956995,0.0944606,0.905539,0.999028,0.137694,0.00297748,1.39574e-05,0.000133801,7578.137,10.0,0.26,0.5
3.952e-05,0.0001,0.847396,0.807662,0.192338,0.99984,0.0376233,3.34919e-05,2.53269e-05,6.0314e-06,6578.137,20.0,0.26,0.5
0.000251,0.0001,0.95818,0.891876,0.108124,0.99976,0.0437153,0.000240515,8.65889e-05,1.04973e-05,6678.137,20.0,0.26,0.5
0.0007272,0.0001,0.884391,0.668441,0.331559,0.998844,0.0727038,0.000643155,0.000169498,8.40739e-05,6778.137,20.0,0.26,0.5
