annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
3.553e-06,0.0001,0.934866,0.920437,0.0795632,0.99977,0.00100782,3.32167e-06,2.67732e-06,2.31429e-07,6578.137,0.0,0.26,0.5
9.58e-06,0.0001,0.910839,0.792117,0.207883,0.999799,0.00425325,8.72564e-06,3.25461e-06,8.54142e-07,6678.137,0.0,0.26,0.5
2.828e-05,0.0001,0.846468,0.652279,0.347721,0.999638,0.0119822,2.39363e-05,8.1442e-06,4.34157e-06,6778.137,0.0,0.26,0.5
4.954e-05,0.0001,0.817003,0.37747,0.62253,0.999503,0.0182284,4.04774e-05,5.49739e-06,9.0664e-06,6878.137,0.0,0.26,0.5
0.0001104,0.0001,0.76082,0.13114,0.86886,0.998449,0.0170246,8.39666e-05,3.98416e-06,2.63967e-05,6978.137,0.0,0.26,0.5
0.0001946,0.0001,0.779373,0.0565166,0.943483,0.998399,0.026813,0.000151649,2.57154e-06,4.2929e-05,7078.137,0.0,0.26,0.5
0.0002868,0.0001,0.811442,0.0344298,0.96557,0.998486,0.0357096,0.000232723,1.92831e-06,5.40787e-05,7178.137,0.0,0.26,0.5
0.0002109,0.0001,0.897636,0.0615341,0.938466,0.998932,0.0202197,0.00018929,1.41539e-06,2.15863e-05,7278.137,0.0,0.26,0.5
0.000142,0.0001,0.893961,0.0538295,0.946171,0.998571,0.0105389,0.000126923,8.56525e-07,1.50553e-05,7378.137,0.0,0.26,0.5
9.626e-05,0.0001,0.938442,0.0999477,0.900052,0.998983,0.00582482,9.03371e-05,6.58031e-07,5.92572e-06,7478.137,0.0,0.26,0.5
0.0001093,0.0001,0.959142,0.106297,0.893703,0.998962,0.00430284,0.000104849,5.31227e-07,4.46636e-06,7578.137,0.0,0.26,0.5
0.0002057,0.0001,0.947817,0.937963,0.0620367,0.999755,0.0437898,0.000194959,0.000162286,1.07335e-05,6578.137,10.0,0.26,0.5
0.0006536,0.0001,0.957007,0.898181,0.101819,0.999828,0.163491,0.000625542,0.000247901,2.81023e-05,6678.137,10.0,0.26,0.5
0.001099,0.0001,0.823609,0.586281,0.413719,0.999635,0.530951,0.000905324,0.000274763,0.000193891,6778.137,10.0,0.26,0.5
0.002259,0.0001,0.787562,0.306231,0.693769,0.999506,0.970888,0.0017788,0.000211791,0.000479814,6878.137,10.0,0.26,0.5
0.005255,0.0001,0.759177,0.111629,0.888371,0.998445,0.814058,0.00398948,0.000159021,0.00126553,6978.137,10.0,0.26,0.5
0.008713,0.0001,0.76039,0.0561962,0.943804,0.998331,1.2508,0.0066255,0.000124312,0.00208779,7078.137,10.0,0.26,0.5
0.01198,0.0001,0.791512,0.0380258,0.961974,0.998464,1.62534,0.00948038,9.87106e-05,0.00249717,7178.137,10.0,0.26,0.5
0.009041,0.0001,0.893794,0.0590007,0.940999,0.998899,0.872509,0.0080811,6.02072e-05,0.000960241,7278.137,10.0,0.26,0.5
0.006014,0.0001,0.892505,0.0576528,0.942347,0.998654,0.480339,0.00536732,3.955e-05,0.000646453,7378.137,10.0,0.26,0.5
0.003814,0.0001,0.94028,0.0913179,0.908682,0.999021,0.232663,0.0035861,2.28893e-05,0.000227766,7478.137,10.0,0.26,0.5
0.004094,0.0001,0.955422,0.0940605,0.905939,0.999103,0.203356,0.00391158,1.89489e-05,0.000182505,7578.137,10.0,0.26,0.5
0.0002168,0.0001,0.952435,0.942411,0.0575889,0.999739,0.0394988,0.000206503,0.000168765,1.03129e-05,6578.137,20.0,0.26,0.5
0.0006605,0.0001,0.955876,0.898422,0.101578,0.999829,0.170596,0.000631311,0.000257752,2.9142e-05,6678.137,20.0,0.26,0.5
0.0009757,0.0001,0.79339,0.507446,0.492554,0.999339,0.304818,0.00077411,0.000207684,0.000201589,6778.137,20.0,0.26,0.5
0.00248,0.0001,0.77979,0.231045,0.768955,0.998802,0.456018,0.00193375,0.000164079,0.000546083,6878.137,20.0,0.26,0.5
0.004917,0.0001,0.746133,0.109269,0.890731,0.998001,0.624509,0.00366879,0.000153131,0.00124828,6978.137,20.0,0.26,0.5
0.008987,0.0001,0.766874,0.0502096,0.94979,0.997812,0.957337,0.0068919,0.000110755,0.00209511,7078.137,20.0,0.26,0.5
0.01326,0.0001,0.812171,0.0336116,0.966388,0.998022,1.25927,0.0107682,8.66156e-05,0.00249034,7178.137,20.0,0.26,0.5
0.01001,0.0001,0.892023,0.0556484,0.944352,0.998931,1.01102,0.00893085,6.37041e-05,0.00108106,7278.137,20.0,0.26,0.5
0.005582,0.0001,0.896517,0.0543358,0.945664,0.998548,0.397734,0.00500474,3.31927e-05,0.000577688,7378.137,20.0,0.26,0.5
0.004084,0.0001,0.936818,0.0841958,0.915804,0.999004,0.259105,0.00382614,2.37241e-05,0.000258049,7478.137,20.0,0.26,0.5
0.003531,0.0001,0.945085,0.084376,0.915624,0.999063,0.206886,0.00333677,1.78669e-05,0.000193887,7578.137,20.0,0.26,0.5
0.0001775,0.0001,0.950202,0.938797,0.0612028,0.999713,0.0307928,0.000168656,0.000135582,8.83897e-06,6578.137,30.0,0.26,0.5
0.0005817,0.0001,0.952749,0.895335,0.104665,0.999828,0.159519,0.000554175,0.000235105,2.7484e-05,6678.137,30.0,0.26,0.5
0.000951,0.0001,0.788376,0.507775,0.492225,0.99932,0.295767,0.000749716,0.000207603,0.000201246,6778.137,30.0,0.26,0.5
0.002421,0.0001,0.786771,0.244636,0.755364,0.998798,0.429367,0.00190482,0.000167192,0.000516239,6878.137,30.0,0.26,0.5
0.004763,0.0001,0.740165,0.0998737,0.900126,0.99798,0.612562,0.00352516,0.000137308,0.00123751,6978.137,30.0,0.26,0.5
0.008741,0.0001,0.769642,0.0485406,0.951459,0.99777,0.902953,0.0067272,0.000102722,0.00201348,7078.137,30.0,0.26,0.5
0.01268,0.0001,0.811229,0.0319789,0.968021,0.997963,1.17503,0.0102862,7.90726e-05,0.00239358,7178.137,30.0,0.26,0.5
0.009761,0.0001,0.881072,0.0558664,0.944134,0.998939,1.09417,0.0086,6.86892e-05,0.00116084,7278.137,30.0,0.26,0.5
