annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
6.385e-07,0.0001,0.992842,0.977217,0.0227826,0.999879,3.78001e-05,6.33923e-07,1.96049e-07,4.57065e-09,6578.137,0.0,0.32,1.0
4.709e-06,0.0001,0.9793,0.812826,0.187174,0.999813,0.000520774,4.61164e-06,4.23315e-07,9.74794e-08,6678.137,0.0,0.32,1.0
1.433e-05,0.0001,0.907379,0.509404,0.490596,0.999761,0.00554263,1.30037e-05,1.37824e-06,1.32735e-06,6778.137,0.0,0.32,1.0
3.256e-05,0.0001,0.844296,0.448569,0.551431,0.999775,0.0225527,2.74937e-05,4.12455e-06,5.07036e-06,6878.137,0.0,0.32,1.0
6.186e-05,0.0001,0.850544,0.170107,0.829893,0.999341,0.0140266,5.26123e-05,1.89498e-06,9.24495e-06,6978.137,0.0,0.32,1.0
0.0001348,0.0001,0.877021,0.101685,0.898315,0.999343,0.0252371,0.000118199,1.87613e-06,1.65743e-05,7078.137,0.0,0.32,1.0
0.0003228,0.0001,0.906981,0.0752416,0.924758,0.999362,0.0470803,0.000292807,2.44334e-06,3.00299e-05,7178.137,0.0,0.32,1.0
0.0001998,0.0001,0.905365,0.0825328,0.917467,0.999343,0.0287731,0.000180898,1.70096e-06,1.89086e-05,7278.137,0.0,0.32,1.0
0.000128,0.0001,0.930778,0.0720113,0.927989,0.998896,0.00802126,0.000119106,6.87366e-07,8.85789e-06,7378.137,0.0,0.32,1.0
7.585e-05,0.0001,0.947133,0.100039,0.899961,0.999318,0.00587785,7.18428e-05,4.45763e-07,4.01014e-06,7478.137,0.0,0.32,1.0
8.032e-05,0.0001,0.962035,0.0894905,0.910509,0.999143,0.00355768,7.72666e-05,2.99692e-07,3.04917e-06,7578.137,0.0,0.32,1.0
2.617e-05,0.0001,0.988367,0.97323,0.0267701,0.999864,0.00224507,2.58666e-05,1.10685e-05,3.04453e-07,6578.137,10.0,0.32,1.0
0.0002761,0.0001,0.989725,0.932016,0.0679838,0.999845,0.018277,0.000273269,3.8895e-05,2.83711e-06,6678.137,10.0,0.32,1.0
0.0008581,0.0001,0.923854,0.534807,0.465193,0.999762,0.274719,0.00079276,7.51193e-05,6.53414e-05,6778.137,10.0,0.32,1.0
0.001616,0.0001,0.862627,0.40207,0.59793,0.999767,0.954455,0.00139405,0.000149283,0.000222003,6878.137,10.0,0.32,1.0
0.003353,0.0001,0.860357,0.166484,0.833516,0.999317,0.685881,0.00288475,9.35209e-05,0.00046822,6978.137,10.0,0.32,1.0
0.005683,0.0001,0.872159,0.0949163,0.905084,0.999329,1.08196,0.00495617,7.61858e-05,0.000726478,7078.137,10.0,0.32,1.0
0.01391,0.0001,0.895753,0.0722941,0.927706,0.999357,2.25539,0.0124604,0.000113006,0.00145013,7178.137,10.0,0.32,1.0
0.008378,0.0001,0.913844,0.07903,0.92097,0.999298,1.0285,0.00765631,6.19411e-05,0.000721826,7278.137,10.0,0.32,1.0
0.005157,0.0001,0.930118,0.0637674,0.936233,0.998898,0.326942,0.00479672,2.45463e-05,0.00036039,7378.137,10.0,0.32,1.0
0.003551,0.0001,0.954239,0.101637,0.898363,0.999329,0.242062,0.00338884,1.83861e-05,0.000162513,7478.137,10.0,0.32,1.0
0.003111,0.0001,0.962139,0.0920635,0.907937,0.999173,0.142358,0.00299349,1.19442e-05,0.000117795,7578.137,10.0,0.32,1.0
3.952e-05,0.0001,0.987266,0.965164,0.034836,0.999861,0.00362581,3.902e-05,1.39445e-05,5.03305e-07,6578.137,20.0,0.32,1.0
0.000251,0.0001,0.98359,0.913829,0.0861707,0.999838,0.0254403,0.000246893,4.36824e-05,4.11908e-06,6678.137,20.0,0.32,1.0
0.0007272,0.0001,0.900362,0.416498,0.583502,0.99944,0.129496,0.00065477,5.1721e-05,7.24596e-05,6778.137,20.0,0.32,1.0
0.001781,0.0001,0.837205,0.241279,0.758721,0.999401,0.484234,0.00149148,9.22281e-05,0.000290019,6878.137,20.0,0.32,1.0
0.003358,0.0001,0.86574,0.146429,0.853571,0.999136,0.521824,0.00290684,7.73337e-05,0.000450798,6978.137,20.0,0.32,1.0
0.006947,0.0001,0.876187,0.0809091,0.919091,0.999102,0.957995,0.00608689,7.57188e-05,0.000860132,7078.137,20.0,0.32,1.0
0.01324,0.0001,0.887309,0.0571012,0.942899,0.999154,1.76313,0.0117495,9.03684e-05,0.00149223,7178.137,20.0,0.32,1.0
0.009392,0.0001,0.91455,0.0733044,0.926696,0.999279,1.11358,0.00858951,6.34841e-05,0.00080255,7278.137,20.0,0.32,1.0
0.005421,0.0001,0.924774,0.0587349,0.941265,0.998889,0.367052,0.00501314,2.54465e-05,0.000407797,7378.137,20.0,0.32,1.0
0.0034,0.0001,0.950567,0.10021,0.89979,0.999303,0.241104,0.00323221,1.872e-05,0.000168088,7478.137,20.0,0.32,1.0
0.003683,0.0001,0.964477,0.0879342,0.912066,0.999148,0.153634,0.00355223,1.26139e-05,0.000130833,7578.137,20.0,0.32,1.0
3.28e-05,0.0001,0.984906,0.966294,0.0337058,0.999865,0.0036798,3.23005e-05,1.41911e-05,4.95009e-07,6578.137,30.0,0.32,1.0
0.0002349,0.0001,0.981922,0.892249,0.107751,0.999837,0.0261117,0.000230621,3.51594e-05,4.24599e-06,6678.137,30.0,0.32,1.0
0.0008193,0.0001,0.906405,0.410624,0.589376,0.999417,0.131443,0.000742654,5.34277e-05,7.66859e-05,6778.137,30.0,0.32,1.0
0.001649,0.0001,0.837387,0.246535,0.753465,0.999375,0.428847,0.00138085,8.77386e-05,0.000268149,6878.137,30.0,0.32,1.0
0.003714,0.0001,0.870011,0.136901,0.863099,0.999124,0.551205,0.00323113,7.65739e-05,0.000482765,6978.137,30.0,0.32,1.0
0.007198,0.0001,0.878874,0.0806572,0.919343,0.999088,0.956238,0.00632641,7.64952e-05,0.000871904,7078.137,30.0,0.32,1.0
0.01269,0.0001,0.889953,0.0536362,0.946364,0.999135,1.6147,0.0112948,7.91568e-05,0.00139665,7178.137,30.0,0.32,1.0
0.008296,0.0001,0.907237,0.069949,0.930051,0.999274,1.05992,0.00752601,5.78752e-05,0.000769516,7278.137,30.0,0.32,1.0
0.005882,0.0001,0.931557,0.0610333,0.938967,0.998896,0.364638,0.005479,2.61659e-05,0.00040255,7378.137,30.0,0.32,1.0
