annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
3.553e-06,0.0001,0.971841,0.893279,0.106721,0.999824,0.000568707,3.45305e-06,8.37469e-07,1.00054e-07,6578.137,0.0,0.32,1.0
9.58e-06,0.0001,0.990413,0.958159,0.0418407,0.999841,0.000578773,9.48794e-06,2.10313e-06,9.1839e-08,6678.137,0.0,0.32,1.0
2.828e-05,0.0001,0.946335,0.617816,0.382184,0.999798,0.00751505,2.67603e-05,2.45317e-06,1.51754e-06,6778.137,0.0,0.32,1.0
4.954e-05,0.0001,0.89802,0.403777,0.596223,0.999764,0.0214374,4.44913e-05,3.42167e-06,5.05249e-06,6878.137,0.0,0.32,1.0
0.0001104,0.0001,0.863249,0.11748,0.88252,0.99935,0.0232353,9.5271e-05,2.00906e-06,1.50923e-05,6978.137,0.0,0.32,1.0
0.0001946,0.0001,0.875906,0.0879491,0.912051,0.999343,0.0367326,0.000170432,2.32839e-06,2.41459e-05,7078.137,0.0,0.32,1.0
0.0002868,0.0001,0.866439,0.0689075,0.931092,0.999369,0.0606819,0.000248497,2.83489e-06,3.83056e-05,7178.137,0.0,0.32,1.0
0.0002109,0.0001,0.921292,0.0737048,0.926295,0.999267,0.0226546,0.000194279,1.32066e-06,1.65976e-05,7278.137,0.0,0.32,1.0
0.000142,0.0001,0.913566,0.0641563,0.935844,0.998951,0.0116932,0.000129707,8.41283e-07,1.22717e-05,7378.137,0.0,0.32,1.0
9.626e-05,0.0001,0.947969,0.111366,0.888634,0.99925,0.00667531,9.12542e-05,6.277e-07,5.00867e-06,7478.137,0.0,0.32,1.0
0.0001093,0.0001,0.964399,0.11065,0.88935,0.999233,0.00507611,0.000105423,4.84194e-07,3.89172e-06,7578.137,0.0,0.32,1.0
0.0002057,0.0001,0.977212,0.919401,0.0805993,0.999826,0.0269029,0.000201005,5.34696e-05,4.68741e-06,6578.137,10.0,0.32,1.0
0.0006536,0.0001,0.992147,0.959693,0.0403074,0.999843,0.0327147,0.000648512,0.000122208,5.13278e-06,6678.137,10.0,0.32,1.0
0.001099,0.0001,0.933439,0.611874,0.388126,0.999793,0.354283,0.00102605,0.000115343,7.31649e-05,6778.137,10.0,0.32,1.0
0.002259,0.0001,0.886016,0.396705,0.603295,0.99977,1.11822,0.00200117,0.000169286,0.000257445,6878.137,10.0,0.32,1.0
0.005255,0.0001,0.854223,0.120961,0.879039,0.99936,1.19659,0.00448894,0.000105414,0.00076606,6978.137,10.0,0.32,1.0
0.008713,0.0001,0.864997,0.0848108,0.915189,0.999333,1.76355,0.00753697,0.00010901,0.00117632,7078.137,10.0,0.32,1.0
0.01198,0.0001,0.850878,0.0700659,0.929934,0.999366,2.81894,0.0101914,0.000134575,0.00178611,7178.137,10.0,0.32,1.0
