annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
3.553e-06,0.0001,0.991479,0.991479,0.00852061,0.999883,0.000258738,3.52283e-06,3.52283e-06,3.02746e-08,6578.137,0.0,0.1,1.5
9.58e-06,0.0001,0.997502,0.997502,0.00249842,0.999874,0.000190315,9.55584e-06,9.55584e-06,2.39343e-08,6678.137,0.0,0.1,1.5
2.828e-05,0.0001,0.941169,0.941169,0.0588312,0.999865,0.0122951,2.66142e-05,2.66142e-05,1.66362e-06,6778.137,0.0,0.1,1.5
4.954e-05,0.0001,0.774532,0.774532,0.225468,0.999865,0.0824554,3.83733e-05,3.83733e-05,1.11706e-05,6878.137,0.0,0.1,1.5
0.0001104,0.0001,0.319917,0.250826,0.749174,0.999661,0.221495,3.5307e-05,2.51291e-05,7.50563e-05,6978.137,0.0,0.1,1.5
0.0001946,0.0001,0.336776,0.202488,0.797512,0.999663,0.383414,6.55291e-05,3.27652e-05,0.000129048,7078.137,0.0,0.1,1.5
0.0002868,0.0001,0.522205,0.155704,0.844296,0.999659,0.401839,0.00014977,2.52715e-05,0.000137033,7178.137,0.0,0.1,1.5
0.0002109,0.0001,0.57278,0.121228,0.878772,0.999518,0.186923,0.000120786,1.24282e-05,9.00906e-05,7278.137,0.0,0.1,1.5
0.000142,0.0001,0.70606,0.12073,0.87927,0.999491,0.082059,0.000100245,5.73025e-06,4.17331e-05,7378.137,0.0,0.1,1.5
9.626e-05,0.0001,0.794054,0.179626,0.820374,0.999536,0.0427009,7.64379e-05,4.3408e-06,1.9825e-05,7478.137,0.0,0.1,1.5
0.0001093,0.0001,0.904979,0.186028,0.813972,0.999519,0.0215908,9.89277e-05,2.37393e-06,1.03872e-05,7578.137,0.0,0.1,1.5
0.0002057,0.0001,0.993544,0.993544,0.00645637,0.999884,0.0114181,0.000204364,0.000204364,1.32803e-06,6578.137,10.0,0.1,1.5
0.0006536,0.0001,0.998043,0.998043,0.00195653,0.999873,0.0100586,0.000652366,0.000652366,1.27888e-06,6678.137,10.0,0.1,1.5
0.001099,0.0001,0.92126,0.92126,0.0787398,0.999863,0.633398,0.00101266,0.00101266,8.6552e-05,6778.137,10.0,0.1,1.5
0.002259,0.0001,0.747676,0.747676,0.252324,0.999865,4.21441,0.00168871,0.00168871,0.000569902,6878.137,10.0,0.1,1.5
0.005255,0.0001,0.329789,0.262375,0.737625,0.999654,10.1897,0.00173304,0.00125277,0.00352196,6978.137,10.0,0.1,1.5
0.008713,0.0001,0.31641,0.191317,0.808683,0.999667,17.8888,0.00275697,0.00140913,0.00595632,7078.137,10.0,0.1,1.5
0.01198,0.0001,0.457035,0.161451,0.838549,0.999657,18.9792,0.00547416,0.00125213,0.00650339,7178.137,10.0,0.1,1.5
0.009041,0.0001,0.607062,0.123185,0.876815,0.999507,7.20107,0.00548865,0.00049912,0.00355269,7278.137,10.0,0.1,1.5
0.006014,0.0001,0.701514,0.120743,0.879257,0.99949,3.52147,0.00421874,0.000246501,0.00179503,7378.137,10.0,0.1,1.5
0.003814,0.0001,0.806039,0.14703,0.85297,0.999518,1.53594,0.00307413,0.000127513,0.000739742,7478.137,10.0,0.1,1.5
0.004094,0.0001,0.870146,0.159605,0.840395,0.999528,1.12733,0.00356245,0.000100966,0.000531631,7578.137,10.0,0.1,1.5
0.0002168,0.0001,0.993525,0.993525,0.00647466,0.999883,0.0119867,0.000215412,0.000215412,1.40381e-06,6578.137,20.0,0.1,1.5
0.0006605,0.0001,0.998,0.998,0.00199971,0.999872,0.0103257,0.000659132,0.000659132,1.32071e-06,6678.137,20.0,0.1,1.5
0.0009757,0.0001,0.795461,0.795461,0.204539,0.999758,0.82318,0.000776131,0.000776131,0.000199569,6778.137,20.0,0.1,1.5
0.00248,0.0001,0.370753,0.370753,0.629247,0.999648,4.43508,0.000919404,0.000919404,0.00156043,6878.137,20.0,0.1,1.5
0.004917,0.0001,0.296311,0.229816,0.770184,0.999565,7.95262,0.00145698,0.00103246,0.00346009,6978.137,20.0,0.1,1.5
0.008987,0.0001,0.285326,0.15343,0.84657,0.999577,15.1823,0.00256423,0.00116404,0.00642278,7078.137,20.0,0.1,1.5
0.01326,0.0001,0.446522,0.120175,0.879825,0.999556,16.5439,0.00592023,0.00100234,0.00733831,7178.137,20.0,0.1,1.5
0.01001,0.0001,0.635161,0.118151,0.881849,0.999499,7.29792,0.00635917,0.000489397,0.00365274,7278.137,20.0,0.1,1.5
0.005582,0.0001,0.676227,0.119788,0.880212,0.999484,3.50258,0.00377498,0.000245974,0.00180744,7378.137,20.0,0.1,1.5
0.004084,0.0001,0.803653,0.144844,0.855156,0.999512,1.64366,0.00328226,0.000135827,0.000801919,7478.137,20.0,0.1,1.5
0.003531,0.0001,0.845498,0.146146,0.853854,0.999526,1.15006,0.00298516,9.33674e-05,0.000545494,7578.137,20.0,0.1,1.5
0.0001775,0.0001,0.992255,0.992255,0.00774527,0.999881,0.0116008,0.00017612,0.00017612,1.37475e-06,6578.137,30.0,0.1,1.5
0.0005817,0.0001,0.997833,0.997833,0.00216677,0.99987,0.00969558,0.000580399,0.000580399,1.26032e-06,6678.137,30.0,0.1,1.5
0.000951,0.0001,0.781708,0.781708,0.218292,0.999744,0.811234,0.000743375,0.000743375,0.000207587,6778.137,30.0,0.1,1.5
0.002421,0.0001,0.362145,0.362145,0.637855,0.999647,4.37147,0.000876774,0.000876774,0.00154428,6878.137,30.0,0.1,1.5
0.004763,0.0001,0.298723,0.230083,0.769917,0.999574,7.84878,0.00142272,0.000998116,0.00333995,6978.137,30.0,0.1,1.5
0.008741,0.0001,0.272057,0.140763,0.859237,0.999562,14.5422,0.00237796,0.00104237,0.00636272,7078.137,30.0,0.1,1.5
0.01268,0.0001,0.442176,0.115604,0.884396,0.999546,15.5833,0.0056067,0.000924555,0.00707308,7178.137,30.0,0.1,1.5
0.009761,0.0001,0.623308,0.115403,0.884597,0.999489,7.19069,0.00608401,0.00047967,0.00367683,7278.137,30.0,0.1,1.5
0.006336,0.0001,0.708355,0.118224,0.881776,0.999478,3.53989,0.00448788,0.000247738,0.00184776,7378.137,30.0,0.1,1.5
0.004269,0.0001,0.807023,0.151432,0.848568,0.999505,1.66285,0.00344527,0.000147019,0.00082384,7478.137,30.0,0.1,1.5
0.003766,0.0001,0.858671,0.153934,0.846066,0.999518,1.10345,0.00323373,9.68364e-05,0.000532241,7578.137,30.0,0.1,1.5
0.0002005,0.0001,0.999947,0.999947,5.28873e-05,0.998716,8.25582e-06,0.000200476,0.000200476,1.06032e-08,6578.137,40.0,0.1,1.5
0.0006366,0.0001,0.999483,0.999483,0.000516828,0.999712,0.0011426,0.000636254,0.000636254,3.29004e-07,6678.137,40.0,0.1,1.5
0.0009603,0.0001,0.761186,0.761186,0.238814,0.999759,0.95116,0.00073099,0.00073099,0.000229341,6778.137,40.0,0.1,1.5
0.002584,0.0001,0.414068,0.414068,0.585932,0.99972,5.41166,0.0010701,0.0010701,0.00151426,6878.137,40.0,0.1,1.5
0.00487,0.0001,0.276144,0.210471,0.789529,0.999523,7.3886,0.00134491,0.000939794,0.0035254,6978.137,40.0,0.1,1.5
0.009183,0.0001,0.25899,0.134736,0.865264,0.99952,14.1848,0.00237832,0.00105961,0.00680473,7078.137,40.0,0.1,1.5
0.01417,0.0001,0.448235,0.110491,0.889509,0.999506,15.8406,0.00635298,0.000971404,0.00782033,7178.137,40.0,0.1,1.5
0.0102,0.0001,0.630476,0.121133,0.878867,0.999478,7.22144,0.00643018,0.00051944,0.00376875,7278.137,40.0,0.1,1.5
0.006286,0.0001,0.700699,0.116871,0.883129,0.999463,3.50493,0.00440462,0.000248983,0.00188142,7378.137,40.0,0.1,1.5
0.005011,0.0001,0.822419,0.142169,0.857831,0.999497,1.76751,0.0041209,0.000147468,0.000889804,7478.137,40.0,0.1,1.5
0.004089,0.0001,0.850153,0.147751,0.852249,0.999509,1.24742,0.00347624,0.000106224,0.000612718,7578.137,40.0,0.1,1.5
0.0001853,0.0001,0.998267,0.998267,0.00173294,0.999045,0.000336376,0.000184983,0.000184983,3.21122e-07,6578.137,50.0,0.1,1.5
0.0006335,0.0001,0.964074,0.964074,0.0359259,0.99952,0.0474162,0.000610721,0.000610721,2.27583e-05,6678.137,50.0,0.1,1.5
0.001007,0.0001,0.732086,0.732086,0.267914,0.99971,0.929014,0.000737406,0.000737406,0.000269861,6778.137,50.0,0.1,1.5
0.003065,0.0001,0.364624,0.364624,0.635376,0.999597,4.83537,0.00111772,0.00111772,0.00194768,6878.137,50.0,0.1,1.5
0.005449,0.0001,0.265275,0.203573,0.796427,0.999467,7.51,0.00144538,0.00102325,0.00400322,6978.137,50.0,0.1,1.5
0.01057,0.0001,0.273705,0.123559,0.876441,0.999459,14.1996,0.00289247,0.00108207,0.00767538,7078.137,50.0,0.1,1.5
0.01561,0.0001,0.458869,0.0972124,0.902788,0.999428,14.7716,0.00716133,0.000909377,0.00844516,7178.137,50.0,0.1,1.5
0.01171,0.0001,0.615351,0.113885,0.886115,0.99944,8.04527,0.00720638,0.000578943,0.00450464,7278.137,50.0,0.1,1.5
0.007443,0.0001,0.707498,0.110965,0.889035,0.999422,3.76938,0.00526611,0.000271746,0.00217718,7378.137,50.0,0.1,1.5
0.004995,0.0001,0.811132,0.134108,0.865892,0.999443,1.6948,0.00405199,0.000146125,0.000943485,7478.137,50.0,0.1,1.5
0.004161,0.0001,0.851861,0.139373,0.860627,0.999469,1.16002,0.00354443,9.98186e-05,0.000616379,7578.137,50.0,0.1,1.5
0.0001903,0.0001,0.993331,0.993331,0.00666872,0.999085,0.00138652,0.000188994,0.000188994,1.26881e-06,6578.137,60.0,0.1,1.5
0.0006282,0.0001,0.949101,0.949101,0.0508985,0.999521,0.066686,0.000596219,0.000596219,3.19741e-05,6678.137,60.0,0.1,1.5
0.001041,0.0001,0.716789,0.716789,0.283211,0.999668,0.888283,0.000745966,0.000745966,0.000294739,6778.137,60.0,0.1,1.5
0.003196,0.0001,0.341248,0.341248,0.658752,0.999532,4.49669,0.0010907,0.0010907,0.00210552,6878.137,60.0,0.1,1.5
0.005686,0.0001,0.249551,0.192131,0.807869,0.999392,7.0204,0.00141897,0.00101483,0.00426714,6978.137,60.0,0.1,1.5
0.0107,0.0001,0.257501,0.111672,0.888328,0.99937,12.6201,0.00275593,0.000998974,0.00794666,7078.137,60.0,0.1,1.5
0.01719,0.0001,0.479337,0.0905481,0.909452,0.999375,14.3126,0.00824096,0.000891237,0.00895146,7178.137,60.0,0.1,1.5
0.01193,0.0001,0.593277,0.104512,0.895488,0.999385,7.88474,0.00707619,0.000566172,0.00485111,7278.137,60.0,0.1,1.5
0.007595,0.0001,0.717926,0.107911,0.892089,0.999339,3.23972,0.00545297,0.000259164,0.00214247,7378.137,60.0,0.1,1.5
0.005219,0.0001,0.809451,0.122216,0.877784,0.999377,1.59694,0.00422485,0.000138474,0.000994551,7478.137,60.0,0.1,1.5
0.004529,0.0001,0.852101,0.125673,0.874327,0.999397,1.11067,0.00385935,9.62839e-05,0.000669864,7578.137,60.0,0.1,1.5
0.0001999,0.0001,0.968408,0.968408,0.0315921,0.9997,0.0210752,0.000193575,0.000193575,6.31494e-06,6578.137,70.0,0.1,1.5
0.0006596,0.0001,0.935617,0.935617,0.0643826,0.999324,0.0628307,0.000617149,0.000617149,4.24678e-05,6678.137,70.0,0.1,1.5
