annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,radar_wavelength,d_ref,scaling_factor
0.0002358,0.0001,0.911883,0.911883,0.088117,0.999554,0.046631,0.000215028,0.000215028,2.07786e-05,6578.137,0.075,0.26,0.5
0.0008196,0.0001,0.786745,0.786745,0.213255,0.99957,0.406111,0.00064478,0.00064478,0.000174773,6678.137,0.075,0.26,0.5
0.001468,0.0001,0.523391,0.461479,0.538521,0.998879,0.624273,0.000768433,0.000599642,0.00069975,6778.137,0.075,0.26,0.5
0.004147,0.0001,0.546033,0.184541,0.815459,0.998035,0.95794,0.00226432,0.000426025,0.00188254,6878.137,0.075,0.26,0.5
0.008027,0.0001,0.678745,0.0768715,0.923128,0.996554,0.748337,0.00544826,0.000214736,0.0025787,6978.137,0.075,0.26,0.5
0.0153,0.0001,0.750432,0.0330865,0.966913,0.995873,0.925361,0.0114847,0.000130696,0.00381942,7078.137,0.075,0.26,0.5
0.0002358,0.0001,0.911883,0.911883,0.088117,0.999554,0.046631,0.000215028,0.000215028,2.07786e-05,6578.137,0.1,0.26,0.5
0.0008196,0.0001,0.83448,0.793218,0.206782,0.999601,0.340357,0.000683901,0.000520365,0.000135652,6678.137,0.1,0.26,0.5
0.001468,0.0001,0.59487,0.415407,0.584593,0.998846,0.51528,0.000873378,0.000422663,0.000594805,6778.137,0.1,0.26,0.5
0.004147,0.0001,0.598688,0.173015,0.826985,0.997947,0.810591,0.00248268,0.000348166,0.00166418,6878.137,0.1,0.26,0.5
0.008027,0.0001,0.678745,0.0768715,0.923128,0.996554,0.748337,0.00544826,0.000214736,0.0025787,6978.137,0.1,0.26,0.5
0.0153,0.0001,0.750432,0.0330865,0.966913,0.995873,0.925361,0.0114847,0.000130696,0.00381942,7078.137,0.1,0.26,0.5
0.0002358,0.0001,0.911883,0.911883,0.088117,0.999554,0.046631,0.000215028,0.000215028,2.07786e-05,6578.137,0.125,0.26,0.5
0.0008196,0.0001,0.89332,0.804546,0.195454,0.999663,0.259125,0.000732123,0.000359887,8.74296e-05,6678.137,0.125,0.26,0.5
0.001468,0.0001,0.650333,0.383511,0.616489,0.998854,0.447891,0.000954808,0.000319365,0.000513375,6778.137,0.125,0.26,0.5
0.004147,0.0001,0.6717,0.168474,0.831526,0.997953,0.665111,0.00278545,0.000275834,0.00136141,6878.137,0.125,0.26,0.5
0.008027,0.0001,0.678745,0.0768715,0.923128,0.996554,0.748337,0.00544826,0.000214736,0.0025787,6978.137,0.125,0.26,0.5
0.0153,0.0001,0.750432,0.0330865,0.966913,0.995873,0.925361,0.0114847,0.000130696,0.00381942,7078.137,0.125,0.26,0.5
0.0002358,0.0001,0.917706,0.899054,0.100946,0.999501,0.0389047,0.000216401,0.000172829,1.94054e-05,6578.137,0.15,0.26,0.5
0.0008196,0.0001,0.902676,0.792572,0.207428,0.999675,0.24546,0.000739791,0.000304767,7.97622e-05,6678.137,0.15,0.26,0.5
0.001468,0.0001,0.688362,0.359991,0.640009,0.998842,0.395256,0.00101064,0.000257357,0.000457541,6778.137,0.15,0.26,0.5
0.004147,0.0001,0.725563,0.163153,0.836847,0.997963,0.558602,0.00300881,0.000221877,0.00113805,6878.137,0.15,0.26,0.5
0.008027,0.0001,0.708842,0.0715341,0.928466,0.996486,0.665011,0.00568984,0.000180064,0.00233712,6978.137,0.15,0.26,0.5
0.0153,0.0001,0.750432,0.0330865,0.966913,0.995873,0.925361,0.0114847,0.000130696,0.00381942,7078.137,0.15,0.26,0.5
