annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
9.46e-05,0.0001,0.997698,0.996868,0.00313247,0.999654,0.000630138,9.43819e-05,6.93108e-05,2.17796e-07,6578.137,0.26,1.0,0.01,0.02
0.0003318,0.0001,0.993022,0.971597,0.0284031,0.999537,0.00500445,0.000329533,7.92141e-05,2.3157e-06,6678.137,0.26,1.0,0.01,0.02
0.0005045,0.0001,0.995935,0.577266,0.422734,0.999493,0.00404337,0.000502445,2.80029e-06,2.05066e-06,6778.137,0.26,1.0,0.01,0.02
0.001586,0.0001,1.0,,,0.0,0.0,0.00158562,0.0,0.0,6878.137,0.26,1.0,0.01,0.02
0.002937,0.0001,1.0,,,0.0,0.0,0.00293744,0.0,0.0,6978.137,0.26,1.0,0.01,0.02
0.005535,0.0001,1.0,,,0.0,0.0,0.00553491,0.0,0.0,7078.137,0.26,1.0,0.01,0.02
0.007663,0.0001,1.0,,,0.0,0.0,0.00766329,0.0,0.0,7178.137,0.26,1.0,0.01,0.02
0.005989,0.0001,1.0,,,0.0,0.0,0.00598903,0.0,0.0,7278.137,0.26,1.0,0.01,0.02
0.003933,0.0001,1.0,,,0.0,0.0,0.00393258,0.0,0.0,7378.137,0.26,1.0,0.01,0.02
0.003055,0.0001,1.0,,,0.0,0.0,0.00305522,0.0,0.0,7478.137,0.26,1.0,0.01,0.02
0.003558,0.0001,1.0,,,0.0,0.0,0.00355784,0.0,0.0,7578.137,0.26,1.0,0.01,0.02
0.002154,0.0001,1.0,,,0.0,0.0,0.00215447,0.0,0.0,7678.137,0.26,1.0,0.01,0.02
0.002965,0.0001,1.0,,,0.0,0.0,0.00296545,0.0,0.0,7778.137,0.26,1.0,0.01,0.02
1.89e-05,0.0001,0.981277,0.981277,0.0187229,0.999554,0.000793779,1.85437e-05,1.85437e-05,3.53816e-07,6578.137,0.26,1.0,0.02,0.03
4.743e-05,0.0001,0.957254,0.957254,0.0427461,0.999457,0.00373062,4.53988e-05,4.53988e-05,2.02728e-06,6678.137,0.26,1.0,0.02,0.03
0.0001921,0.0001,0.470656,0.470656,0.529344,0.999588,0.246648,9.04019e-05,9.04019e-05,0.000101674,6778.137,0.26,1.0,0.02,0.03
0.0002453,0.0001,0.388151,0.339793,0.660207,0.99929,0.211467,9.52143e-05,7.72468e-05,0.000150088,6878.137,0.26,1.0,0.02,0.03
0.0006156,0.0001,0.44919,0.145652,0.854348,0.999035,0.351426,0.0002765,5.78027e-05,0.000339052,6978.137,0.26,1.0,0.02,0.03
