annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
0.0001239,0.0001,0.991286,0.989075,0.0109248,0.999569,0.00250384,0.000122816,9.77453e-05,1.07965e-06,6578.137,0.26,1.0,0.01,0.1
0.000416,0.0001,0.978061,0.944908,0.0550919,0.999468,0.0171426,0.00040684,0.000156521,9.12577e-06,6678.137,0.26,1.0,0.01,0.1
0.0007701,0.0001,0.788072,0.515306,0.484694,0.999542,0.356454,0.000606912,0.000173519,0.00016321,6778.137,0.26,1.0,0.01,0.1
0.002097,0.0001,0.8354,0.300335,0.699665,0.999335,0.519285,0.00175174,0.000148156,0.000345148,6878.137,0.26,1.0,0.01,0.1
0.004104,0.0001,0.80006,0.134619,0.865381,0.999072,0.884155,0.00328379,0.00012766,0.00082064,6978.137,0.26,1.0,0.01,0.1
0.008126,0.0001,0.821717,0.0693602,0.93064,0.998953,1.38377,0.00667694,0.000107968,0.00144866,7078.137,0.26,1.0,0.01,0.1
0.01236,0.0001,0.87535,0.059667,0.940333,0.999076,1.66877,0.0108235,9.77981e-05,0.00154127,7178.137,0.26,1.0,0.01,0.1
0.009349,0.0001,0.934754,0.0795834,0.920417,0.999246,0.809474,0.00873864,5.27401e-05,0.000609961,7278.137,0.26,1.0,0.01,0.1
0.005714,0.0001,0.966372,0.0984991,0.901501,0.999192,0.237722,0.00552151,2.09934e-05,0.000192139,7378.137,0.26,1.0,0.01,0.1
0.004316,0.0001,0.987824,0.139979,0.860021,0.999195,0.0653203,0.00426385,8.55433e-06,5.25574e-05,7478.137,0.26,1.0,0.01,0.1
0.004886,0.0001,0.995254,0.111485,0.888515,0.999334,0.0348287,0.00486313,2.90995e-06,2.31918e-05,7578.137,0.26,1.0,0.01,0.1
0.003632,0.0001,1.0,,,0.0,0.0,0.00363224,0.0,0.0,7678.137,0.26,1.0,0.01,0.1
0.004154,0.0001,1.0,,,0.0,0.0,0.00415392,0.0,0.0,7778.137,0.26,1.0,0.01,0.1
