annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
0.000138,0.0001,0.93826,0.924556,0.0754437,0.999558,0.0192727,0.000129503,0.000104432,8.52161e-06,6578.137,0.26,1.0,0.01,100.0
0.0004822,0.0001,0.950816,0.897718,0.102282,0.99938,0.0382358,0.000458468,0.000208149,2.37157e-05,6678.137,0.26,1.0,0.01,100.0
0.0008527,0.0001,0.728127,0.447144,0.552856,0.999465,0.433056,0.000620899,0.000187506,0.000231835,6778.137,0.26,1.0,0.01,100.0
0.002415,0.0001,0.736908,0.217276,0.782724,0.999201,0.795295,0.00177999,0.000176407,0.000635497,6878.137,0.26,1.0,0.01,100.0
0.004625,0.0001,0.715189,0.103143,0.896857,0.998882,1.17825,0.00330762,0.000151485,0.0013172,6978.137,0.26,1.0,0.01,100.0
0.008832,0.0001,0.758942,0.0590794,0.940921,0.998843,1.84009,0.00670265,0.000133673,0.00212892,7078.137,0.26,1.0,0.01,100.0
0.01339,0.0001,0.811178,0.0508347,0.949165,0.998966,2.44499,0.0108611,0.000135404,0.00252821,7178.137,0.26,1.0,0.01,100.0
0.01003,0.0001,0.875194,0.0670115,0.932989,0.999177,1.51995,0.00877579,8.98859e-05,0.00125147,7278.137,0.26,1.0,0.01,100.0
0.006233,0.0001,0.889111,0.0563742,0.943626,0.998743,0.549767,0.00554181,4.12919e-05,0.000691169,7378.137,0.26,1.0,0.01,100.0
0.004549,0.0001,0.941003,0.0850757,0.914924,0.999101,0.298482,0.00428025,2.49532e-05,0.000268353,7478.137,0.26,1.0,0.01,100.0
0.005091,0.0001,0.956538,0.0804283,0.919572,0.99916,0.263323,0.00486992,1.93531e-05,0.000221273,7578.137,0.26,1.0,0.01,100.0
0.003857,0.0001,0.944504,0.0846362,0.915364,0.999333,0.32097,0.00364317,1.97926e-05,0.000214063,7678.137,0.26,1.0,0.01,100.0
0.0045,0.0001,0.929717,0.0322837,0.967716,0.998031,0.160615,0.00418338,1.05502e-05,0.000316246,7778.137,0.26,1.0,0.01,100.0
0.004643,0.0001,0.949986,0.0367996,0.9632,0.998367,0.14218,0.00441055,8.87134e-06,0.0002322,7878.137,0.26,1.0,0.01,100.0
0.00215,0.0001,0.972768,0.0807499,0.91925,0.998989,0.0578902,0.0020913,5.14273e-06,5.85444e-05,7978.137,0.26,1.0,0.01,100.0
0.003286,0.0001,0.98099,0.0551859,0.944814,0.998433,0.0398562,0.00322328,3.64826e-06,6.24603e-05,8078.137,0.26,1.0,0.01,100.0
0.001167,0.0001,0.987742,0.142558,0.857442,0.998954,0.0136684,0.00115228,2.37759e-06,1.43004e-05,8178.137,0.26,1.0,0.01,100.0
0.001007,0.0001,0.988132,0.135982,0.864018,0.998928,0.0111406,0.000994687,1.88022e-06,1.19467e-05,8278.136999999999,0.26,1.0,0.01,100.0
0.000988,0.0001,0.991477,0.163881,0.836119,0.99899,0.00833353,0.00097956,1.6505e-06,8.42078e-06,8378.136999999999,0.26,1.0,0.01,100.0
