annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
7.032e-05,0.0001,0.997893,0.997256,0.00274367,0.999792,0.0007116,7.01714e-05,5.38621e-05,1.48186e-07,6578.137,0.26,1.0,0.01,0.02
0.0002481,0.0001,0.982277,0.943813,0.0561873,0.999522,0.00920687,0.000243694,7.38568e-05,4.39686e-06,6678.137,0.26,1.0,0.01,0.02
0.0005505,0.0001,0.999164,0.848732,0.151268,0.999464,0.000858047,0.00055005,2.5808e-06,4.5997e-07,6778.137,0.26,1.0,0.01,0.02
0.001213,0.0001,1.0,,,0.0,0.0,0.00121331,0.0,0.0,6878.137,0.26,1.0,0.01,0.02
0.002843,0.0001,1.0,,,0.0,0.0,0.00284303,0.0,0.0,6978.137,0.26,1.0,0.01,0.02
0.004692,0.0001,1.0,,,0.0,0.0,0.00469213,0.0,0.0,7078.137,0.26,1.0,0.01,0.02
0.007819,0.0001,1.0,,,0.0,0.0,0.00781859,0.0,0.0,7178.137,0.26,1.0,0.01,0.02
0.006834,0.0001,1.0,,,0.0,0.0,0.00683361,0.0,0.0,7278.137,0.26,1.0,0.01,0.02
0.005283,0.0001,1.0,,,0.0,0.0,0.00528316,0.0,0.0,7378.137,0.26,1.0,0.01,0.02
0.004165,0.0001,1.0,,,0.0,0.0,0.00416457,0.0,0.0,7478.137,0.26,1.0,0.01,0.02
0.003836,0.0001,1.0,,,0.0,0.0,0.00383612,0.0,0.0,7578.137,0.26,1.0,0.01,0.02
0.002858,0.0001,1.0,,,0.0,0.0,0.00285783,0.0,0.0,7678.137,0.26,1.0,0.01,0.02
0.003773,0.0001,1.0,,,0.0,0.0,0.003773,0.0,0.0,7778.137,0.26,1.0,0.01,0.02
0.003581,0.0001,1.0,,,0.0,0.0,0.00358143,0.0,0.0,7878.137,0.26,1.0,0.01,0.02
0.00165,0.0001,1.0,,,0.0,0.0,0.00165012,0.0,0.0,7978.137,0.26,1.0,0.01,0.02
0.002427,0.0001,1.0,,,0.0,0.0,0.00242676,0.0,0.0,8078.137,0.26,1.0,0.01,0.02
0.0009191,0.0001,1.0,,,0.0,0.0,0.000919129,0.0,0.0,8178.137,0.26,1.0,0.01,0.02
0.0007667,0.0001,1.0,,,0.0,0.0,0.000766737,0.0,0.0,8278.136999999999,0.26,1.0,0.01,0.02
0.0005541,0.0001,1.0,,,0.0,0.0,0.000554068,0.0,0.0,8378.136999999999,0.26,1.0,0.01,0.02
1.51e-05,0.0001,1.0,1.0,0.0,0.0,0.0,1.50998e-05,1.50998e-05,0.0,6578.137,0.26,1.0,0.02,0.03
3.534e-05,0.0001,0.885242,0.885242,0.114758,0.99933,0.00605327,3.12869e-05,3.12869e-05,4.05585e-06,6678.137,0.26,1.0,0.02,0.03
8.319e-05,0.0001,0.669704,0.669704,0.330296,0.999625,0.0733253,5.57149e-05,5.57149e-05,2.74784e-05,6778.137,0.26,1.0,0.02,0.03
0.0002522,0.0001,0.329172,0.272868,0.727132,0.999334,0.254139,8.30253e-05,6.34948e-05,0.0001692,6878.137,0.26,1.0,0.02,0.03
0.0007345,0.0001,0.50503,0.130361,0.869639,0.99901,0.367247,0.000370935,5.44963e-05,0.000363545,6978.137,0.26,1.0,0.02,0.03
0.001309,0.0001,1.0,,,0.0,0.0,0.00130852,0.0,0.0,7078.137,0.26,1.0,0.02,0.03
0.002148,0.0001,1.0,,,0.0,0.0,0.00214824,0.0,0.0,7178.137,0.26,1.0,0.02,0.03
0.001527,0.0001,1.0,,,0.0,0.0,0.00152713,0.0,0.0,7278.137,0.26,1.0,0.02,0.03
0.001301,0.0001,1.0,,,0.0,0.0,0.00130052,0.0,0.0,7378.137,0.26,1.0,0.02,0.03
0.001029,0.0001,1.0,,,0.0,0.0,0.00102917,0.0,0.0,7478.137,0.26,1.0,0.02,0.03
0.0009715,0.0001,1.0,,,0.0,0.0,0.000971533,0.0,0.0,7578.137,0.26,1.0,0.02,0.03
0.000659,0.0001,1.0,,,0.0,0.0,0.000658968,0.0,0.0,7678.137,0.26,1.0,0.02,0.03
0.0009883,0.0001,1.0,,,0.0,0.0,0.000988266,0.0,0.0,7778.137,0.26,1.0,0.02,0.03
0.000841,0.0001,1.0,,,0.0,0.0,0.000840952,0.0,0.0,7878.137,0.26,1.0,0.02,0.03
0.0004128,0.0001,1.0,,,0.0,0.0,0.000412778,0.0,0.0,7978.137,0.26,1.0,0.02,0.03
0.0004755,0.0001,1.0,,,0.0,0.0,0.000475544,0.0,0.0,8078.137,0.26,1.0,0.02,0.03
0.0001962,0.0001,1.0,,,0.0,0.0,0.000196222,0.0,0.0,8178.137,0.26,1.0,0.02,0.03
0.0001791,0.0001,1.0,,,0.0,0.0,0.000179074,0.0,0.0,8278.136999999999,0.26,1.0,0.02,0.03
0.0001543,0.0001,1.0,,,0.0,0.0,0.000154276,0.0,0.0,8378.136999999999,0.26,1.0,0.02,0.03
4.82e-06,0.0001,1.0,1.0,0.0,0.0,0.0,4.81951e-06,4.81951e-06,0.0,6578.137,0.26,1.0,0.03,0.04
7.183e-06,0.0001,0.802901,0.802901,0.197099,0.999347,0.00216985,5.7676e-06,5.7676e-06,1.41586e-06,6678.137,0.26,1.0,0.03,0.04
2.684e-05,0.0001,0.523355,0.523355,0.476645,0.999384,0.0207636,1.40485e-05,1.40485e-05,1.27947e-05,6778.137,0.26,1.0,0.03,0.04
5.545e-05,0.0001,0.409133,0.409133,0.590867,0.999426,0.0570915,2.26868e-05,2.26868e-05,3.27642e-05,6878.137,0.26,1.0,0.03,0.04
0.0001539,0.0001,0.152369,0.152369,0.847631,0.999025,0.133794,2.34484e-05,2.34484e-05,0.000130443,6978.137,0.26,1.0,0.03,0.04
0.0004432,0.0001,0.0907254,0.0907254,0.909275,0.999135,0.465892,4.02068e-05,4.02068e-05,0.000402964,7078.137,0.26,1.0,0.03,0.04
0.0009104,0.0001,1.0,,,0.0,0.0,0.000910441,0.0,0.0,7178.137,0.26,1.0,0.03,0.04
0.0004818,0.0001,1.0,,,0.0,0.0,0.000481799,0.0,0.0,7278.137,0.26,1.0,0.03,0.04
0.0004085,0.0001,1.0,,,0.0,0.0,0.000408549,0.0,0.0,7378.137,0.26,1.0,0.03,0.04
0.0002155,0.0001,1.0,,,0.0,0.0,0.000215456,0.0,0.0,7478.137,0.26,1.0,0.03,0.04
0.0002611,0.0001,1.0,,,0.0,0.0,0.000261085,0.0,0.0,7578.137,0.26,1.0,0.03,0.04
0.0002739,0.0001,1.0,,,0.0,0.0,0.000273912,0.0,0.0,7678.137,0.26,1.0,0.03,0.04
0.0002308,0.0001,1.0,,,0.0,0.0,0.000230788,0.0,0.0,7778.137,0.26,1.0,0.03,0.04
0.0002357,0.0001,1.0,,,0.0,0.0,0.000235676,0.0,0.0,7878.137,0.26,1.0,0.03,0.04
0.0001218,0.0001,1.0,,,0.0,0.0,0.000121799,0.0,0.0,7978.137,0.26,1.0,0.03,0.04
0.0001342,0.0001,1.0,,,0.0,0.0,0.000134231,0.0,0.0,8078.137,0.26,1.0,0.03,0.04
4.789e-05,0.0001,1.0,,,0.0,0.0,4.78879e-05,0.0,0.0,8178.137,0.26,1.0,0.03,0.04
5.084e-05,0.0001,1.0,,,0.0,0.0,5.08424e-05,0.0,0.0,8278.136999999999,0.26,1.0,0.03,0.04
4.132e-05,0.0001,1.0,,,0.0,0.0,4.13226e-05,0.0,0.0,8378.136999999999,0.26,1.0,0.03,0.04
3.101e-06,0.0001,0.985963,0.985963,0.0140374,0.999428,7.61124e-05,3.0576e-06,3.0576e-06,4.35319e-08,6578.137,0.26,1.0,0.04,0.05
4.965e-06,0.0001,0.997574,0.997574,0.00242615,0.999791,5.75147e-05,4.95297e-06,4.95297e-06,1.20459e-08,6678.137,0.26,1.0,0.04,0.05
1.944e-05,0.0001,0.549122,0.549122,0.450878,0.999338,0.0132312,1.06737e-05,1.06737e-05,8.76406e-06,6778.137,0.26,1.0,0.04,0.05
0.0001094,0.0001,0.253509,0.253509,0.746491,0.99953,0.173669,2.77407e-05,2.77407e-05,8.16861e-05,6878.137,0.26,1.0,0.04,0.05
