annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
9.699e-05,0.0001,0.99791,0.997487,0.00251291,0.999752,0.000816514,9.67909e-05,8.04816e-05,2.02752e-07,6578.137,0.26,1.0,0.01,0.32
0.000312,0.0001,0.96065,0.913657,0.0863431,0.999428,0.0214483,0.00029977,0.000129933,1.2279e-05,6678.137,0.26,1.0,0.01,0.32
0.0007394,0.0001,0.876744,0.609689,0.390311,0.999497,0.181346,0.000648308,0.000142368,9.11413e-05,6778.137,0.26,1.0,0.01,0.32
0.001795,0.0001,0.77321,0.275745,0.724255,0.999419,0.700632,0.00138782,0.00015498,0.000407061,6878.137,0.26,1.0,0.01,0.32
0.0043,0.0001,0.766417,0.119541,0.880459,0.999046,1.0533,0.00329585,0.00013638,0.00100448,6978.137,0.26,1.0,0.01,0.32
0.007614,0.0001,0.772014,0.0740003,0.926,0.99903,1.78944,0.00587819,0.000138724,0.00173591,7078.137,0.26,1.0,0.01,0.32
0.01303,0.0001,0.821432,0.0538299,0.94617,0.99907,2.50368,0.0107056,0.000132403,0.00232726,7178.137,0.26,1.0,0.01,0.32
0.01019,0.0001,0.901845,0.0715901,0.92841,0.999217,1.27665,0.00918956,7.71235e-05,0.00100017,7278.137,0.26,1.0,0.01,0.32
0.007884,0.0001,0.940713,0.0875778,0.912422,0.999286,0.654735,0.00741669,4.48656e-05,0.000467429,7378.137,0.26,1.0,0.01,0.32
0.005965,0.0001,0.966325,0.104755,0.895245,0.999318,0.294345,0.00576434,2.35055e-05,0.000200879,7478.137,0.26,1.0,0.01,0.32
0.005593,0.0001,0.973338,0.100703,0.899297,0.99934,0.225828,0.00544374,1.6698e-05,0.000149116,7578.137,0.26,1.0,0.01,0.32
0.004538,0.0001,0.967415,0.0906828,0.909317,0.999346,0.226217,0.00438989,1.47457e-05,0.000147861,7678.137,0.26,1.0,0.01,0.32
0.0056,0.0001,0.983168,0.0773091,0.922691,0.999185,0.115702,0.00550587,7.89763e-06,9.42589e-05,7778.137,0.26,1.0,0.01,0.32
0.005141,0.0001,0.987875,0.0869124,0.913088,0.999287,0.0873705,0.00507879,5.93369e-06,6.23384e-05,7878.137,0.26,1.0,0.01,0.32
0.002423,0.0001,0.991092,0.122227,0.877773,0.999225,0.0278625,0.00240179,3.00588e-06,2.15867e-05,7978.137,0.26,1.0,0.01,0.32
0.003366,0.0001,0.992841,0.087921,0.912079,0.999102,0.0268293,0.00334158,2.3225e-06,2.40933e-05,8078.137,0.26,1.0,0.01,0.32
0.001278,0.0001,0.994868,0.166564,0.833436,0.999249,0.00873235,0.00127153,1.31084e-06,6.55902e-06,8178.137,0.26,1.0,0.01,0.32
0.0011,0.0001,0.995838,0.179685,0.820315,0.99923,0.00594289,0.0010956,1.00288e-06,4.57847e-06,8278.136999999999,0.26,1.0,0.01,0.32
0.0008317,0.0001,0.997695,0.264297,0.735703,0.999362,0.00300441,0.000829776,6.88747e-07,1.91721e-06,8378.136999999999,0.26,1.0,0.01,0.32
