annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
1.87e-06,0.0001,0.989641,0.989641,0.0103587,0.99964,5.3792e-05,1.85084e-06,1.85084e-06,1.9373e-08,6578.137,0.26,1.0,0.01,0.44668
8.572e-06,0.0001,0.824189,0.824189,0.175811,0.999388,0.00246281,7.0646e-06,7.0646e-06,1.50698e-06,6678.137,0.26,1.0,0.01,0.44668
4.173e-05,0.0001,0.336701,0.336701,0.663299,0.999323,0.0409102,1.40498e-05,1.40498e-05,2.7678e-05,6778.137,0.26,1.0,0.01,0.44668
0.0001271,0.0001,0.186194,0.186194,0.813806,0.999351,0.159231,2.36601e-05,2.36601e-05,0.000103412,6878.137,0.26,1.0,0.01,0.44668
0.0002836,0.0001,0.0753971,0.0753971,0.924603,0.998801,0.218705,2.13833e-05,2.13833e-05,0.000262226,6978.137,0.26,1.0,0.01,0.44668
0.0005755,0.0001,0.0455468,0.0455468,0.954453,0.998634,0.40227,2.62143e-05,2.62143e-05,0.000549331,7078.137,0.26,1.0,0.01,0.44668
0.001035,0.0001,0.0367927,0.0367927,0.963207,0.998736,0.789139,3.80964e-05,3.80964e-05,0.000997335,7178.137,0.26,1.0,0.01,0.44668
0.0006527,0.0001,0.0510895,0.0510895,0.948911,0.999029,0.637783,3.33472e-05,3.33472e-05,0.000619375,7278.137,0.26,1.0,0.01,0.44668
0.0003718,0.0001,0.0672491,0.0672491,0.932751,0.999126,0.396914,2.50058e-05,2.50058e-05,0.000346833,7378.137,0.26,1.0,0.01,0.44668
0.0002262,0.0001,0.13273,0.0837884,0.916212,0.999195,0.243582,3.00263e-05,1.79421e-05,0.000196194,7478.137,0.26,1.0,0.01,0.44668
0.000208,0.0001,0.265742,0.0877954,0.912205,0.999254,0.204724,5.52718e-05,1.46985e-05,0.000152719,7578.137,0.26,1.0,0.01,0.44668
0.0002851,0.0001,0.443785,0.0812602,0.91874,0.999285,0.221811,0.000126521,1.40255e-05,0.000158574,7678.137,0.26,1.0,0.01,0.44668
0.0002297,0.0001,0.519225,0.0688569,0.931143,0.999092,0.121625,0.000119288,8.16795e-06,0.000110454,7778.137,0.26,1.0,0.01,0.44668
0.000184,0.0001,0.529648,0.0760718,0.923928,0.999234,0.112933,9.74416e-05,7.12467e-06,8.65325e-05,7878.137,0.26,1.0,0.01,0.44668
7.632e-05,0.0001,0.573573,0.106888,0.893112,0.999251,0.0434709,4.37763e-05,3.89509e-06,3.25458e-05,7978.137,0.26,1.0,0.01,0.44668
0.0001079,0.0001,0.714179,0.0796834,0.920317,0.999004,0.0309499,7.70366e-05,2.66941e-06,3.08307e-05,8078.137,0.26,1.0,0.01,0.44668
3.462e-05,0.0001,0.757379,0.156889,0.843111,0.999187,0.0103301,2.62177e-05,1.56285e-06,8.39866e-06,8178.137,0.26,1.0,0.01,0.44668
3.127e-05,0.0001,0.775516,0.15755,0.84245,0.999211,0.00890045,2.42517e-05,1.31284e-06,7.02001e-06,8278.136999999999,0.26,1.0,0.01,0.44668
2.39e-05,0.0001,0.851164,0.210422,0.789578,0.99925,0.00474567,2.03435e-05,9.4802e-07,3.5573e-06,8378.136999999999,0.26,1.0,0.01,0.44668
