annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
2.127e-06,0.0001,0.979403,0.979403,0.0205966,0.999617,0.00011425,2.08315e-06,2.08315e-06,4.38082e-08,6578.137,0.26,1.0,0.01,0.89125
1.016e-05,0.0001,0.802335,0.802335,0.197665,0.999286,0.00281383,8.15351e-06,8.15351e-06,2.00872e-06,6678.137,0.26,1.0,0.01,0.89125
4.609e-05,0.0001,0.329189,0.329189,0.670811,0.999325,0.0458169,1.51723e-05,1.51723e-05,3.09178e-05,6778.137,0.26,1.0,0.01,0.89125
0.0001394,0.0001,0.179357,0.179357,0.820643,0.999339,0.173026,2.5e-05,2.5e-05,0.000114387,6878.137,0.26,1.0,0.01,0.89125
0.0003114,0.0001,0.0725921,0.0725921,0.927408,0.998731,0.227679,2.26067e-05,2.26067e-05,0.000288814,6978.137,0.26,1.0,0.01,0.89125
0.0006579,0.0001,0.0419248,0.0419248,0.958075,0.998496,0.419043,2.7581e-05,2.7581e-05,0.000630287,7078.137,0.26,1.0,0.01,0.89125
0.001112,0.0001,0.0356491,0.0356491,0.964351,0.998681,0.813275,3.9647e-05,3.9647e-05,0.0010725,7178.137,0.26,1.0,0.01,0.89125
0.0007026,0.0001,0.0503385,0.0503385,0.949661,0.999003,0.6692,3.53663e-05,3.53663e-05,0.000667203,7278.137,0.26,1.0,0.01,0.89125
0.0004048,0.0001,0.0654442,0.0654442,0.934556,0.999095,0.418212,2.64897e-05,2.64897e-05,0.000378278,7378.137,0.26,1.0,0.01,0.89125
0.0002553,0.0001,0.124532,0.0810263,0.918974,0.999178,0.271732,3.17876e-05,1.97034e-05,0.00022347,7478.137,0.26,1.0,0.01,0.89125
0.0002258,0.0001,0.249969,0.0856916,0.914308,0.999234,0.221112,5.6447e-05,1.58737e-05,0.000169369,7578.137,0.26,1.0,0.01,0.89125
0.0003013,0.0001,0.422906,0.07899,0.92101,0.999254,0.232986,0.000127406,1.49108e-05,0.000173858,7678.137,0.26,1.0,0.01,0.89125
