annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
9.024e-05,0.0001,0.998358,0.997996,0.00200442,0.999792,0.0007116,9.00907e-05,7.37815e-05,1.48186e-07,6578.137,0.26,1.0,0.01,0.04
0.0002906,0.0001,0.966043,0.918293,0.081707,0.999434,0.01743,0.000280748,0.000110911,9.86857e-06,6678.137,0.26,1.0,0.01,0.04
0.0006605,0.0001,0.928824,0.695905,0.304095,0.999559,0.106666,0.000613531,0.000107591,4.70151e-05,6778.137,0.26,1.0,0.01,0.04
0.001521,0.0001,0.867215,0.299091,0.700909,0.999351,0.311231,0.00131902,8.61816e-05,0.000201964,6878.137,0.26,1.0,0.01,0.04
0.003731,0.0001,0.867613,0.136283,0.863717,0.999014,0.501041,0.00323741,7.79447e-05,0.000493989,6978.137,0.26,1.0,0.01,0.04
0.006444,0.0001,0.90027,0.0876224,0.912378,0.999103,0.716271,0.00580118,6.1718e-05,0.000642644,7078.137,0.26,1.0,0.01,0.04
0.01088,0.0001,1.0,,,0.0,0.0,0.0108773,0.0,0.0,7178.137,0.26,1.0,0.01,0.04
4.482e-06,0.0001,0.990288,0.990288,0.00971204,0.999428,7.61124e-05,4.43873e-06,4.43873e-06,4.35319e-08,6578.137,0.26,1.0,0.04,0.07
9.22e-06,0.0001,0.880618,0.880618,0.119382,0.999362,0.00172522,8.11955e-06,8.11955e-06,1.10074e-06,6678.137,0.26,1.0,0.04,0.07
2.995e-05,0.0001,0.577158,0.577158,0.422842,0.999391,0.0208061,1.72845e-05,1.72845e-05,1.26631e-05,6778.137,0.26,1.0,0.04,0.07
0.0001336,0.0001,0.285947,0.285947,0.714053,0.999512,0.195453,3.81998e-05,3.81998e-05,9.53905e-05,6878.137,0.26,1.0,0.04,0.07
0.0002492,0.0001,0.114289,0.114289,0.885711,0.999104,0.24643,2.84771e-05,2.84771e-05,0.000220691,6978.137,0.26,1.0,0.04,0.07
0.0004995,0.0001,0.0744707,0.0744707,0.925529,0.998992,0.458801,3.72012e-05,3.72012e-05,0.00046234,7078.137,0.26,1.0,0.04,0.07
0.001062,0.0001,0.0534025,0.0534025,0.946598,0.99906,1.06963,5.67259e-05,5.67259e-05,0.00100551,7178.137,0.26,1.0,0.04,0.07
1.131e-06,0.0001,0.998074,0.998074,0.00192573,0.999789,1.03445e-05,1.1291e-06,1.1291e-06,2.17853e-09,6578.137,0.26,1.0,0.07,0.1
6.772e-06,0.0001,0.855913,0.855913,0.144087,0.999451,0.00177624,5.79629e-06,5.79629e-06,9.75764e-07,6678.137,0.26,1.0,0.07,0.1
2.363e-05,0.0001,0.318943,0.318943,0.681057,0.999289,0.0226256,7.53537e-06,7.53537e-06,1.60907e-05,6778.137,0.26,1.0,0.07,0.1
4.51e-05,0.0001,0.24001,0.24001,0.75999,0.999379,0.0551795,1.08237e-05,1.08237e-05,3.42732e-05,6878.137,0.26,1.0,0.07,0.1
0.000117,0.0001,0.112858,0.112858,0.887142,0.999104,0.115784,1.31994e-05,1.31994e-05,0.000103757,6978.137,0.26,1.0,0.07,0.1
0.0002973,0.0001,0.0616278,0.0616278,0.938372,0.998956,0.267197,1.83205e-05,1.83205e-05,0.000278956,7078.137,0.26,1.0,0.07,0.1
0.0004343,0.0001,0.058166,0.058166,0.941834,0.999057,0.433797,2.52626e-05,2.52626e-05,0.000409056,7178.137,0.26,1.0,0.07,0.1
3.447e-07,0.0001,0.993021,0.993021,0.00697863,0.999522,5.03145e-06,3.42253e-07,3.42253e-07,2.40525e-09,6578.137,0.26,1.0,0.1,0.13
1.757e-06,0.0001,0.939501,0.939501,0.0604994,0.999435,0.000188157,1.65068e-06,1.65068e-06,1.06296e-07,6678.137,0.26,1.0,0.1,0.13
5.939e-06,0.0001,0.405692,0.405692,0.594308,0.999375,0.00565018,2.40943e-06,2.40943e-06,3.52963e-06,6778.137,0.26,1.0,0.1,0.13
2.526e-05,0.0001,0.160062,0.160062,0.839938,0.99926,0.0286682,4.04364e-06,4.04364e-06,2.12193e-05,6878.137,0.26,1.0,0.1,0.13
5.445e-05,0.0001,0.0799006,0.0799006,0.920099,0.99898,0.0491279,4.35054e-06,4.35054e-06,5.00988e-05,6978.137,0.26,1.0,0.1,0.13
0.0001106,0.0001,0.0476903,0.0476903,0.95231,0.99887,0.0931975,5.2742e-06,5.2742e-06,0.000105319,7078.137,0.26,1.0,0.1,0.13
0.0001878,0.0001,0.0411342,0.0411342,0.958866,0.998968,0.174611,7.72667e-06,7.72667e-06,0.000180114,7178.137,0.26,1.0,0.1,0.13
4.782e-07,0.0001,0.991533,0.991533,0.00846739,0.999519,8.42076e-06,4.74169e-07,4.74169e-07,4.04926e-09,6578.137,0.26,1.0,0.13,0.16
2.746e-06,0.0001,0.976843,0.976843,0.0231568,0.999519,0.000132247,2.68261e-06,2.68261e-06,6.35932e-08,6678.137,0.26,1.0,0.13,0.16
1.343e-05,0.0001,0.368664,0.368664,0.631336,0.99952,0.0176682,4.9528e-06,4.9528e-06,8.48167e-06,6778.137,0.26,1.0,0.13,0.16
5.137e-05,0.0001,0.242369,0.242369,0.757631,0.999496,0.0772561,1.24512e-05,1.24512e-05,3.89217e-05,6878.137,0.26,1.0,0.13,0.16
9.327e-05,0.0001,0.102469,0.102469,0.897531,0.998996,0.0833417,9.55771e-06,9.55771e-06,8.37161e-05,6978.137,0.26,1.0,0.13,0.16
0.0001853,0.0001,0.0642799,0.0642799,0.93572,0.998956,0.166103,1.19122e-05,1.19122e-05,0.000173406,7078.137,0.26,1.0,0.13,0.16
0.0003193,0.0001,0.0658599,0.0658599,0.93414,0.999113,0.336343,2.10319e-05,2.10319e-05,0.000298312,7178.137,0.26,1.0,0.13,0.16
2.387e-07,0.0001,1.0,1.0,0.0,0.0,0.0,2.38659e-07,2.38659e-07,0.0,6578.137,0.26,1.0,0.16,0.18
1.516e-06,0.0001,0.869497,0.869497,0.130503,0.999274,0.000272451,1.31773e-06,1.31773e-06,1.97778e-07,6678.137,0.26,1.0,0.16,0.18
