annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
9.024e-05,0.0001,0.639011,0.559374,0.440626,0.999861,0.235078,5.76636e-05,4.13544e-05,3.25753e-05,6578.137,0.26,1.0,0.01,0.04
0.0002906,0.0001,0.803799,0.527908,0.472092,0.999848,0.374913,0.000233598,6.37607e-05,5.70192e-05,6678.137,0.26,1.0,0.01,0.04
0.0006605,0.0001,0.815762,0.212856,0.787144,0.999647,0.344369,0.000538849,3.2909e-05,0.000121697,6778.137,0.26,1.0,0.01,0.04
0.001521,0.0001,0.824298,0.0725503,0.92745,0.99917,0.321841,0.00125374,2.0905e-05,0.00026724,6878.137,0.26,1.0,0.01,0.04
0.003731,0.0001,0.850195,0.0226428,0.977357,0.997911,0.26761,0.00317242,1.29501e-05,0.000558983,6978.137,0.26,1.0,0.01,0.04
0.006444,0.0001,0.891876,0.010835,0.989165,0.997027,0.234348,0.0057471,7.63177e-06,0.000696731,7078.137,0.26,1.0,0.01,0.04
0.01088,0.0001,1.0,,,0.0,0.0,0.0108773,0.0,0.0,7178.137,0.26,1.0,0.01,0.04
4.482e-06,0.0001,0.55683,0.55683,0.44317,0.999861,0.0142836,2.49586e-06,2.49586e-06,1.9864e-06,6578.137,0.26,1.0,0.04,0.07
9.22e-06,0.0001,0.504992,0.504992,0.495008,0.999839,0.0283317,4.65617e-06,4.65617e-06,4.56412e-06,6678.137,0.26,1.0,0.04,0.07
2.995e-05,0.0001,0.153156,0.153156,0.846844,0.999503,0.0510239,4.58665e-06,4.58665e-06,2.53609e-05,6778.137,0.26,1.0,0.04,0.07
0.0001336,0.0001,0.0768717,0.0768717,0.923128,0.999431,0.216913,1.02693e-05,1.02693e-05,0.000123321,6878.137,0.26,1.0,0.04,0.07
0.0002492,0.0001,0.0206526,0.0206526,0.979347,0.997948,0.118917,5.14596e-06,5.14596e-06,0.000244022,6978.137,0.26,1.0,0.04,0.07
0.0004995,0.0001,0.0107288,0.0107288,0.989271,0.997053,0.167701,5.35948e-06,5.35948e-06,0.000494181,7078.137,0.26,1.0,0.04,0.07
0.001062,0.0001,0.0190062,0.0190062,0.980994,0.997941,0.506128,2.0189e-05,2.0189e-05,0.00104205,7178.137,0.26,1.0,0.04,0.07
1.131e-06,0.0001,0.546439,0.546439,0.453561,0.999859,0.0036486,6.18175e-07,6.18175e-07,5.13104e-07,6578.137,0.26,1.0,0.07,0.1
6.772e-06,0.0001,0.525887,0.525887,0.474113,0.999851,0.0215621,3.56133e-06,3.56133e-06,3.21072e-06,6678.137,0.26,1.0,0.07,0.1
2.363e-05,0.0001,0.0975492,0.0975492,0.902451,0.999288,0.0299326,2.3047e-06,2.3047e-06,2.13213e-05,6778.137,0.26,1.0,0.07,0.1
4.51e-05,0.0001,0.0645114,0.0645114,0.935489,0.999256,0.0567024,2.90927e-06,2.90927e-06,4.21877e-05,6878.137,0.26,1.0,0.07,0.1
0.000117,0.0001,0.0225282,0.0225282,0.977472,0.99817,0.0624801,2.63481e-06,2.63481e-06,0.000114321,6978.137,0.26,1.0,0.07,0.1
0.0002973,0.0001,0.0098298,0.0098298,0.99017,0.9969,0.0949622,2.92217e-06,2.92217e-06,0.000294354,7078.137,0.26,1.0,0.07,0.1
0.0004343,0.0001,0.018437,0.018437,0.981563,0.997884,0.201499,8.0075e-06,8.0075e-06,0.000426311,7178.137,0.26,1.0,0.07,0.1
3.447e-07,0.0001,0.54454,0.54454,0.45546,0.99986,0.00112089,1.8768e-07,1.8768e-07,1.56978e-07,6578.137,0.26,1.0,0.1,0.13
1.757e-06,0.0001,0.516316,0.516316,0.483684,0.999844,0.00545917,9.07156e-07,9.07156e-07,8.49821e-07,6678.137,0.26,1.0,0.1,0.13
5.939e-06,0.0001,0.131543,0.131543,0.868457,0.999517,0.0106722,7.81243e-07,7.81243e-07,5.15782e-06,6778.137,0.26,1.0,0.1,0.13
2.526e-05,0.0001,0.0525237,0.0525237,0.947476,0.999215,0.0304858,1.32691e-06,1.32691e-06,2.39361e-05,6878.137,0.26,1.0,0.1,0.13
5.445e-05,0.0001,0.0149006,0.0149006,0.985099,0.997586,0.0222177,8.11325e-07,8.11325e-07,5.3638e-05,6978.137,0.26,1.0,0.1,0.13
0.0001106,0.0001,0.00821152,0.00821152,0.991788,0.996689,0.0331285,9.08134e-07,9.08134e-07,0.000109685,7078.137,0.26,1.0,0.1,0.13
0.0001878,0.0001,0.0117042,0.0117042,0.988296,0.997254,0.0676154,2.19852e-06,2.19852e-06,0.000185642,7178.137,0.26,1.0,0.1,0.13
4.782e-07,0.0001,0.530004,0.530004,0.469996,0.999857,0.00157262,2.53457e-07,2.53457e-07,2.24761e-07,6578.137,0.26,1.0,0.13,0.16
2.746e-06,0.0001,0.535528,0.535528,0.464472,0.999857,0.00894798,1.47067e-06,1.47067e-06,1.27553e-06,6678.137,0.26,1.0,0.13,0.16
1.343e-05,0.0001,0.119889,0.119889,0.880111,0.999548,0.0261431,1.61064e-06,1.61064e-06,1.18238e-05,6778.137,0.26,1.0,0.13,0.16
5.137e-05,0.0001,0.0641943,0.0641943,0.935806,0.99931,0.069631,3.29785e-06,3.29785e-06,4.8075e-05,6878.137,0.26,1.0,0.13,0.16
9.327e-05,0.0001,0.0218008,0.0218008,0.978199,0.998049,0.0467585,2.03344e-06,2.03344e-06,9.12404e-05,6978.137,0.26,1.0,0.13,0.16
0.0001853,0.0001,0.0108434,0.0108434,0.989157,0.99702,0.0615196,2.00947e-06,2.00947e-06,0.000183309,7078.137,0.26,1.0,0.13,0.16
0.0003193,0.0001,0.0286554,0.0286554,0.971345,0.998456,0.200899,9.15092e-06,9.15092e-06,0.000310193,7178.137,0.26,1.0,0.13,0.16
2.387e-07,0.0001,0.529439,0.529439,0.470561,0.999857,0.000783984,1.26355e-07,1.26355e-07,1.12304e-07,6578.137,0.26,1.0,0.16,0.19
1.516e-06,0.0001,0.464284,0.464284,0.535716,0.999826,0.0046716,7.03624e-07,7.03624e-07,8.11879e-07,6678.137,0.26,1.0,0.16,0.19
5.651e-06,0.0001,0.109662,0.109662,0.890338,0.999495,0.00995814,6.19667e-07,6.19667e-07,5.03105e-06,6778.137,0.26,1.0,0.16,0.19
1.957e-05,0.0001,0.0650539,0.0650539,0.934946,0.99937,0.029066,1.27335e-06,1.27335e-06,1.83005e-05,6878.137,0.26,1.0,0.16,0.19
4.902e-05,0.0001,0.0158794,0.0158794,0.984121,0.997852,0.0224568,7.78463e-07,7.78463e-07,4.82449e-05,6978.137,0.26,1.0,0.16,0.19
0.0001177,0.0001,0.00912949,0.00912949,0.990871,0.997013,0.0390455,1.07447e-06,1.07447e-06,0.000116617,7078.137,0.26,1.0,0.16,0.19
0.0002054,0.0001,0.0211859,0.0211859,0.978814,0.998107,0.106164,4.35096e-06,4.35096e-06,0.000201019,7178.137,0.26,1.0,0.16,0.19
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6578.137,0.26,1.0,0.19,0.22
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6678.137,0.26,1.0,0.19,0.22
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6778.137,0.26,1.0,0.19,0.22
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6878.137,0.26,1.0,0.19,0.22
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6978.137,0.26,1.0,0.19,0.22
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7078.137,0.26,1.0,0.19,0.22
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7178.137,0.26,1.0,0.19,0.22
2.349e-07,0.0001,0.514548,0.514548,0.485452,0.999854,0.000779957,1.20852e-07,1.20852e-07,1.14018e-07,6578.137,0.26,1.0,0.22,0.25
6.931e-07,0.0001,0.428756,0.428756,0.571244,0.999807,0.00205133,2.9719e-07,2.9719e-07,3.95954e-07,6678.137,0.26,1.0,0.22,0.25
4.576e-06,0.0001,0.0958338,0.0958338,0.904166,0.999492,0.00815096,4.3855e-07,4.3855e-07,4.13761e-06,6778.137,0.26,1.0,0.22,0.25
1.966e-05,0.0001,0.0332846,0.0332846,0.966715,0.99871,0.0147331,6.54516e-07,6.54516e-07,1.90097e-05,6878.137,0.26,1.0,0.22,0.25
4.06e-05,0.0001,0.0147807,0.0147807,0.985219,0.997707,0.0174445,6.00106e-07,6.00106e-07,4.00004e-05,6978.137,0.26,1.0,0.22,0.25
